variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv
base_exemplar,base,exemplar,0.01,0.0,0.0,0.025,0.0,1,0.3,1.3817254913478192,0.2928432119110245,0.55,0.55,0.0,0.16830204713511382,0.9,0.47169220548339996,1.547257548871038,0.2595289392317086,0.4,0.4,0.0,0.1990903349712412,0.9,0.47169220548339996,R_5MWWICk2p3HwIcJ,none,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.025,0.0,1,0.3,1.3817254913478192,0.2928432119110245,0.55,0.55,0.0,0.16830204713511382,0.9,0.47169220548339996,1.547257548871038,0.2595289392317086,0.4,0.4,0.0,0.1990903349712412,0.9,0.47169220548339996,R_5MWWICk2p3HwIcJ,none,20,1
additive_exemplar,additive,exemplar,0.01,4.0,24.0,0.025,0.0,1,0.0,2.075307709773957,0.17121562272156846,0.15,0.15,0.0,0.11341337554733115,0.4,0.0430996845442285,2.3515836199422466,0.1017348543414216,0.0,0.0,0.0,0.10595820018193658,0.3,0.043099684544228495,R_5dyiDVxpY3uvP1p,attribution,20,0
additive_prototype,additive,prototype,0.01,4.0,nan,0.025,0.0,1,0.0,2.2502644348354837,0.12454642803515419,0.05,0.05,0.0,0.12651240079520865,0.35,0.0430996845442285,2.3401126826807626,0.09960771823962619,0.0,0.0,0.0,0.13095781317478464,0.35,0.043099684544228495,R_5dyiDVxpY3uvP1p,attribution,20,0
base_exemplar,base,exemplar,0.01,0.0,0.0,0.025,0.0,1,0.0,1.6309256348333718,0.22362654994922943,0.25,0.25,0.0,0.12069971862212259,0.7,0.0430996845442285,1.6695189738008156,0.22135292371578733,0.2,0.2,0.0,0.11089026461868608,0.7,0.043099684544228495,R_5dyiDVxpY3uvP1p,attribution,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.025,0.0,1,0.0,1.6309256348333718,0.22362654994922943,0.25,0.25,0.0,0.12069971862212259,0.7,0.0430996845442285,1.6309256348333718,0.22362654994922943,0.25,0.25,0.0,0.12069971862212259,0.7,0.043099684544228495,R_5dyiDVxpY3uvP1p,attribution,20,1
additive_exemplar,additive,exemplar,0.01,1.0,12.0,0.025,0.0,1,0.0,1.9197091031511568,0.19416940719171566,0.2,0.2,0.0,0.18881658289011632,0.7,0.10458603533720498,2.021032122005072,0.17297710675373018,0.15,0.15,0.0,0.18401129086274864,0.7,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0
additive_prototype,additive,prototype,0.01,0.0,nan,0.025,0.0,1,0.0,1.972871885361044,0.18572370798348498,0.2,0.2,0.0,0.2159058633563738,0.7,0.10458603533720498,2.0757300657917894,0.16777953599718654,0.15,0.15,0.0,0.2159058633563738,0.7,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0
base_exemplar,base,exemplar,0.01,0.0,0.0,0.025,0.0,1,0.0,1.580260574102083,0.24066053014401662,0.3,0.3,0.0,0.1222389681406787,0.7,0.10458603533720498,1.580260574102083,0.24066053014401664,0.3,0.3,0.0,0.12223896814067867,0.7,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0
base_prototype,base,prototype,0.01,0.0,nan,0.025,0.0,1,0.0,1.580260574102083,0.24066053014401662,0.3,0.3,0.0,0.1222389681406787,0.7,0.10458603533720498,1.580260574102083,0.24066053014401664,0.3,0.3,0.0,0.12223896814067867,0.7,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,1
counterfactual_exemplar,counterfactual,exemplar,0.01,0.0,2.0,0.025,0.5,0,0.0,2.0627762468355546,0.16464635747501602,0.1,0.1,0.0,0.09496150025642852,0.45,0.10458603533720498,2.133681360225933,0.15564775710369227,0.15,0.15,0.0,0.0896734568846875,0.5,0.10458603533720501,R_5meYpVpIaQ4Mrnr,counterfactual,20,0
