participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_6DD4Hjc7DAhjrhU,diabetes,attribution,20,weighted examples,observed per instance,0.0,,0.15,2.0,0.0,0,4,0.3261893961872607,0.5013366974729758,0.1537154898474972,0.9,1.7384268074220668,0.3280300067520582,0.4976882578386042,0.1537482713427206,0.9,1.7586218783506886,0
R_6I5GvkY1dba6Sm6,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.3,,,0,4,0.2272823659515161,0.7244857421677132,0.1790504740707455,0.9833333333333334,2.6120810615774643,0.2516909380825912,0.6756685979055631,0.1790504740707455,0.9833333333333332,3.1535675461435475,1
R_6I5GvkY1dba6Sm6,diabetes,none,20,weighted examples,observed per instance,0.0,,0.15,2.0,0.0,0,4,0.2410424390659481,0.7299267842125814,0.2120116623444777,0.8583333333333332,2.5300899556453,0.2954683694367088,0.6244252180076937,0.2153619568811113,0.8583333333333334,3.5718172070662284,0
R_6KDvslaxG4W04I9,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.25,,,0,4,0.3607466941206015,0.6905599428061753,0.412053331047378,0.5,0.7527996763145135,0.366652140930146,0.690559942806175,0.4238642246664671,0.5,0.7527996763145135,1
R_6KDvslaxG4W04I9,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,,0.0,2.0,1.0,0,4,0.4073442474071926,0.5943475113876926,0.4090360062020777,0.5,1.304829227945144,0.4166412395167378,0.5890148319998046,0.4222973110332804,0.5,1.326792906178038,0
R_6upJU84Jtf3Faf5,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.1,,,1,4,0.2934518905923982,0.5876218062688898,0.1745255874536861,1.0,1.1476387001997677,0.2946892451925736,0.5876218062688897,0.177000296654037,1.0,1.1476387001997677,0
R_6upJU84Jtf3Faf5,diabetes,none,20,weighted examples,observed per instance,0.0,,0.0,0.0,0.0,1,4,0.2570430269412161,0.6056955003586709,0.1197815542411031,0.975,1.0501301234723937,0.2573155685593382,0.6053050565690198,0.1199361936876962,0.975,1.0548924273059477,1
R_771uyV9h8uinmh3,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,0.1,,,0,4,0.4081847126267577,0.4386965349026561,0.2550659601561715,1.0,0.992798831014506,0.422759442650039,0.438696534902656,0.284215420202734,1.0,0.992798831014506,1
R_771uyV9h8uinmh3,diabetes,attribution,20,weighted examples,observed per instance,0.0,,0.05,0.0,0.0,0,4,0.3227654610402647,0.4616099904295929,0.1071409125101225,1.0,1.0676465115889386,0.3227654610402647,0.461609990429593,0.1071409125101225,1.0,1.0676465115889386,0
R_7DtIw0Gr58M4CAa,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.05,,,1,4,0.3024184241845166,0.6467373470907051,0.2515741954597382,0.5333333333333333,1.635575906304933,0.3019386810287911,0.649736746813581,0.2536141088711632,0.5333333333333333,1.721639796081727,1
R_7DtIw0Gr58M4CAa,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,,0.0,0.0,1.0,0,4,0.2527433764690757,0.7051742773471353,0.210661030285287,0.5333333333333333,1.6874929362764253,0.2906549771159866,0.6100952552876925,0.1914052095196656,0.5666666666666667,2.0754134878485444,0
R_7IXNpixLXSjItSq,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.0,,,1,4,0.4738030061656493,0.249924209610281,0.1975302219415795,0.95,1.8733678503957805,0.5016565523101143,0.194217117321351,0.1975302219415795,0.95,2.084371115905851,1
R_7IXNpixLXSjItSq,diabetes,none,20,weighted examples,observed per instance,0.0,,0.0,6.0,0.0,1,4,0.4667255090420513,0.2225632968750107,0.1560143149591133,0.85,2.096218933213829,0.4706083789041534,0.2162679473412294,0.1574847051495363,0.85,2.142378332270615,0
R_7PsMTUjq8Wa1btt,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,0.0,0.1,,,1,4,0.2674277397263103,0.5646510166688844,0.0995064961215051,0.8875,1.7152888834919255,0.2780142752594671,0.5490287920954717,0.1050573426144058,0.9333333333333332,1.87663689322757,1
R_7PsMTUjq8Wa1btt,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,,0.1,6.0,0.5,1,4,0.2819584729959625,0.5653375434777655,0.1292544894696905,0.8,2.0652706802423046,0.2846904684087629,0.5653375434777657,0.1347184802952915,0.7999999999999999,2.065270680242305,0
R_7xWlSJ5Zdqog9gt,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.05,,,0,4,0.2980028933841685,0.7817496887563531,0.3777554755246902,0.5916666666666667,1.218883796557014,0.3092731063283114,0.7697304780640722,0.3882766907206951,0.5916666666666667,1.3815900010415765,1
R_7xWlSJ5Zdqog9gt,diabetes,none,20,weighted examples,observed per instance,0.0,,0.0,6.0,0.0,0,4,0.2825278203448952,0.7370586397387886,0.3021142804285791,0.6458333333333333,1.5779637282157806,0.2839125156252277,0.7353803488515636,0.3032053801020189,0.6458333333333333,1.609706008021321,0
