model family,instance id,original label,target label,feature_pair,nearest_training_source,distance_to_nearest_training,none_success,none_boundary_improvement,none_edit_l1,none_plausibility,none_target_confidence_gain,none_map_prob,attribution_success,attribution_boundary_improvement,attribution_edit_l1,attribution_plausibility,attribution_target_confidence_gain,attribution_map_prob,counterfactual_success,counterfactual_boundary_improvement,counterfactual_edit_l1,counterfactual_plausibility,counterfactual_target_confidence_gain,counterfactual_map_prob,cf_minus_none_boundary_improvement,cf_minus_attr_boundary_improvement,attr_minus_none_boundary_improvement,cf_minus_none_success,cf_minus_attr_success,cf_specific_score
weighted examples,160219,No Diabetes,Diabetes,BMI|Age,train:18,0.1365,0.38095238095238093,-0.018632941612044585,0.5233705514451986,0.9612641055202306,0.314896261324176,0.5503425867485813,0.38095238095238093,-0.020652253026795273,0.5128700430308805,0.96130289457779,0.3102010807648791,0.5569128408318538,0.41798941798941797,-0.020841484564422058,0.3750716667794158,0.9658528101939233,0.3845775083300635,0.4118474305120592,-0.002208542952377473,-0.00018923153762678488,-0.002019311414750688,0.037037037037037035,0.037037037037037035,0.00500963291740315
feature contribution,160218,No Diabetes,Diabetes,Glucose|BMI,train:125,0.1533,0.2857142857142857,-0.014691484901797038,0.18900835391667517,0.9701410650362986,0.25495240105317096,0.378774081759014,0.2857142857142857,-0.01510555455998228,0.19020150233572006,0.9699211980812061,0.25510227817449777,0.42777822419123057,0.3333333333333333,-0.01751920012712071,0.1900715289166229,0.9699494305003346,0.3030958822371673,0.48917485648370573,-0.002827715225323671,-0.002413645567138429,-0.00041406965818524197,0.047619047619047616,0.047619047619047616,0.004282448731347425
feature contribution,160216,No Diabetes,Diabetes,Insulin|BMI,train:18,0.1,0.42857142857142855,-0.024313066414890738,0.4444532760128785,0.9548049273100686,0.40749500804378397,0.5173489102873897,0.4126984126984127,-0.015303530431232339,0.33168393350276965,0.9665232537326208,0.3899886097238218,0.5382327488028524,0.4126984126984127,-0.01875053901228461,0.3396413480700473,0.9642440889253089,0.3853836467913372,0.5147726043792032,0.005562527402606127,-0.003447008581052272,0.009009535983658399,-0.015873015873015872,0.0,0.0005282172342522674
feature contribution,160204,Diabetes,No Diabetes,Glucose|Insulin,test:371,0.0706,0.6190476190476191,-0.10242572147183962,0.2724592715526914,0.9511854985921828,0.6064124222515083,0.4734511358601349,0.49206349206349204,-0.08342596584567287,0.20062648071069825,0.963207114538064,0.48216782691846677,0.49955345150265795,0.49206349206349204,-0.08812835465223318,0.19860308265724097,0.9630629014148795,0.4826795755392709,0.5019003150829787,0.014297366819606444,-0.0047023888065603064,0.01899975562616675,-0.12698412698412703,0.0,-0.003103434685366566
feature contribution,160211,Diabetes,No Diabetes,Glucose|Blood Pressure,test:339,0.0838,0.42857142857142855,-0.0202684846979559,0.426460088067699,0.9347860454985863,0.3914516334949202,0.4483552756527035,0.36507936507936506,-0.01560259396942508,0.38408349864883834,0.9361181548660288,0.35223441379405007,0.45122564201622434,0.38095238095238093,-0.020414695543969043,0.42297741341762324,0.935746824569017,0.3795730645850454,0.5125231301278295,-0.00014621084601314227,-0.004812101574543964,0.004665890728530821,-0.047619047619047616,0.015873015873015872,-0.008132915595160281
weighted examples,160213,Diabetes,No Diabetes,Blood Pressure|Insulin,train:220,0.0977,0.42857142857142855,-0.011781146750851563,0.6394499631088559,0.9381962270430909,0.4543268413011406,0.42463069824870997,0.42857142857142855,-0.01584645000187717,0.6393005607710572,0.9383084592051532,0.4553803807335677,0.44271598303168885,0.17989417989417988,0.006050417272060656,0.3124850284662991,0.9609348015652729,0.20010007840414182,0.3836883138391784,0.01783156402291222,0.021896867273937824,-0.0040653032510256076,-0.24867724867724866,-0.24867724867724866,-0.010007018438599698
feature contribution,160213,Diabetes,No Diabetes,Blood Pressure|Insulin,train:220,0.0977,0.6190476190476191,-0.025721566022937615,0.4781896506627879,0.9502357138840859,0.6387455423497317,0.4375388337784547,0.5079365079365079,-0.026601262834465757,0.3861986913698304,0.9588027902078656,0.5096990824949849,0.4584417370955238,0.47619047619047616,-0.022482002295496725,0.4092476942924505,0.9561807367480747,0.47171546457901586,0.4555170291553399,0.0032395637274408896,0.004119260538969032,-0.0008796968115281426,-0.1428571428571429,-0.031746031746031744,-0.010101493193907542
weighted examples,160218,No Diabetes,Diabetes,Glucose|BMI,train:125,0.1533,0.0,0.029873725110845933,0.3887305808122682,0.9508594683089425,0.13057764199053157,0.5120685345945363,0.0,0.029636017532857613,0.3884331713716601,0.9509989292197708,0.12892736985322764,0.5221991342589951,0.4603174603174603,-0.032241441367283366,0.29510942796895534,0.9585752983717225,0.43914692606184763,0.4370238653152437,-0.0621151664781293,-0.06187745890014098,-0.0002377075779883206,0.4603174603174603,0.4603174603174603,-0.0319291333147782
weighted examples,160200,Diabetes,No Diabetes,Glucose|Blood Pressure,test:371,0.0674,0.42857142857142855,0.00888593762104957,0.33852739793735853,0.9426570717078929,0.48439012486856714,0.38920951214087357,0.4126984126984127,0.010949119640906101,0.32801322637062025,0.9427758514128279,0.47487107875025536,0.4099150215215884,0.14814814814814814,0.01724062244018015,0.3110873429246731,0.9342241776338901,0.19899070747954478,0.42024722510801366,0.00835468481913058,0.006291502799274049,0.0020631820198565316,-0.2804232804232804,-0.26455026455026454,-0.039851166878949865
weighted examples,160202,Diabetes,No Diabetes,Glucose|Insulin,test:371,0.0725,0.47619047619047616,-0.05403117478942417,0.22129031705171892,0.9676899001548116,0.4354099457540718,0.52718366597615,0.47619047619047616,-0.05453421968544665,0.221912735150925,0.9675460065280374,0.4408294033306702,0.5143730448783589,0.1746031746031746,-0.044417346503752585,0.2573860389375911,0.9609840738186247,0.1739453636271613,0.45734105181223766,0.009613828285671588,0.010116873181694068,-0.0005030448960224795,-0.30158730158730157,-0.30158730158730157,-0.04058675885009466
weighted examples,160216,No Diabetes,Diabetes,Insulin|BMI,train:18,0.1,0.5714285714285714,-0.014657255833343784,0.5226747079960444,0.9435898606014118,0.4438627761880126,0.47465408019381494,0.5555555555555556,-0.013904070780263221,0.5103769546258115,0.9453165507392168,0.43543536311344266,0.4652921000562079,0.5291005291005291,-0.037717620068850856,0.3927930868938775,0.9594272707896142,0.455948225903785,0.3752241445658433,-0.023060364235507072,-0.023813549288587636,0.0007531850530805625,-0.042328042328042326,-0.02645502645502651,-0.053752220402401595
weighted examples,160205,No Diabetes,Diabetes,Glucose|BMI,train:158,0.0474,0.38095238095238093,0.19678589530486437,0.8369508447589913,0.9354201954774479,0.487984819196123,0.40067418111399533,0.2222222222222222,0.18501321238275642,0.827288642738911,0.9428574317979554,0.2983715820396074,0.4077362653517302,0.3439153439153439,0.1593184235354218,0.49706207345201114,0.9435995460695566,0.3143767497586304,0.5547344320042737,-0.03746747176944257,-0.025694788847334615,-0.011772682922107952,-0.037037037037037035,0.12169312169312169,-0.05469665215116872
weighted examples,160209,No Diabetes,Diabetes,Glucose|Insulin,train:171,0.0625,0.5238095238095238,0.1427740776422136,0.7300524293194828,0.9319358500756982,0.45279075742230723,0.45088377615921194,0.4444444444444444,0.1370933640409739,0.6988933220233796,0.934528888034764,0.3983096636217403,0.4458371373895496,0.48677248677248675,0.11191186246139082,0.44651192364496933,0.9515455682147618,0.4695300606059281,0.366166686066049,-0.030862215180822772,-0.02518150157958307,-0.005680713601239701,-0.03703703703703709,0.042328042328042326,-0.05551461623130532
weighted examples,160203,Diabetes,No Diabetes,Glucose|BMI,test:371,0.0762,0.5714285714285714,-0.01679896247457617,0.4086723981069434,0.961463129719877,0.5758468746392102,0.4267809629677804,0.5079365079365079,-0.015926097829273105,0.3957100019664743,0.962183521276407,0.5192728166123107,0.4503346473264368,0.5238095238095238,-0.05199944490833643,0.3759505067239469,0.9593598530128545,0.530168777367376,0.5255369049649209,-0.03520048243376026,-0.03607334707906333,0.0008728646453030654,-0.04761904761904756,0.015873015873015928,-0.07444843268742676
weighted examples,160207,No Diabetes,Diabetes,Glucose|Insulin,train:171,0.0576,0.47619047619047616,0.15648706096835988,0.6546515628011579,0.9456360482321474,0.44772263626337516,0.4754017977163779,0.42857142857142855,0.1508892864544472,0.6269117608948889,0.9472732234544994,0.41835428367726407,0.47838239132314736,0.4973544973544973,0.10078673948845865,0.43065942282585973,0.950372090614931,0.47772511169135506,0.3837663549150235,-0.05570032147990123,-0.050102546965988565,-0.005597774513912662,0.021164021164021163,0.06878306878306878,-0.0968081594511808
weighted examples,160201,Diabetes,No Diabetes,Blood Pressure|Insulin,train:25,0.0877,0.6666666666666666,0.1376117654149555,0.7000109853892014,0.9241396699942735,0.6564141680963511,0.39952070748448504,0.6349206349206349,0.13200058473946705,0.6589264817506455,0.9251019456798751,0.6126100682886019,0.39109951521327063,0.32275132275132273,0.11637540290885688,0.45308900672563235,0.9322694027717306,0.31372875987369236,0.40033799468267933,-0.02123636250609863,-0.015625181830610166,-0.005611180675488464,-0.3439153439153439,-0.31216931216931215,-0.1024700099451744
weighted examples,160208,No Diabetes,Diabetes,Glucose|BMI,train:201,0.0682,0.5714285714285714,0.0532181528174707,0.5753079367755877,0.9428737438159756,0.5086185823656096,0.6096608910989902,0.5714285714285714,0.053929963746149216,0.5712105395822209,0.9435372988728066,0.508253640475476,0.6103024778101231,0.5925925925925926,-0.01693084869431655,0.3370268254788774,0.9552543686852129,0.568089015637942,0.49292547114114965,-0.07014900151178725,-0.07086081244046577,0.0007118109286785163,0.021164021164021163,0.021164021164021163,-0.13677700971944878
