instance id,original label,target label,n_rows,n_participants,mean_boundary,median_boundary,mean_orig_boundary,mean_improvement,success_rate,mean_proximity,mean_sparsity,mean_n_features_changed,move_toward_target_rate,mean_helpful_shap,Glucose_change_prevalence,Glucose_mean_abs_change,Glucose_mean_signed_change,Blood Pressure_change_prevalence,Blood Pressure_mean_abs_change,Blood Pressure_mean_signed_change,Insulin_change_prevalence,Insulin_mean_abs_change,Insulin_mean_signed_change,BMI_change_prevalence,BMI_mean_abs_change,BMI_mean_signed_change,Age_change_prevalence,Age_mean_abs_change,Age_mean_signed_change,original_Glucose_norm,original_Blood Pressure_norm,original_Insulin_norm,original_BMI_norm,original_Age_norm,easy_rank
160202,Diabetes,No Diabetes,62,62,0.12355406047587388,0.1103595993615,0.05697264848310001,-0.06658141199277386,0.7741935483870968,0.3883877469002315,0.6193548387096774,1.903225806451613,0.9193548387096774,0.7321619544323077,0.532258064516129,0.10764572625900563,-0.05498845379598145,0.5161290322580645,0.10659186535760483,-0.07643758765773387,0.20967741935483872,0.04456737792466129,0.03379074167207096,0.46774193548387094,0.08468303891091128,-0.041748814908169354,0.1774193548387097,0.04489973844808225,-0.030078465562308063,0.429688828431,0.478260869565,0.162913470263,0.375807811183,0.540540540541,11
160212,Diabetes,No Diabetes,62,62,0.12586769939890113,0.08538238439145,0.03725184322150001,-0.08861585617740113,0.6612903225806451,0.5420572578824725,0.5741935483870966,2.129032258064516,0.8709677419354839,0.6303685932656358,0.3225806451612903,0.07980867857675322,0.02495735309441774,0.4838709677419355,0.1132538569424645,-0.08730715287514192,0.4838709677419355,0.0904372653420871,-0.048195512129700004,0.6290322580645161,0.1840151728012935,-0.16346944139793868,0.20967741935483872,0.07454228421967742,-0.07454228421967742,0.310661452134,0.521739130435,0.352635486266,0.586541163248,0.945945945946,12
160204,Diabetes,No Diabetes,62,62,0.1357575648821392,0.11674538917300001,0.03958204914080001,-0.0961755157413392,0.8225806451612904,0.34581756865511126,0.6032258064516128,1.9838709677419355,0.9354838709677419,0.7921786336000415,0.5806451612903226,0.11148531904274678,-0.0826883731645758,0.5806451612903226,0.1051893408134629,-0.08976157082749195,0.27419354838709675,0.02923661501865419,0.004955922227278067,0.3870967741935484,0.05849391365828871,-0.02830538661648226,0.16129032258064516,0.04141238012203387,-0.04141238012203387,0.429688828431,0.478260869565,0.177348841046,0.298538915426,0.648648648649,13
160201,Diabetes,No Diabetes,62,62,0.13646718952061582,0.1135632331575,0.2811421174689998,0.14467492794838419,0.532258064516129,0.7432890174323548,0.5548387096774192,2.225806451612903,0.9032258064516129,0.4853208519851886,0.7580645161290323,0.4056255519414372,-0.4056255519414372,0.41935483870967744,0.08800841514724354,-0.04803646563815322,0.45161290322580644,0.08458062919589354,-0.04008243461508711,0.5483870967741935,0.14981722847113224,-0.13252404172964838,0.04838709677419355,0.015257192676548386,0.010026155187451612,0.956810066315,0.478260869565,0.338200115483,0.561955605507,0.405405405405,14
160203,Diabetes,No Diabetes,62,62,0.13763075618697299,0.136089702936,0.0605519329641,-0.07707882322287297,0.8548387096774194,0.4761929917333065,0.6258064516129033,1.8709677419354838,0.9354838709677419,0.7827443581783015,0.7741935483870968,0.27960463164590327,-0.27466801235248395,0.45161290322580644,0.08765778401122744,-0.06591865357645324,0.3064516129032258,0.036786912640054834,0.0006652244600096774,0.20967741935483872,0.04337295724607419,0.017441878381990322,0.12903225806451613,0.02877070619005,-0.02877070619005,0.735759224622,0.434782608696,0.197970799307,0.179123349255,0.702702702703,15
160208,No Diabetes,Diabetes,62,62,0.13978635269958148,0.102664556346,0.0900870805017,-0.04969927219788145,0.24193548387096775,0.4906255065621482,0.6322580645161289,1.8387096774193548,0.5483870967741935,0.3031852750077937,0.4838709677419355,0.11751896484575808,0.04785778148330645,0.3387096774193548,0.07012622720901128,-0.03716690042078226,0.532258064516129,0.17242351914375648,0.17082698043966615,0.45161290322580644,0.12053064017622567,0.10292221446766792,0.03225806451612903,0.010026155187435484,-0.005666957279854839,0.43819078388,0.565217391304,0.0804256372185,0.193172239393,0.486486486486,16
160207,No Diabetes,Diabetes,62,62,0.16430151917059,0.157391555712,0.20413527522300004,0.03983375605241004,0.4032258064516129,0.5566641645466048,0.6225806451612903,1.8870967741935485,0.7419354838709677,0.4507933256883511,0.5161290322580645,0.20144149283366933,0.20144149283366933,0.3870967741935484,0.09396914446002419,-0.04488078541374678,0.43548387096774194,0.15163791566553222,0.15163791566553222,0.4838709677419355,0.0943584189107097,0.03069890962483871,0.06451612903225806,0.015257192676532257,-0.0030514385353064507,0.123618432239,0.565217391304,0.10104759548,0.351222253442,0.459459459459,17
160209,No Diabetes,Diabetes,62,62,0.17033100180028582,0.1564387104235,0.21521987114599994,0.0448888693457142,0.45161290322580644,0.6088542316543937,0.6483870967741934,1.7580645161290323,0.6935483870967742,0.4525421097379366,0.5161290322580645,0.2549215351788871,0.2549215351788871,0.3225806451612903,0.09992987377276451,-0.06977559607289033,0.46774193548387094,0.1539662012756903,0.15356706659966773,0.3870967741935484,0.08434350895961935,0.04593375268528387,0.06451612903225806,0.015693112467290323,0.007846556233645162,0.0726066995409,0.652173913043,0.072176853914,0.312587805563,0.405405405405,18
160205,No Diabetes,Diabetes,62,62,0.18606502221793772,0.144386507583,0.2844351188139999,0.09837009659606234,0.22580645161290322,0.6403616488588532,0.6290322580645161,1.8548387096774193,0.8387096774193549,0.23950097936337653,0.4032258064516129,0.14494462758690002,0.13726544201937418,0.3548387096774194,0.08625525946701129,-0.07082748948103386,0.532258064516129,0.1944451096689387,0.1944451096689387,0.532258064516129,0.20774193548387096,0.20774193548387096,0.03225806451612903,0.006974716652129033,0.006974716652129033,0.217139942187,0.565217391304,0.0206219582612,0.0,0.189189189189,19
160206,No Diabetes,Diabetes,62,62,0.22565631172519357,0.1917100737645,0.5589463978930002,0.3332900861678065,0.11290322580645161,0.6453826700960598,0.6161290322580645,1.9193548387096775,0.9354838709677419,0.1344522135895858,0.41935483870967744,0.1427505745676339,0.13945949503869842,0.3870967741935484,0.11746143057504516,-0.10764375876578387,0.4838709677419355,0.14701460566824193,0.1465489485462161,0.532258064516129,0.21112903225806454,0.21112903225806454,0.0967741935483871,0.027027027027016128,0.027027027027016128,0.242645808536,0.695652173913,0.0948610080013,0.0,0.027027027027,20
