model family,model family label,xai,xai label,parameter,parameter label,low endpoint,high endpoint,metric,metric label,mean change (high - low)
weighted examples,Weighted-example family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,success,Counterfactual success rate,0.6333333333333333
weighted examples,Weighted-example family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.3,0.3,target confidence gain,Target-confidence gain,0.5822682219510322
weighted examples,Weighted-example family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,-0.15793650793650793
weighted examples,Weighted-example family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,0.003951034144467503
weighted examples,Weighted-example family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),0.010110584794196409
weighted examples,Weighted-example family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,0.0005160640309530562
weighted examples,Weighted-example family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,0.0
weighted examples,Weighted-example family,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,0.005572259542978464
weighted examples,Weighted-example family,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,actionability,Actionability rate,0.17142857142857137
weighted examples,Weighted-example family,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,boundary improvement,Boundary-distance improvement,-0.04777750573731328
weighted examples,Weighted-example family,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,edit L1,Normalized edit distance (L1),-0.17461300938633906
weighted examples,Weighted-example family,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,plausibility,Plausibility,0.006106276208777683
weighted examples,Weighted-example family,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,success,Counterfactual success rate,-0.042063492063492025
weighted examples,Weighted-example family,counterfactual,Counterfactual example,beta,Remembered-change reliance (β),0.0,1.0,target confidence gain,Target-confidence gain,-0.04377387437422392
weighted examples,Weighted-example family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,actionability,Actionability rate,-0.013492063492063555
weighted examples,Weighted-example family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,boundary improvement,Boundary-distance improvement,-0.0028200001539438885
weighted examples,Weighted-example family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,edit L1,Normalized edit distance (L1),-0.007857930844574701
weighted examples,Weighted-example family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,plausibility,Plausibility,4.289613985053453e-05
weighted examples,Weighted-example family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,success,Counterfactual success rate,0.013888888888888895
weighted examples,Weighted-example family,counterfactual,Counterfactual example,eta,Explanation reliance (η),0.0,1.0,target confidence gain,Target-confidence gain,0.01600825808622003
weighted examples,Weighted-example family,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,-0.020634920634920673
weighted examples,Weighted-example family,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,-0.002977502552745837
weighted examples,Weighted-example family,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),-0.025508409464548132
weighted examples,Weighted-example family,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,0.001603457985322465
weighted examples,Weighted-example family,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,0.050396825396825384
weighted examples,Weighted-example family,counterfactual,Counterfactual example,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,0.048537228395294285
weighted examples,Weighted-example family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,actionability,Actionability rate,-0.10462962962962963
weighted examples,Weighted-example family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,boundary improvement,Boundary-distance improvement,-0.05079612005624552
weighted examples,Weighted-example family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,edit L1,Normalized edit distance (L1),0.8708941848723771
weighted examples,Weighted-example family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,plausibility,Plausibility,-0.06481181487413379
weighted examples,Weighted-example family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,success,Counterfactual success rate,0.7046296296296296
weighted examples,Weighted-example family,counterfactual,Counterfactual example,rho,Signed change margin (ρ),-0.3,0.3,target confidence gain,Target-confidence gain,0.6874174818354822
weighted examples,Weighted-example family,none,No XAI,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,-0.6095238095238096
weighted examples,Weighted-example family,none,No XAI,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,0.0018318303351190918
weighted examples,Weighted-example family,none,No XAI,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),0.1062770037243782
weighted examples,Weighted-example family,none,No XAI,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,-0.001931173344423276
weighted examples,Weighted-example family,none,No XAI,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,0.009523809523809545
weighted examples,Weighted-example family,none,No XAI,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,-0.00948445120187158
weighted examples,Weighted-example family,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,0.06071428571428572
weighted examples,Weighted-example family,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,0.0024571644786813493
weighted examples,Weighted-example family,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),-0.02218943895038894
weighted examples,Weighted-example family,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,0.0005539822657687488
weighted examples,Weighted-example family,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,-0.06071428571428572
weighted examples,Weighted-example family,none,No XAI,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,-0.03340934484810931
weighted examples,Weighted-example family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,actionability,Actionability rate,-0.09999999999999998
weighted examples,Weighted-example family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,boundary improvement,Boundary-distance improvement,-0.10418898727715173
weighted examples,Weighted-example family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,edit L1,Normalized edit distance (L1),1.0522320588617335
weighted examples,Weighted-example family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,plausibility,Plausibility,-0.06026819935040173
weighted examples,Weighted-example family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,success,Counterfactual success rate,0.6666666666666666
weighted examples,Weighted-example family,none,No XAI,rho,Signed change margin (ρ),-0.3,0.3,target confidence gain,Target-confidence gain,0.6174028996844957
