model family,model family label,xai,xai label,parameter,parameter label,parameter value,metric,metric label,factorial case-evaluations,mean,10th percentile,90th percentile
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.2,plausibility,Plausibility,360,0.9762100991186367,0.9326486293480933,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.2,success,Counterfactual success rate,360,0.058333333333333334,0.0,0.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.2,target confidence gain,Target-confidence gain,360,0.05575070852183119,-1.2614951305778277e-10,0.09962735807090588
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.1,actionability,Actionability rate,360,0.8805555555555555,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.1,boundary improvement,Boundary-distance improvement,360,0.026207034650654295,-0.022889503138322366,0.13567688937987935
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.1,edit L1,Normalized edit distance (L1),360,0.136794123357852,0.0,0.3721545720320909
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.1,plausibility,Plausibility,360,0.9680056708548999,0.931219510414102,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.1,success,Counterfactual success rate,360,0.1361111111111111,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),-0.1,target confidence gain,Target-confidence gain,360,0.14713145843594533,-1.87771459913999e-05,0.7465089845883129
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.0,actionability,Actionability rate,360,0.7777777777777778,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.0,boundary improvement,Boundary-distance improvement,360,0.028552219179247516,-0.06161319870414937,0.17253664009210876
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.0,edit L1,Normalized edit distance (L1),360,0.2770018717799312,0.020567955961058537,0.5721545720320909
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.0,plausibility,Plausibility,360,0.9544660989842152,0.9206092264432733,0.9951683940171183
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.0,success,Counterfactual success rate,360,0.38055555555555554,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.0,target confidence gain,Target-confidence gain,360,0.3616344799761154,-0.002277242684972181,0.9858090528340642
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.1,actionability,Actionability rate,360,0.7777777777777778,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.1,boundary improvement,Boundary-distance improvement,360,0.010144632694328571,-0.15384086273587844,0.1919731389773638
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.1,edit L1,Normalized edit distance (L1),360,0.4761643962451956,0.22056795596105852,0.7721545720320909
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.1,plausibility,Plausibility,360,0.9345110920042852,0.9041077655039823,0.9576725357559348
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.1,success,Counterfactual success rate,360,0.5916666666666667,0.0,1.0
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.1,target confidence gain,Target-confidence gain,360,0.5636785258139537,-1.8805427630042004e-05,0.9958519876379556
feature contribution,Feature-contribution family,attribution,Feature attribution,rho,Signed change margin (ρ),0.2,actionability,Actionability rate,360,0.7777777777777778,0.0,1.0
