participant,domain,xai,testing cases,model family,k,locked feature,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_3rONzvm8h505G8I,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.2,0.0,1.0,1,0,0.43133543408104746,0.31341857538710166,0.1760894435491966,0.75,1.22603303830133,0.4357795663279454,0.3134185753871017,0.1849777080429924,0.75,1.2260330383013298,1
R_3sYj8jBAufTm73T,diabetes,attribution,20,feature contribution,observed per instance,glucose,0.0,1.0,0.0,nan,nan,1,0,0.5772686416849577,0.2906717633097356,0.44520904667965117,0.3,1.2190587640001247,0.5772686416849577,0.29067176330973565,0.4452090466796511,0.3,1.2190587640001247,1
R_3sYj8jBAufTm73T,diabetes,attribution,20,weighted examples,observed per instance,glucose,1.0,nan,0.15,6.0,0.0,1,0,0.5531993546297337,0.21789371456203735,0.32429242382150486,0.7,2.082052830529212,0.5842273067069496,0.21789371456203735,0.3863483279759366,0.7,2.0820528305292116,0
R_50DGG380VPVbOcp,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.0,0.15,nan,nan,1,0,0.38124228350658423,0.45896490763483266,0.22144947464800122,0.95,0.9676062879794729,0.3887422835065843,0.45896490763483266,0.2364494746480012,0.95,0.9676062879794729,1
R_50DGG380VPVbOcp,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,6.0,0.0,1,0,0.36016313878929934,0.43571604991326085,0.15604232749185956,0.9,1.1428576794649816,0.36403574659416993,0.42938285827761924,0.15745435146595907,0.9,1.186652447709175,0
R_5MWWICk2p3HwIcJ,diabetes,none,20,feature contribution,observed per instance,glucose,0.0,0.0,0.3,nan,nan,1,0,0.3681176223316759,0.40228285659112367,0.13851810125447553,0.85,1.2141056937207193,0.37126060453677023,0.3978291646566248,0.14035037373016532,0.9,1.2418664076491486,1
R_5MWWICk2p3HwIcJ,diabetes,none,20,weighted examples,observed per instance,glucose,0.0,nan,0.2,0.0,0.0,1,0,0.3887801886373772,0.3925736260540963,0.17013400332885073,0.9,1.3513268116140202,0.39372210345494163,0.3925736260540963,0.1800178329639795,0.9,1.3513268116140202,0
R_5dyiDVxpY3uvP1p,diabetes,attribution,20,feature contribution,observed per instance,glucose,1.0,1.0,0.0,nan,nan,1,0,0.3225305174994345,0.4206816252623862,0.06574266026125514,1.0,0.9125548563145143,0.3228815767119753,0.41997950683730456,0.06574266026125512,1.0,0.9866689644278255,1
R_5dyiDVxpY3uvP1p,diabetes,attribution,20,weighted examples,observed per instance,glucose,0.5,nan,0.0,2.0,0.0,1,0,0.4230213723889995,0.3866548125265042,0.2326975573045033,0.7,1.282358485377053,0.4280798446285418,0.3766897498326389,0.23284943908972253,0.7,1.329840526645838,0
R_5meYpVpIaQ4Mrnr,diabetes,counterfactual,20,feature contribution,observed per instance,glucose,0.0,0.0,0.05,nan,nan,1,0,0.4114408921819755,0.33582437633067536,0.15870616069462634,0.8,1.5048015584808931,0.47373807517210204,0.23981512546155778,0.18729127580576188,0.6,1.5568521783446119,0
R_5meYpVpIaQ4Mrnr,diabetes,counterfactual,20,weighted examples,observed per instance,glucose,0.0,nan,0.0,0.0,0.5,1,0,0.3539695016396912,0.4150156932872012,0.1229546965665838,0.65,1.1477362951290027,0.3539695016396912,0.41501569328720134,0.1229546965665838,0.65,1.1477362951290027,1
