participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_6AFu63hQCRQWzlx,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.1,nan,nan,1,4,0.3775268221253945,0.42129057045458973,0.17634421470537875,1.0,1.0701623003253524,0.39414310473470404,0.3918308673593304,0.18011707682873854,1.0,2.422727132422826,1
R_6AFu63hQCRQWzlx,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,2.0,0.0,1,4,0.43736554663961663,0.24776366894407728,0.12249476222331071,0.9,1.8787581284518553,0.45088086706312175,0.22276992826415812,0.12453166239040159,0.9,3.1930875325901282,0
R_6ikddGkEAp6v5rs,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.5,0.2,nan,nan,1,4,0.3295492948445687,0.4839000291731549,0.14299861886229218,0.9,0.9077624835002338,0.32954929484456863,0.4839000291731549,0.14299861886229218,0.9,0.9077624835002336,1
R_6ikddGkEAp6v5rs,diabetes,attribution,20,weighted examples,observed per instance,0.5,nan,0.1,6.0,0.0,1,4,0.35267402161842887,0.3451971246938216,0.050545167930679404,1.0,1.3164643445804483,0.36236458685677836,0.331303440075127,0.056032613788683794,1.0,1.3899048293684104,0
R_6odNeloeBdVKGdj,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.5,0.0,nan,nan,1,4,0.4650875599911771,0.37623157362893,0.3064066936112842,0.6,1.2421859622173534,0.4924144359237051,0.3250554029222359,0.30988427476964603,0.6,3.88939085079217,1
R_6odNeloeBdVKGdj,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.1,2.0,1.0,1,4,0.5604848841832971,0.1997950759452815,0.3207648443118755,0.5,1.645298298624128,0.5551712886809614,0.1859180661723238,0.29626064353424686,0.7,4.447666446064005,0
R_6wXGfWyjo5t4lnH,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.5,0.05,nan,nan,1,4,0.4755400329723763,0.357744552747124,0.3088246186918765,0.6,1.27366619062602,0.5137202702835466,0.29483995199284874,0.3222804925599421,0.6,2.6502849491553855,1
R_6wXGfWyjo5t4lnH,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.15,6.0,0.0,1,4,0.4620944130230364,0.31620445326793006,0.2403932793140028,0.75,1.6448707057809233,0.471220862614054,0.330146792582559,0.272588517810667,0.75,2.8627617119536173,0
R_71RY4LPSIYx8Hst,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.0,nan,nan,1,4,0.4599168174461636,0.28528342240795646,0.20511705730028362,0.75,1.3190328450188349,0.4621501685063598,0.28581672028756405,0.2101170573002836,0.75,2.540774752605488,1
R_71RY4LPSIYx8Hst,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.497477025788469,0.19857012409266023,0.19352417566959826,0.55,2.185602059369804,0.49869999922295827,0.18323943865959377,0.1806394371055103,0.55,3.5261302974039084,0
R_7HbIET5CgcoCLFJ,diabetes,attribution,20,feature contribution,observed per instance,0.5,0.5,0.15,nan,nan,1,4,0.3686271434001263,0.4190849924589579,0.15633927925921037,0.95,1.1440258643392867,0.4031827265812093,0.3695815763054445,0.17594702946786306,0.95,1.2940945974446691,1
R_7HbIET5CgcoCLFJ,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.05,2.0,0.0,1,4,0.39329937293425987,0.379988270283437,0.1665870161519567,0.8,1.2974809358096817,0.39894796435836144,0.3694454976260186,0.16734142634274135,0.8,1.3488427536613794,0
R_7KJVcP40lic0MLg,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.5,0.15,nan,nan,0,4,0.37017678234654094,0.3974416579799712,0.1377952226730531,0.95,1.0912891335673924,0.41113399953818164,0.3418575009683317,0.16412550004469478,0.95,1.3463301059749564,0
R_7KJVcP40lic0MLg,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.2,0.0,1.0,0,4,0.34875061926812834,0.4277636360995258,0.1252648746357826,0.95,1.1693921376238179,0.35011139476686665,0.4277636360995258,0.12798642563325907,0.95,1.1693921376238179,1
R_7OLfrecF1gIsoj7,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.05,nan,nan,0,4,0.39934478932550693,0.41101518632693884,0.20970476497795282,0.9,1.0083031501855457,0.404396270592946,0.3822203319467388,0.1910128731326309,0.9,1.1635388946999097,0
R_7OLfrecF1gIsoj7,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.05,0.0,1.0,0,4,0.34183040705158607,0.42504340441003113,0.10870421851320337,0.9,1.1138136914366936,0.34433040705158613,0.4250434044100312,0.11370421851320334,0.9,1.1138136914366938,1
R_7Qh7ofV2bDyshsg,diabetes,attribution,20,feature contribution,observed per instance,0.0,1.0,0.0,nan,nan,0,4,0.5467752444853309,0.30397989234917566,0.39753038131983764,0.0,1.0940727722315526,0.546775244485331,0.3039798923491757,0.39753038131983764,0.0,1.0940727722315526,1
R_7Qh7ofV2bDyshsg,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.0,6.0,0.0,0,4,0.46964684591455574,0.33265161468233645,0.27194530651144777,0.45,1.5695876835817049,0.47536606667123227,0.31920907673442706,0.26994121007689154,0.45,1.6054840743953516,0
R_7Yxs9v5sGmNaIqa,diabetes,attribution,20,feature contribution,observed per instance,0.0,1.0,0.0,nan,nan,1,4,0.5818918970624667,0.23878969315592338,0.40257348728085696,0.45,1.4081148663805572,0.5823461367143326,0.24591442546315948,0.41060669889182444,0.45,1.5921975220819091,1
R_7Yxs9v5sGmNaIqa,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.3,6.0,0.0,1,4,0.5226101971668574,0.2943727368423309,0.3395931311760457,0.7,1.6157657329247705,0.5528133030609929,0.2943727368423309,0.39999934296431666,0.7,1.61576573292477,0
R_7dLf87GYWh7ib3L,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.3,nan,nan,0,4,0.36452092642451134,0.42318854546338447,0.15223039831240703,1.0,1.1531649876162677,0.40396898881473337,0.34417015397154643,0.1521081316010131,1.0,1.3211477496444757,1
R_7dLf87GYWh7ib3L,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.3,0.0,0.0,0,4,0.497947458583787,0.3082456127613592,0.30414052992893315,0.75,1.6352683197229259,0.502947458583787,0.3082456127613593,0.3141405299289331,0.75,1.6352683197229254,0
R_7g5abNEr7vFVyvi,diabetes,attribution,20,feature contribution,observed per instance,0.0,1.0,0.0,nan,nan,0,4,0.562021072086788,0.2629243883169446,0.38696653249052027,0.05,1.360929428068784,0.5652745828310679,0.2485033626827607,0.37905252834489644,0.05,1.5088948508960618,1
R_7g5abNEr7vFVyvi,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.5327228645785499,0.22543093887388066,0.29087666803098033,0.25,1.8736972371814482,0.5327228645785499,0.22543093887388066,0.29087666803098033,0.25,1.8736972371814482,0
R_7hgRhwQwSRyqBIR,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.0,nan,nan,1,4,0.45742435954775396,0.34254000255421635,0.25738872164972426,0.5,1.345799313096148,0.47326349689367336,0.31086172786237753,0.25738872164972426,0.5,2.6952149415099464,1
R_7hgRhwQwSRyqBIR,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.05,0.0,0.0,1,4,0.47833869005631546,0.2324994513307454,0.1891768314433761,0.65,1.9461790083761568,0.499800025055707,0.19953173628687396,0.19913178639828782,0.65,3.2721502017808293,0
R_7hmrIdn7RLRi2Rz,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.25,nan,nan,1,4,0.3823228446175468,0.38364514695178337,0.14829083618687694,1.0,1.1775017090880033,0.40181101163554206,0.37054520340338726,0.1741672266744712,1.0,2.496560424265855,1
R_7hmrIdn7RLRi2Rz,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.25,0.0,0.0,1,4,0.4751550210613436,0.23779120747261162,0.18810124959529861,0.85,1.8452459072244938,0.4980502843886573,0.22542410424136433,0.22152467301867884,0.85,3.161744066650894,0
R_7kuDqbBN7bMoK74,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.0,0.1,nan,nan,1,4,0.45016588250567047,0.2883247954727271,0.188656560484068,0.9,1.571014623515052,0.4627390465107865,0.2755613162642681,0.2010394092858412,0.9,1.664115704577974,0
R_7kuDqbBN7bMoK74,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.46770274649148663,0.2877898541740192,0.22319534715699244,0.7,1.5735474116196702,0.4682651603207072,0.2771661094936533,0.21369643013506773,0.7,1.6246193031342167,1
R_7syu0dQm97V3Ah8,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.0,nan,nan,0,4,0.4082421213593589,0.3513228960513512,0.16780713877006914,0.7,1.0609259653126486,0.4265588602344703,0.31463247333122935,0.16775019380016995,0.7,1.2224130503784074,1
R_7syu0dQm97V3Ah8,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.05,6.0,0.0,0,4,0.4136704328421157,0.25470941749340914,0.08205028317764043,0.85,1.8518377103560095,0.41982078462700423,0.25470941749340914,0.09435098674741779,0.85,1.8518377103560095,0
