participant,xai,case,instance id,selected model family,possible subsets,mean selection F1,mean amount MAE,mean direction accuracy,observed success,simulated success,observed target confidence gain,simulated target confidence gain,observed boundary improvement,simulated boundary improvement,observed plausibility,simulated plausibility,observed actionability,simulated actionability,observed edit L1,simulated edit L1
R_5F38MGbZJklp6TP,attribution,18,160216,feature contribution,6,0.1260805202905324,0.1143087984345403,0.0,0.0,1.0,0.375892378977,0.9220836433468438,0.0313821915718,-0.07792560264391227,0.963825795291,0.9567753387890122,1.0,1.0,0.1808710235444,0.21612330605493865
R_5F38MGbZJklp6TP,attribution,19,160208,feature contribution,4,0.0,0.26299810992674355,nan,0.0,0.09622215517359035,-0.00273822245887,0.0803213349538154,-0.0118866043279,-0.01806960338959753,0.973913043478,0.9294915465961909,1.0,1.0,0.130434782609,0.3898789416780517
R_5F38MGbZJklp6TP,attribution,20,160209,feature contribution,4,0.0,0.37519256646171867,nan,0.0,0.8509879128330515,-3.98894227482e-06,0.8415585154524199,-0.0938240864226,0.07566525479439132,0.969565217391,0.9307593109459078,1.0,1.0,0.152173913043,0.5921806253816193
R_5L0xQQar3o8Bvr3,counterfactual,1,160214,feature contribution,5,0.041497215513004636,0.044415177187270394,0.0,0.0,0.0,-0.00314813984479,0.0026877753515821045,-0.0601362646412,0.0051397453600123735,0.98469648019,0.9982037495920987,1.0,0.9395155035703484,0.0765175990478,0.00898125203950587
R_5L0xQQar3o8Bvr3,counterfactual,2,160210,feature contribution,5,0.49792890801866263,0.4199007697636321,0.0,0.0,0.8914577331940441,-0.00206071574084,0.8777022975147615,-0.207875074319,-0.05228693517997241,0.877846692651,0.9403961473461561,1.0,0.9395155035703484,0.280458632352,0.2880050124093833
R_5L0xQQar3o8Bvr3,counterfactual,3,160202,feature contribution,5,0.49792890801866263,0.1591816012343484,0.0,0.0,0.0,0.0313244390706,0.005039032271371591,-0.0096926657244,0.0014205160676246892,0.958756083477,0.9985371709196089,1.0,0.9395155035703484,0.206219582612,0.00731414540195479
R_5L0xQQar3o8Bvr3,counterfactual,4,160203,feature contribution,5,0.06704505129295107,0.165497490319555,0.0,0.0,0.0,-0.0137918322867,0.012112592219654467,-0.0913493292434,0.0009451598362121987,0.941824669851,0.9962220313656589,1.0,0.9395155035703484,0.290876650745,0.018889843171705566
R_5L0xQQar3o8Bvr3,counterfactual,5,160204,feature contribution,10,0.7478882035672998,0.1341932203700853,0.0,0.0,0.0,-0.0177179322832,0.028086944675239974,-0.0388799006641,0.00700881932593359,0.939044719164,0.9968433892543176,1.0,0.8199633565026399,0.304776404176,0.015783053728411083
R_5L0xQQar3o8Bvr3,counterfactual,6,160211,feature contribution,5,0.49792890801866263,0.28207306615461747,0.0,0.0,0.1690267632356071,0.0256648604417,0.3043344929304659,-0.0289652903392,0.02704581012153832,0.916034579174,0.9091787023036654,1.0,0.9395155035703484,0.105171987132,0.3100842423835152
R_5L0xQQar3o8Bvr3,counterfactual,7,160200,feature contribution,5,0.49792890801866263,0.14192921676993742,0.0,1.0,0.0,0.671199237739,-0.0008037133514916789,0.0818160060278,-0.004708371078835884,0.959020741903,0.9385676807520899,1.0,0.9395155035703484,0.17528664522,0.014771767825666521
R_5L0xQQar3o8Bvr3,counterfactual,8,160201,feature contribution,10,0.7478882035672998,0.34118670340350676,0.0,0.0,0.75618761791705,-8.98971193198e-06,0.7105239660166733,0.0302278261562,0.2284515058904738,0.944873935792,0.9219321675690807,1.0,0.8199633565026399,0.38313984556799996,0.4422857422506553
R_5L0xQQar3o8Bvr3,counterfactual,9,160213,feature contribution,5,0.49792890801866263,0.28782452553948895,0.0,0.0,0.9999999999999998,-0.0057834213773,0.8762445633563793,-0.0661364255247,0.014064417432705489,0.978965602573,0.9459566221630658,1.0,0.9395155035703484,0.105171987132,0.30618475741598206
R_5L0xQQar3o8Bvr3,counterfactual,10,160212,feature contribution,5,0.49792890801866263,0.500089022030058,0.0,0.0,0.9999999999999998,-0.014515139382,0.9153366384545194,-0.24227469525,-0.14448145904492965,0.946382908521,0.9196986631319944,1.0,0.9395155035703484,0.268085457395,0.4230176850037926
R_5L0xQQar3o8Bvr3,counterfactual,11,160206,feature contribution,10,0.6052665991995538,0.14682399556968648,1.0,0.0,0.04223005185907981,8.8381677088e-05,0.04110135040464926,0.435487101555,0.22626968388837165,0.936997146397,0.8921297279697241,0.0,0.5647523370576153,0.702691132112,0.7980681361199651
R_5L0xQQar3o8Bvr3,counterfactual,12,160217,feature contribution,5,0.0604844964296514,0.3277590030689248,1.0,1.0,0.0,0.776411361444,-0.14338764030568962,-0.0410960262648,-0.09576025541922278,0.976460668286,0.9308559142324062,0.0,0.9395155035703484,0.135135135135,0.5008902746677564
R_5L0xQQar3o8Bvr3,counterfactual,13,160207,feature contribution,10,0.7478882035672998,0.10807341607832464,1.0,1.0,0.8437748049110627,0.999963845917,0.8378383842064345,0.0846063347781,0.08872412362633822,0.903574950955,0.9300439309028521,1.0,0.8199633565026399,0.482125245222,0.3885591709241562
R_5L0xQQar3o8Bvr3,counterfactual,14,160205,feature contribution,10,0.4951040190857477,0.2847085557280017,1.0,0.0,0.008814518039946711,6.2371021652e-05,0.022557096748161202,0.103565026735,-0.04558376007531056,0.96490089958,0.8769407879370712,1.0,0.8199633565026399,0.34941103687200004,0.865552068591646
R_5L0xQQar3o8Bvr3,counterfactual,15,160219,feature contribution,10,0.4951040190857477,0.17268078879057883,1.0,1.0,0.8707161823694926,0.9431402022,0.5409029954583124,-0.0698430949854,0.021280840846927652,0.919582534277,0.9236857862757151,1.0,0.8199633565026399,0.437906355659,0.49372404483193527
R_5L0xQQar3o8Bvr3,counterfactual,16,160209,feature contribution,5,0.49792890801866263,0.23463015134876802,1.0,1.0,0.5394261235316673,0.974718628094,0.5177469894650905,0.167580516146,0.1038520368822968,0.946382908521,0.9240101494449783,1.0,0.9395155035703484,0.268085457395,0.4105627679262087
R_5L0xQQar3o8Bvr3,counterfactual,17,160208,feature contribution,10,0.7478882035672998,0.11330972244345276,1.0,0.0,0.23706128727596887,-0.00643853960489,0.24999497181271144,-0.0166691101657,0.027056929111449187,0.930538071721,0.9401944735476465,1.0,0.8199633565026399,0.347309641393,0.3068773628945863
R_5L0xQQar3o8Bvr3,counterfactual,18,160218,feature contribution,5,0.49792890801866263,0.13263359992635132,1.0,0.0,0.0,-0.0136300557358,0.00014844953375948815,-0.0287545303142,-0.004703988745995611,0.96288047513,0.9972023387035625,1.0,0.9395155035703484,0.18559762435,0.013988306482186737
R_5L0xQQar3o8Bvr3,counterfactual,19,160215,feature contribution,5,0.49792890801866263,0.40367083500499884,1.0,1.0,0.49792890801866263,0.845870205545,0.37562356333600627,-0.00206800108715,-0.03368863841237871,0.951577196372,0.9072928001959437,1.0,0.9395155035703484,0.136104924524,0.5943725220443327
R_5L0xQQar3o8Bvr3,counterfactual,20,160216,feature contribution,10,0.4951040190857477,0.11836093587103146,1.0,1.0,0.9792003587816516,0.942405539908,0.9072612373670539,-0.1532512554,-0.12283716760645043,0.922763008191,0.9406578034355857,1.0,0.8199633565026399,0.386184959045,0.30239303250987903
R_5cuU4NG0z68t0DW,counterfactual,1,160213,feature contribution,4,0.7848958559280251,0.08555596260875262,1.0,1.0,0.6453124322159247,0.960394471549,0.5530284365780345,0.0410348009558,0.02566182297283767,0.960176145177,0.961926875405231,1.0,1.0000000000000002,0.6823653156509999,0.5945603534853109
R_5cuU4NG0z68t0DW,counterfactual,2,160203,feature contribution,6,0.6439937879078478,0.1367142289568316,0.755915338126274,1.0,0.6253133887909806,0.980414555824,0.7618032485704729,-0.0685643476378,0.0010188038507281342,0.928308310878,0.9536602236997122,1.0,0.9999999999999999,0.358458445607,0.231698881501439
R_5cuU4NG0z68t0DW,counterfactual,3,160204,feature contribution,4,0.7473386002875915,0.11567989907021453,0.5648281050073183,1.0,1.0,0.929495800318,0.96850136447631,-0.0173024773428,-0.17216513815578863,0.953322432566,0.9358064787977347,1.0,1.0,0.2333878371668,0.32096760601132635
R_5cuU4NG0z68t0DW,counterfactual,4,160214,feature contribution,4,0.8541364308477905,0.11801541233685822,0.701490443337293,1.0,1.0,0.995957201372,0.9958678516754671,-0.159355907181,-0.1358276415257916,0.956046836964,0.9365572545730501,1.0,1.0,0.36084968844809995,0.32871737143666563
R_5cuU4NG0z68t0DW,counterfactual,5,160202,feature contribution,6,0.4436799262587864,0.21770539927830201,0.0,0.0,0.9999999999999999,-0.0167629397524,0.9570956781772537,-0.0912087231473,-0.02052630165230667,0.958330141843,0.957179504934539,1.0,0.9999999999999999,0.448239119611,0.21462672985107778
R_5cuU4NG0z68t0DW,counterfactual,6,160201,feature contribution,4,0.07751629315091489,0.4377757700414806,0.0,0.0,0.8618218452964977,-9.94052369713e-06,0.530666371827303,-0.108815637585,0.24991305282161128,0.918855838679,0.9160053915166652,1.0,0.9999999999999999,0.239130434783,0.5915964662170106
R_5cuU4NG0z68t0DW,counterfactual,7,160210,feature contribution,6,0.7732047699528282,0.1424538562877572,1.0,1.0,0.39504159175711134,0.94490795996,0.4426707442568029,0.0441092029118,0.028611346222158926,0.960850508906,0.9377874729217953,1.0,1.0,0.478191846757,0.21733340396979597
R_5cuU4NG0z68t0DW,counterfactual,8,160212,feature contribution,6,0.751468291402099,0.18292090684788664,1.0,1.0,0.4344701784168019,0.98538039599,0.64737744005441,-0.0474438111898,0.00021514325092869286,0.917775285996,0.9549439366894484,1.0,1.0,0.580888989335,0.22617649195115208
R_5cuU4NG0z68t0DW,counterfactual,9,160211,feature contribution,4,0.888896774835791,0.08067819420015046,1.0,1.0,0.8297133310708092,0.9821926055,0.6242341275819823,-0.048685160599,0.0333796845155949,0.938575294814,0.9507136560127581,1.0,1.0000000000000002,0.6180100058244999,0.6945102724428822
R_5cuU4NG0z68t0DW,counterfactual,10,160200,feature contribution,4,0.7962888780490235,0.1004453093560649,1.0,1.0,0.4218483173924312,0.537500463878,0.5700353765833353,0.0939146296768,0.06424166784238323,0.948773735984,0.9360512410450486,1.0,1.0,0.4951317764461,0.3880577569451948
R_5cuU4NG0z68t0DW,counterfactual,11,160217,feature contribution,6,0.8039753814266234,0.11615593907878645,1.0,0.0,0.7446779630522229,-0.113226710758,0.5769705216106175,-0.0327317315754,-0.03678177569685255,0.96862784295,0.9385745764948867,1.0,1.0,0.41390476331299997,0.5234990371116799
R_5cuU4NG0z68t0DW,counterfactual,12,160207,feature contribution,6,0.6438626694181778,0.1944915744465454,1.0,0.0,0.696304806743654,0.0138906221101,0.6957838375313039,0.139807576838,0.09256856474431238,0.953094038189,0.9382265045121413,1.0,1.0000000000000002,0.356832499151,0.7031173933918887
R_5cuU4NG0z68t0DW,counterfactual,13,160216,feature contribution,6,0.6186713373763977,0.14567663516434876,1.0,1.0,1.0,0.853450924131,0.8709008077985704,-0.0148537705334,-0.06501904905342024,0.935215958796,0.9420925509016977,1.0,1.0,0.500958745129,0.30110404898540466
R_5cuU4NG0z68t0DW,counterfactual,14,160208,feature contribution,6,0.7590526145537363,0.13699550779643738,1.0,1.0,0.5745481459955866,0.985394911495,0.6315248231099285,-0.107347687041,-0.019717657695221543,0.938149348526,0.9356340538353145,1.0,1.0,0.40638055775000004,0.560933723131865
R_5cuU4NG0z68t0DW,counterfactual,15,160215,feature contribution,6,0.421284408958809,0.28981871673529186,1.0,1.0,0.5950234695351573,0.48965590471,0.5150757576166947,0.0571785977609,-0.03245300567172742,0.918283318653,0.9394211951660654,1.0,1.0,0.673934532029,0.656867026140472
R_5cuU4NG0z68t0DW,counterfactual,16,160219,feature contribution,6,0.7357492381556698,0.2410394177876837,1.0,0.0,0.8109423542054987,-0.0364943390448,0.711658697851409,-0.0704885745691,-0.02026151983653672,0.950247421509,0.9466205781284713,1.0,1.0,0.930258621743,0.4941496960981098
R_5cuU4NG0z68t0DW,counterfactual,17,160205,feature contribution,6,0.8125243289686296,0.1821682138617041,1.0,1.0,0.10476069474662739,0.506625956526,0.3884934894565207,0.283204942634,0.24101972154404333,0.941925076401,0.90561388816763,1.0,1.0000000000000002,0.819066485292,1.0000182152342285
R_5cuU4NG0z68t0DW,counterfactual,18,160209,feature contribution,6,0.6125017122863762,0.18805668934002043,0.8061223031789861,1.0,0.7052554182613008,0.597959408224,0.6555610793323721,0.207804724959,0.1325121752862856,0.9482140234,0.9379845225645075,1.0,0.9999999999999999,0.2589298829997,0.6963163674018836
R_5cuU4NG0z68t0DW,counterfactual,19,160218,feature contribution,6,0.5017167907147054,0.15822135615469338,1.0,1.0,0.7797915595128697,0.971499193398,0.6339327923814524,-0.209100146757,0.04185277271251482,0.917525524319,0.9540353296582017,1.0,0.9999999999999999,0.4809337043843,0.22982335170899093
R_5cuU4NG0z68t0DW,counterfactual,20,160206,feature contribution,4,0.8017348272150902,0.1328946484587583,0.8049778515379328,0.0,0.0,0.278480960864,0.009646280253111674,0.522084716994,0.4469154029381376,0.918299066241,0.9377750265359976,1.0,0.9999999999999998,0.8660116333228001,0.8414084782440155
R_5gkJQXcSCkjRBmu,none,1,160201,weighted examples,6,0.6952120453833708,0.16528608497317487,1.0,1.0,0.9098276988374773,0.999961614241,0.8765854286061967,0.0835175002225,0.18706440446589898,0.904530571378,0.9173605731407529,1.0,1.0,0.9320729324920001,0.792580770647839
R_5gkJQXcSCkjRBmu,none,2,160203,weighted examples,4,0.7337753583256976,0.1937738951376097,1.0,1.0,0.7337753583256976,0.984560431813,0.7231216140624803,-0.106593334432,-0.04988876034970158,0.91847821033,0.9520628901978558,1.0,0.9999999999999999,0.476109505186,0.2899495696486208
R_5gkJQXcSCkjRBmu,none,3,160200,weighted examples,6,0.7240409070705826,0.12542601198162784,1.0,1.0,0.9567121562519664,0.983346400018,0.7972196826656109,-0.0128807400781,0.049665402568582005,0.949953691544,0.9462917797495927,1.0,1.0000000000000002,0.595420251491,0.435985263281401
R_5gkJQXcSCkjRBmu,none,4,160212,weighted examples,4,0.5183803844023851,0.17062959012030854,1.0,1.0,1.0,0.866460330629,0.868112442969701,0.0123744790907,-0.07253631819804167,0.92269176735,0.9299464370017715,1.0,1.0,0.386541163248,0.35026781499114246
