participant,xai,wave,slope_type,outcome,slope
R_1ihbKBZG0EAXF8D,counterfactual,original_36,test_trial,response_time,-5.016976888270827
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,boundary_new,0.032898811325361856
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,boundary_improvement,0.016746379564785096
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,success,-0.07370434740955022
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,confidence_gain,-0.06158063968654944
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,edit_l1,-0.009944656666022567
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,target_helpful_shap,0.029724219254045642
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,cf_demo_cosine,-0.027831839496066005
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,attribution_feature_overlap,0.023845524161913302
R_1jEfVgE4WoI6fVO,attribution,new_26,test_trial,response_time,0.3789920899297505
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,boundary_new,0.01096944629795101
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,boundary_improvement,0.01892530287898519
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,success,-0.15174424466672107
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,confidence_gain,-0.16253987147087118
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,edit_l1,0.020683262051103896
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,target_helpful_shap,-0.03279320589378476
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,cf_demo_cosine,0.017810525579651543
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,attribution_feature_overlap,0.05708473966033791
R_1myAGA2v3gStUIS,attribution,original_36,test_trial,response_time,-0.9920388383833088
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,boundary_new,-0.003124735390263772
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,boundary_improvement,0.03475941943469182
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,success,-0.06503324771430907
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,confidence_gain,-0.05605814801782296
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,edit_l1,0.016658857881208317
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,target_helpful_shap,0.04976559825222292
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,cf_demo_cosine,0.01632794772336915
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,attribution_feature_overlap,0.0036129582063504835
R_1vbS8BCLvmrwGHr,attribution,original_36,test_trial,response_time,-3.8394892407053978
R_1yltjaSsgo0dVO7,none,original_36,test_trial,boundary_new,-0.0827861699949658
R_1yltjaSsgo0dVO7,none,original_36,test_trial,boundary_improvement,0.1051416529007457
R_1yltjaSsgo0dVO7,none,original_36,test_trial,success,-4.965068306494547e-17
R_1yltjaSsgo0dVO7,none,original_36,test_trial,confidence_gain,-0.021793795875093974
R_1yltjaSsgo0dVO7,none,original_36,test_trial,edit_l1,0.227092561649542
R_1yltjaSsgo0dVO7,none,original_36,test_trial,target_helpful_shap,-0.00012621733791173405
R_1yltjaSsgo0dVO7,none,original_36,test_trial,cf_demo_cosine,-0.04668689108494026
R_1yltjaSsgo0dVO7,none,original_36,test_trial,attribution_feature_overlap,-0.022472600043500112
R_1yltjaSsgo0dVO7,none,original_36,test_trial,response_time,-2.8352805138998165
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,boundary_new,0.032742175843423545
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,boundary_improvement,-0.005332963327111749
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,success,-0.1647508942095829
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,confidence_gain,-0.13674846116577494
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,edit_l1,0.20746566057526813
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,target_helpful_shap,-0.007090769303761535
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,cf_demo_cosine,0.07415671126860648
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,attribution_feature_overlap,0.10188542141908412
R_3CPW0AmZIfESbrT,counterfactual,new_26,test_trial,response_time,-4.50597597658072
R_3ENoszlL5q7JglI,none,original_36,test_trial,boundary_new,-0.05750518626029024
R_3ENoszlL5q7JglI,none,original_36,test_trial,boundary_improvement,0.08841046435517791
R_3ENoszlL5q7JglI,none,original_36,test_trial,success,-0.08237544710479144
R_3ENoszlL5q7JglI,none,original_36,test_trial,confidence_gain,-0.09600379340812122
R_3ENoszlL5q7JglI,none,original_36,test_trial,edit_l1,0.1534414595436296
R_3ENoszlL5q7JglI,none,original_36,test_trial,target_helpful_shap,-0.062202785388868545
R_3ENoszlL5q7JglI,none,original_36,test_trial,cf_demo_cosine,-0.02021433558717248
R_3ENoszlL5q7JglI,none,original_36,test_trial,attribution_feature_overlap,-0.025652003265088548
R_3ENoszlL5q7JglI,none,original_36,test_trial,response_time,3.1499070307917916
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,boundary_new,-0.006772380285721695
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,boundary_improvement,0.03404268990540062
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,success,-0.09971764649527382
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,confidence_gain,-0.09812123658343798
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,edit_l1,0.005190681231709676
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,target_helpful_shap,0.011737790697754647
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,cf_demo_cosine,0.12874909794340894
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,attribution_feature_overlap,-0.04010383609049058
R_3FXVdEYgbSYjhFQ,counterfactual,new_26,test_trial,response_time,-1.1498008262385269
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,boundary_new,0.011696908996820464
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,boundary_improvement,0.013265338561066532
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,success,0.1213953957333768
R_3Fo0QmOVx6lcU4W,counterfactual,original_36,test_trial,confidence_gain,0.06111181888790939
