slope_type,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_slope_type
nearest_training_distance,target_centroid_progress,counterfactual - attribution,27,16,-0.047306396951665955,-0.029517493543981872,-0.017788903407684083,-0.04768556543241821,0.011631132792580656,0.24725,0.2712555396007863,-0.3564576067020284,0.9290357142857142,0.9069230769230769
nearest_training_distance,boundary_improvement,counterfactual - attribution,27,16,-0.040651305888559815,-0.03280578411756208,-0.007845521770997732,-0.019269135090968764,0.003949667289785073,0.25075,0.21830488308578608,-0.3690174493116337,0.9290357142857142,0.9069230769230769
nearest_training_distance,cf_demo_cosine,counterfactual - none,27,19,-0.049234721689435545,-0.08618619466049274,0.03695147297105719,-0.025092549509180655,0.09609140124971145,0.252,0.25026935786071597,0.3401087399521333,0.9290357142857142,0.9069230769230769
test_trial,success,counterfactual - attribution,27,16,-0.10662241106741037,-0.16637672540244058,0.059754314335030215,-0.031247321387298445,0.1523953298434904,0.2665,0.2255126675483973,0.3411214522027538,0.9290357142857142,0.897
original_boundary_distance,success,counterfactual - attribution,27,16,-0.10101405493021842,-0.13118408481676108,0.03017002988654266,-0.022231006285411324,0.08035608602026684,0.27675,0.26917952056538724,0.3349017524072517,0.9290357142857142,0.7630434782608695
test_trial,cf_demo_cosine,counterfactual - attribution,27,16,-0.006058905540094454,-0.06855618462060084,0.06249727908050639,-0.03088421788970261,0.15878437179080795,0.277,0.2376482836597219,0.34101432627042644,0.9290357142857142,0.897
nearest_training_distance,target_centroid_progress,counterfactual - none,27,19,-0.047306396951665955,-0.06296196862923836,0.015655571677572408,-0.01202801639769693,0.0429950435749978,0.28225,0.29181425022314506,0.3181460794664197,0.9290357142857142,0.9069230769230769
original_boundary_distance,boundary_new,attribution - none,16,19,0.04121659768382561,0.024463963460016884,0.016752634223808724,-0.012641844392629387,0.046879954171293155,0.28675,0.29194820446745706,0.347271358492683,0.9290357142857142,0.7630434782608695
original_boundary_distance,boundary_improvement,attribution - none,16,19,0.0855043159461144,0.10225695016992313,-0.016752634223808724,-0.0442374580039382,0.012502135374111613,0.28875,0.29194820446745695,-0.3472713584926829,0.9290357142857142,0.7630434782608695
test_trial,success,attribution - none,16,19,-0.16637672540244058,-0.10907330669277095,-0.05730341870966964,-0.16115659503081123,0.045035167500230684,0.299,0.2889395348958972,-0.34537579470349294,0.9290357142857142,0.897
original_boundary_distance,cf_demo_cosine,counterfactual - attribution,27,16,0.07086257604527856,0.03977372151186906,0.031088854533409496,-0.030036942588707687,0.09405083622691386,0.325,0.3486353742696593,0.29934797079499803,0.9392448979591838,0.7630434782608695
original_boundary_distance,target_centroid_progress,attribution - none,16,19,0.07030370266128903,0.09651914015492136,-0.026215437493632324,-0.0838427170660674,0.03201787334372603,0.36375,0.4029763750772687,-0.2810448809140988,0.9392448979591838,0.7630434782608695
nearest_training_distance,cf_demo_feature_jaccard,counterfactual - none,27,19,-0.00824057289492456,-0.03431674643252988,0.026076173537605322,-0.02861904144590138,0.07909887616492918,0.389,0.369322873343949,0.25682667645880036,0.9392448979591838,0.9069230769230769
test_trial,confidence_gain,attribution - none,16,19,-0.16700229501039093,-0.1252260495618062,-0.04177624544858474,-0.1360341234745159,0.05009271296599259,0.401,0.39337274096882247,-0.27717316869226644,0.9392448979591838,0.939375
nearest_training_distance,attribution_feature_overlap,counterfactual - none,27,19,-0.00824057289492456,-0.03431674643252988,0.026076173537605322,-0.03153254301381028,0.07901740972201131,0.40175,0.369322873343949,0.25682667645880036,0.9392448979591838,0.9069230769230769
test_trial,cf_demo_cosine,counterfactual - none,27,19,-0.006058905540094454,-0.05404514928491146,0.04798624374481701,-0.05885806386979598,0.15874927761135574,0.40275,0.38829914689272194,0.2503077759550275,0.9392448979591838,0.939375
test_trial,edit_l1,counterfactual - none,27,19,0.0031303403212427938,0.04201987753271074,-0.03888953721146795,-0.12721933091119264,0.038464796427276654,0.4175,0.3783626770944154,-0.24499015446781897,0.9392448979591838,0.939375
original_boundary_distance,attribution_feature_overlap,attribution - none,16,19,0.006719178008550153,0.028815117991621907,-0.022095939983071754,-0.07366511374362944,0.03056644785248218,0.4375,0.43079617676618753,-0.2649279767707406,0.9392448979591838,0.7630434782608695
original_boundary_distance,cf_demo_feature_jaccard,attribution - none,16,19,0.006719178008550153,0.028815117991621907,-0.022095939983071754,-0.0747263222875722,0.02961596821933187,0.44,0.43079617676618753,-0.2649279767707406,0.9392448979591838,0.7630434782608695
original_boundary_distance,cf_demo_cosine,attribution - none,16,19,0.03977372151186906,0.06433837604127676,-0.024564654529407703,-0.08462616546444808,0.033605983219796604,0.44675,0.45421766843085765,-0.25734898783713583,0.9392448979591838,0.7630434782608695
original_boundary_distance,confidence_gain,attribution - none,16,19,-0.12167826964879058,-0.10294032848597458,-0.018737941162816005,-0.06462279890781018,0.033373777374738865,0.46275,0.4709313624382617,-0.2411249035991413,0.9392448979591838,0.7630434782608695
nearest_training_distance,success,attribution - none,16,19,-0.011377016090020377,0.008927066324048914,-0.02030408241406929,-0.06899235047996448,0.03143734471218313,0.47,0.4466261563500069,-0.24959702971338324,0.9392448979591838,0.9069230769230769
test_trial,attribution_feature_overlap,counterfactual - attribution,27,16,-0.020861488310001616,-0.03524892350070709,0.014387435190705473,-0.026828840767515436,0.055250912470739585,0.4855,0.4998912305790352,0.22048162783629338,0.9392448979591838,0.9522
test_trial,attribution_feature_overlap,attribution - none,16,19,-0.03524892350070709,-0.02077641124346611,-0.014472512257240978,-0.058642447575436414,0.028802372088985756,0.49475,0.5347915109297345,-0.20954771491395793,0.9392448979591838,0.9522
original_boundary_distance,target_centroid_progress,counterfactual - none,27,19,0.07926950591690653,0.09651914015492136,-0.01724963423801483,-0.06740932597314005,0.031741081056114444,0.4975,0.501941755096837,-0.20658410817714404,0.9392448979591838,0.7630434782608695
nearest_training_distance,boundary_new,counterfactual - none,27,19,-0.02104577717691089,-0.025694659768844746,0.004648882591933856,-0.00845016430796489,0.018107255402695303,0.51125,0.5142767041498071,0.1972215726925759,0.9392448979591838,0.9069230769230769
original_boundary_distance,target_helpful_shap,counterfactual - none,27,19,-0.0048005717138049275,-0.015041767806270362,0.010241196092465436,-0.020475357355119555,0.04329959598302692,0.51775,0.5376386172781988,0.17845908990068376,0.9392448979591838,0.7630434782608695
nearest_training_distance,boundary_improvement,counterfactual - none,27,19,-0.040651305888559815,-0.03600242329662597,-0.004648882591933842,-0.01887346902097066,0.008381564445634572,0.51875,0.5142767041498086,-0.19722157269257518,0.9392448979591838,0.9069230769230769
original_boundary_distance,attribution_feature_overlap,counterfactual - attribution,27,16,-0.00814229048414488,0.006719178008550153,-0.014861468492695033,-0.061399534972371744,0.03228883633819088,0.52675,0.5471600677957997,-0.1981996786944338,0.9392448979591838,0.7630434782608695
original_boundary_distance,cf_demo_feature_jaccard,counterfactual - attribution,27,16,-0.00814229048414488,0.006719178008550153,-0.014861468492695033,-0.05851510226894402,0.030615285874081667,0.5275,0.5471600677957997,-0.1981996786944338,0.9392448979591838,0.7630434782608695
test_trial,response_time,counterfactual - attribution,27,16,-3.339017934411877,-2.322410980225386,-1.016606954186491,-3.6265776253974553,1.4607677825303902,0.529,0.4451688254122447,-0.19346461090418196,0.9392448979591838,0.9522
original_boundary_distance,confidence_gain,counterfactual - none,27,19,-0.08869955995229493,-0.10294032848597458,0.014240768533679643,-0.028225926439542044,0.060497182490016184,0.54975,0.5560087113615682,0.17202946567123745,0.9517638888888889,0.7630434782608695
original_boundary_distance,success,attribution - none,16,19,-0.13118408481676108,-0.11607959537850487,-0.015104489438256208,-0.06590067965119599,0.03666743858431585,0.581,0.5834759162504153,-0.1836471148065304,0.9517638888888889,0.7630434782608695
original_boundary_distance,success,counterfactual - none,27,19,-0.10101405493021842,-0.11607959537850487,0.015065540448286452,-0.034087659112902395,0.06288344642085726,0.585,0.5603475048573965,0.16844046838463103,0.9517638888888889,0.7630434782608695
nearest_training_distance,confidence_gain,attribution - none,16,19,-0.025913465985327375,-0.01413458338303396,-0.011778882602293416,-0.05250168041875498,0.029924041445118593,0.588,0.5805541775159366,-0.18157174418105812,0.9517638888888889,0.9069230769230769
nearest_training_distance,success,counterfactual - attribution,27,16,0.004231601444451539,-0.011377016090020377,0.015608617534471916,-0.0342678307593414,0.0631443685966175,0.59075,0.552347781505312,0.1671634127302824,0.9517638888888889,0.9069230769230769
nearest_training_distance,confidence_gain,counterfactual - attribution,27,16,-0.013084076188723717,-0.025913465985327375,0.012829389796603658,-0.03209724196147271,0.05856309160723681,0.627,0.5804340995947492,0.15165728317369853,0.9553522727272727,0.9069230769230769
nearest_training_distance,attribution_feature_overlap,attribution - none,16,19,-0.018867294336447918,-0.03431674643252988,0.015449452096081964,-0.0442377219689811,0.08297824388309157,0.64275,0.6452711552155634,0.1570563893106175,0.9553522727272727,0.9069230769230769
nearest_training_distance,cf_demo_feature_jaccard,attribution - none,16,19,-0.018867294336447918,-0.03431674643252988,0.015449452096081964,-0.04704672133115768,0.0804519031349664,0.6475,0.6452711552155634,0.1570563893106175,0.9553522727272727,0.9069230769230769
nearest_training_distance,boundary_new,attribution - none,16,19,-0.028891298947908622,-0.025694659768844746,-0.003196639179063876,-0.016586525514945986,0.011267461772251672,0.66575,0.6620180052526307,-0.1426556781943815,0.9553522727272727,0.9069230769230769
test_trial,response_time,counterfactual - none,27,19,-3.339017934411877,-2.6804847267008736,-0.6585332077110033,-3.561118982107591,1.8260858637803572,0.66675,0.6424591968852249,-0.12374226354043609,0.9553522727272727,0.997
nearest_training_distance,boundary_improvement,attribution - none,16,19,-0.03280578411756208,-0.03600242329662597,0.00319663917906389,-0.011780775134580878,0.016048268377542516,0.6695,0.6620180052526292,0.14265567819438205,0.9553522727272727,0.9069230769230769
original_boundary_distance,target_helpful_shap,counterfactual - attribution,27,16,-0.0048005717138049275,-0.011082197685930953,0.006281625972126025,-0.020343398469711282,0.03425385769352512,0.684,0.6636231923963013,0.11914797529629996,0.9553522727272727,0.8550000000000001
