wave,metric,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_within_wave
original_36,abs_change_per_changed_feature,counterfactual - none,15,11,0.2358658744651047,0.3074613079998974,-0.0715954335347927,-0.12202883669533139,-0.017315242534532913,0.01675,0.016544826071397165,-0.9855356474182426,0.37599999999999995
original_36,abs_change_per_changed_feature,attribution - none,10,11,0.2943203573470542,0.3074613079998974,-0.013140950652843209,-0.0677318049316353,0.040320916830539115,0.66225,0.6530213666796643,-0.19107354446569386,0.7947
original_36,abs_change_per_changed_feature,counterfactual - attribution,15,10,0.2358658744651047,0.2943203573470542,-0.05845448288194949,-0.10462080037246332,-0.005247164617803783,0.04925,0.045832073761096784,-0.8176356321688164,0.37599999999999995
original_36,feature_selection_entropy,counterfactual - none,15,11,0.8075284425645854,0.8361183518273587,-0.028589909262773272,-0.10248726798869773,0.04080584053369946,0.47675,0.46562786896366104,-0.27483567062004793,0.6538285714285714
original_36,feature_selection_entropy,attribution - none,10,11,0.7336855638192972,0.8361183518273587,-0.10243278800806155,-0.20508960946383206,-0.0073702331402116785,0.061,0.07673010891022475,-0.8202343775815314,0.37599999999999995
original_36,feature_selection_entropy,counterfactual - attribution,15,10,0.8075284425645854,0.7336855638192972,0.07384287874528828,-0.01987867983855481,0.18151346344662936,0.1585,0.1967870629192373,0.5662854900488253,0.5072
original_36,modal_subset_share,counterfactual - none,15,11,0.35000000000000003,0.3090909090909091,0.04090909090909095,-0.05515909090909093,0.14455303030303035,0.4675,0.4391718993653593,0.2848971737135621,0.6538285714285714
original_36,modal_subset_share,attribution - none,10,11,0.41,0.3090909090909091,0.10090909090909089,-0.012272727272727215,0.23227272727272724,0.1395,0.14580507520326394,0.6609975762619221,0.492
original_36,modal_subset_share,counterfactual - attribution,15,10,0.35000000000000003,0.41,-0.05999999999999994,-0.19333333333333336,0.06504166666666661,0.40425,0.4044590664003411,-0.3467476405101973,0.6538285714285714
original_36,global_sign_consistency,counterfactual - none,15,11,0.422199393407116,0.167019025487925,0.25518036791919096,-0.001469234136238629,0.49366183537097436,0.0685,0.060091031035300405,0.696051873004896,0.37599999999999995
original_36,global_sign_consistency,attribution - none,10,11,0.33863297514693863,0.167019025487925,0.17161394965901364,-0.0966064814124921,0.4385462032008371,0.22175,0.2529480525658964,0.5136762082556653,0.5856
original_36,global_sign_consistency,counterfactual - attribution,15,10,0.422199393407116,0.33863297514693863,0.08356641826017736,-0.23154960670954644,0.3929618299034904,0.6195,0.6235683958393041,0.19450547326986206,0.7729230769230769
original_36,median_response_time,counterfactual - none,15,11,13.416633333333333,13.218499999999999,0.1981333333333346,-4.619807954545455,5.431897499999997,0.94725,0.9429059310141803,0.027831304004555572,0.9883404255319148
original_36,median_response_time,attribution - none,10,11,10.4231,13.218499999999999,-2.795399999999999,-7.128234772727271,1.4279446590909077,0.244,0.23656742878509274,-0.5013314725194459,0.5856
original_36,median_response_time,counterfactual - attribution,15,10,13.416633333333333,10.4231,2.9935333333333336,-0.6266362500000022,6.919988333333328,0.21575,0.1489504313987817,0.5105314853630529,0.5856
original_36,log_response_time,counterfactual - none,15,11,2.554588223151365,2.4916021674449453,0.06298605570641946,-0.3450237105067784,0.5226517742505834,0.78375,0.7852064993570166,0.10992674573624327,0.8754545454545454
original_36,log_response_time,attribution - none,10,11,2.419648915316679,2.4916021674449453,-0.07195325212826642,-0.4240867899444987,0.3430737749230501,0.76,0.7288539218852317,-0.1432095406937219,0.8754545454545454
original_36,log_response_time,counterfactual - attribution,15,10,2.554588223151365,2.419648915316679,0.13493930783468588,-0.14324088216109543,0.4212087984428553,0.435,0.3835203829241288,0.30953473602373444,0.6538285714285714
