moderator,level_contrast,instances_level_a,instances_level_b,outcome,condition_comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_moderator
original_boundary_distance_bucket,closer_original_boundary - farther_original_boundary,10,10,cf_demo_feature_jaccard,attribution - none,16,19,-0.011562500000000009,-0.0574561403508772,0.04589364035087719,-0.06917543859649125,0.15812047697368414,0.446,0.4523874553398536,0.2574449118519386,0.9349732620320855,0.7042105263157895
design_cluster_group,cluster_1 - cluster_2,10,10,target_helpful_shap,counterfactual - attribution,27,16,0.0552367887162963,0.0815190771095625,-0.02628228839326619,-0.09144479104273542,0.03963994680725623,0.448,0.4448159423671315,-0.22197206016392498,0.9349732620320855,0.7073684210526315
target_label_group,Diabetes - No Diabetes,10,10,cf_demo_cosine,counterfactual - none,27,19,-0.03300259565587049,-0.12528250055188309,0.0922799048960126,-0.14404384314351595,0.3304219025084295,0.4484,0.45655733089091843,0.21691617100433128,0.9349732620320855,0.9766
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,attribution_feature_overlap,counterfactual - attribution,27,16,0.004894179894179895,-0.024131944444444445,0.02902612433862434,-0.03920421351410934,0.09782974628894765,0.4532,0.438995092764648,0.23730234346942866,0.9349732620320855,0.7128571428571429
target_label_group,Diabetes - No Diabetes,10,10,confidence_gain,attribution - none,16,19,-0.4025472070881057,-0.3167147922907392,-0.08583241479736653,-0.3029449114416642,0.10995720797629349,0.4566,0.43458747083756655,-0.25463145198936976,0.9349732620320855,0.9766
nearest_same_training_distance_bucket,far_training - near_training,10,10,target_helpful_shap,attribution - none,16,19,-0.014452700138312485,0.007121794723684204,-0.02157449486199669,-0.07749335421115107,0.03482069191254985,0.4568,0.47684992554065087,-0.24217196528012516,0.9349732620320855,0.8743448275862068
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.004894179894179895,-0.024131944444444445,0.02902612433862434,-0.04024581128747796,0.10048379170340974,0.4578,0.438995092764648,0.23730234346942866,0.9349732620320855,0.7128571428571429
control_empirical_difficulty_group,control_easy - control_hard,10,10,cf_demo_cosine,counterfactual - none,27,19,-0.009292052551515719,-0.052523441276109986,0.04323138872459427,-0.0731509439995469,0.14919465782422137,0.4578,0.47024171947520477,0.21681633212018697,0.9349732620320855,0.9362
nearest_same_training_distance_bucket,far_training - near_training,10,10,edit_l1,counterfactual - attribution,27,16,-0.004821285754532252,0.026523157679790632,-0.03134444343432288,-0.10482757407743008,0.04135845134315378,0.4616,0.4071720530455344,-0.22096462514734103,0.9349732620320855,0.8743448275862068
nearest_same_training_distance_bucket,far_training - near_training,10,10,success,counterfactual - attribution,27,16,0.037037037037037035,-0.01249999999999999,0.049537037037037025,-0.05858796296296298,0.15902777777777777,0.4676,0.3948217843914552,0.249245657485,0.9349732620320855,0.8743448275862068
target_label_group,Diabetes - No Diabetes,10,10,cf_demo_cosine,counterfactual - attribution,27,16,-0.03300259565587049,-0.12184104679225818,0.08883845113638769,-0.13326956968761375,0.3093939551201645,0.4824,0.4617557972705414,0.21601586805045714,0.9349732620320855,0.9766
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,cf_demo_cosine,attribution - none,16,19,-0.02927248285138806,0.003778713499267343,-0.033051196350655405,-0.13117181548800688,0.06622410952961927,0.4868,0.5317996489822793,-0.20701529215257736,0.9349732620320855,0.7128571428571429
target_label_group,Diabetes - No Diabetes,10,10,cf_demo_feature_jaccard,counterfactual - attribution,27,16,-0.03574074074074074,-0.06760416666666666,0.03186342592592592,-0.052822241512345686,0.12021836419753078,0.4912,0.49980107708726973,0.21469095554212875,0.9349732620320855,0.9766
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,boundary_new,attribution - none,16,19,0.02653394348284313,0.00695194040588236,0.01958200307696077,-0.03271301987315984,0.0713013768119934,0.4936,0.47924849682649007,0.22928224791860363,0.9349732620320855,0.8280000000000001
oracle_pair_uses_age_group,age_pair - no_age_pair,3,17,boundary_improvement,attribution - none,16,19,0.07540253420931373,0.09498453728627451,-0.019582003076960786,-0.07026876990933467,0.034569293183496344,0.4972,0.47924849682648984,-0.2292822479186038,0.9349732620320855,0.8280000000000001
pair_seen_in_training_group,novel_pair - seen_pair,12,8,confidence_gain,counterfactual - none,27,19,-0.008125819041660388,-0.04840270558554367,0.040276886543883283,-0.06864965997414849,0.1487068419295964,0.499,0.49235011712396093,0.19656790613569752,0.9349732620320855,0.7874285714285715
nearest_demo_pair_match_group,pair_differs_from_nearest_demo - pair_matches_nearest_demo,14,6,success,counterfactual - none,27,19,0.01587301587301589,-0.032581453634085204,0.0484544695071011,-0.08768564930845633,0.17192634363686987,0.499,0.47577210251816293,0.20893775948072815,0.9349732620320855,0.7128571428571429
