outcome,family,comparison,group_a,group_b,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,beneficial_hedges_g,q_global,q_within_family
boundary_improvement,performance,counterfactual - none,counterfactual,none,27,19,-0.004709043816481482,-0.014446482149473682,0.0097374383329922,-0.027038108647129636,0.046149565078364034,0.5935,0.6076796749835242,0.15854005644520563,0.0097374383329922,0.15854005644520563,0.8968499999999999,0.7121999999999999
target_centroid_progress,geometry,attribution - none,attribution,none,16,19,0.0806747947753278,0.04967514173390882,0.030999653041418974,-0.07502487613758886,0.13890626293154462,0.5979,0.5860295005657143,0.17579694996142284,0.030999653041418974,0.17579694996142284,0.8968499999999999,0.8613
target_demo_endpoint_distance,counterfactual_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.8320072600358799,0.7956583446165777,0.036348915419302186,-0.06842161196789473,0.16395707270746862,0.6559,0.5479802450923447,0.15822114543613172,-0.036348915419302186,-0.15822114543613172,0.9377217391304348,0.9075500000000001
training_direction_agreement,counterfactual_alignment,attribution - none,attribution,none,16,19,0.8114583333333334,0.8407894736842105,-0.02933114035087714,-0.17018092105263155,0.11930167214912274,0.6812,0.7037920199893208,-0.1282241099414708,-0.02933114035087714,-0.1282241099414708,0.9377217391304348,0.9075500000000001
cf_demo_sign_agreement,counterfactual_alignment,counterfactual - attribution,counterfactual,attribution,27,16,0.6037037037037037,0.6343749999999999,-0.03067129629629617,-0.17970196759259263,0.1261675347222224,0.7201,0.7036702713907534,-0.11539793641666359,-0.03067129629629617,-0.11539793641666359,0.9377217391304348,0.9075500000000001
plausibility,quality,counterfactual - none,counterfactual,none,27,19,0.9412819487635185,0.9394638503055263,0.00181809845799219,-0.007941879877590341,0.011999954765721443,0.7228,0.7270078112870093,0.10493790062789328,0.00181809845799219,0.10493790062789328,0.9377217391304348,0.9917
target_demo_endpoint_distance,counterfactual_alignment,counterfactual - none,counterfactual,none,27,19,0.8320072600358799,0.8577450303206542,-0.02573777028477431,-0.16299943535751807,0.12149031856173291,0.7394,0.7298567983842206,-0.09980549139315968,0.02573777028477431,0.09980549139315968,0.9377217391304348,0.9075500000000001
cf_demo_sign_agreement,counterfactual_alignment,attribution - none,attribution,none,16,19,0.6343749999999999,0.6592105263157894,-0.024835526315789447,-0.1786287006578948,0.13593750000000004,0.7538,0.7664095193942075,-0.09919132873798482,-0.024835526315789447,-0.09919132873798482,0.9377217391304348,0.9075500000000001
target_centroid_progress,geometry,counterfactual - none,counterfactual,none,27,19,0.019856216075982085,0.04967514173390882,-0.029818925657926737,-0.19058438038710945,0.10788693824086427,0.7624,0.7025252392107966,-0.10461633920333455,-0.029818925657926737,-0.10461633920333455,0.9377217391304348,0.8613
nearest_target_train_progress,geometry,counterfactual - attribution,counterfactual,attribution,27,16,-0.009810912603425212,0.014815881135623415,-0.02462679373904863,-0.13516295663600922,0.06146343623638259,0.7656,0.6321961534141918,-0.12140653115451433,-0.02462679373904863,-0.12140653115451433,0.9377217391304348,0.8613
