metric,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,q_global,q_within_comparison
select_BMI,attribution - none,16,19,0.39999999999999997,0.5236842105263159,-0.1236842105263159,-0.29572779605263155,0.0472121710526316,0.1989,0.18742278529344933,-0.442915911188545,0.5985777777777778,0.60544
median_response_time,counterfactual - attribution,27,16,14.68487037037037,10.796406249999999,3.8884641203703705,-0.49213602430555814,9.124700376157412,0.2146,0.11951117617930297,0.3999285680398643,0.5985777777777778,0.4001454545454546
log_response_time,counterfactual - attribution,27,16,2.5994344499968656,2.4069315831306826,0.192502866866183,-0.08877541250004209,0.4703894634150465,0.2506,0.19978598329605954,0.3611986955856591,0.5985777777777778,0.4001454545454546
two_feature_rate,counterfactual - none,27,19,0.36296296296296293,0.2815789473684211,0.08138401559454184,-0.04446881091617928,0.208187134502924,0.2549,0.2238199843247303,0.34436108495617446,0.5985777777777778,0.7507555555555556
select_Blood Pressure,attribution - none,16,19,0.503125,0.39473684210526316,0.10838815789473688,-0.06744243421052612,0.27715049342105275,0.2593,0.23964426758691745,0.39053406876461705,0.5985777777777778,0.60544
n_changed,attribution - none,16,19,1.665625,1.9131578947368422,-0.24753289473684226,-0.6769819078947368,0.16745888157894767,0.2661,0.25503471979017167,-0.37176157051309316,0.5985777777777778,0.60544
modal_subset_share,counterfactual - attribution,27,16,0.36111111111111116,0.41875,-0.05763888888888885,-0.15359375000000006,0.03704282407407415,0.2661,0.2683313222519288,-0.35421374927297883,0.5985777777777778,0.4001454545454546
select_Age,counterfactual - attribution,27,16,0.11851851851851852,0.053125000000000006,0.06539351851851852,-0.018058449074074064,0.15798611111111108,0.2751,0.16365199031878588,0.3671713907866603,0.5985777777777778,0.4001454545454546
modal_subset_share,attribution - none,16,19,0.41875,0.3631578947368421,0.05559210526315789,-0.04228207236842112,0.16184210526315784,0.2943,0.3005893658898454,0.35363529346972944,0.5985777777777778,0.60544
select_Insulin,counterfactual - none,27,19,0.5092592592592592,0.41578947368421054,0.09346978557504865,-0.08393274853801176,0.2632894736842105,0.2952,0.30477383443148304,0.3125867506065228,0.5985777777777778,0.7507555555555556
n_changed,counterfactual - none,27,19,2.1388888888888893,1.9131578947368422,0.22573099415204712,-0.20361111111111121,0.6417446393762183,0.3031,0.30914183851917615,0.30709052130604747,0.5985777777777778,0.7507555555555556
select_Glucose,counterfactual - attribution,27,16,0.5203703703703704,0.43437500000000007,0.0859953703703703,-0.06759837962962968,0.23438078703703705,0.328,0.29517930682312377,0.30502972124936967,0.5985777777777778,0.43733333333333335
select_Blood Pressure,counterfactual - none,27,19,0.4796296296296297,0.39473684210526316,0.08489278752436652,-0.07982699805068234,0.24886208576998065,0.3355,0.33519570496352025,0.28828590980880675,0.5985777777777778,0.7507555555555556
edit_l1,attribution - none,16,19,0.4607197265716947,0.5489133379435056,-0.08819361137181092,-0.26696510195053597,0.07235965812366224,0.3367,0.33257725830494556,-0.3128739774106725,0.5985777777777778,0.60544
select_Glucose,attribution - none,16,19,0.43437500000000007,0.5105263157894736,-0.07615131578947354,-0.23687088815789467,0.07631990131578945,0.3697,0.3558049255057506,-0.307160662788052,0.6121599999999999,0.60544
median_response_time,attribution - none,16,19,10.796406249999999,12.432526315789474,-1.6361200657894752,-4.935750123355263,1.4978948190789463,0.3784,0.3544864369496534,-0.2994629615803719,0.6121599999999999,0.60544
select_Age,counterfactual - none,27,19,0.11851851851851852,0.06842105263157895,0.05009746588693957,-0.049322612085769976,0.15088450292397662,0.3826,0.3319771542104796,0.2692210868841414,0.6121599999999999,0.7507555555555556
log_response_time,counterfactual - none,27,19,2.5994344499968656,2.455376907790735,0.14405754220613076,-0.19508743872625872,0.5002319581045954,0.4223,0.42440628128095803,0.23815374589529492,0.653883870967742,0.7507555555555556
edit_l1,counterfactual - attribution,27,16,0.5222476868402124,0.4607197265716947,0.0615279602685177,-0.06631099974891301,0.2056236572183273,0.4833,0.40068780665306425,0.23975338972474566,0.6969882352941177,0.5948307692307693
median_response_time,counterfactual - none,27,19,14.68487037037037,12.432526315789474,2.2523440545808953,-2.47020421539961,7.61691578947369,0.4899,0.4026956494932621,0.22583079869660094,0.6969882352941177,0.78384
feature_selection_entropy,attribution - none,16,19,0.7398697279693487,0.7694720241615375,-0.029602296192188793,-0.11658943526317848,0.052708970243811375,0.4937,0.5074141035396316,-0.22137823909280013,0.6969882352941177,0.7181090909090909
three_plus_feature_rate,counterfactual - none,27,19,0.32962962962962966,0.27368421052631575,0.05594541910331391,-0.11453216374269004,0.22943713450292405,0.5445,0.534564238040521,0.18605367623507568,0.7467428571428572,0.7919999999999999
global_sign_consistency,attribution - none,16,19,0.39862477613350333,0.33626228810081904,0.06236248803268429,-0.19715145923744334,0.327733936446019,0.6392,0.654316521658252,0.15052453653559367,0.8437621621621622,0.83328
two_feature_rate,counterfactual - attribution,27,16,0.36296296296296293,0.40625,-0.04328703703703707,-0.22107928240740735,0.1405208333333333,0.6504,0.6582222293556559,-0.14793593000765198,0.8437621621621622,0.7433142857142857
global_sign_consistency,counterfactual - none,27,19,0.37502850100097124,0.33626228810081904,0.0387662129001522,-0.1749107134732543,0.2606522586382126,0.7386,0.742419441576526,0.09794545713439243,0.8858790697674418,0.9460923076923078
select_Age,attribution - none,16,19,0.053125000000000006,0.06842105263157895,-0.015296052631578946,-0.09507401315789477,0.052964638157894754,0.761,0.6962351167913171,-0.12612427827312434,0.8858790697674418,0.83328
abs_change_per_changed_feature,attribution - none,16,19,0.2759283708023226,0.283306629030839,-0.007378258228516399,-0.05662371041266792,0.039291618709573366,0.7643,0.768197159009029,-0.0982146765376175,0.8858790697674418,0.83328
edit_l1,counterfactual - none,27,19,0.5222476868402124,0.5489133379435056,-0.02666565110329322,-0.20748909210077476,0.1524330050050404,0.7687,0.7751952191590432,-0.08712128203938063,0.8858790697674418,0.9460923076923078
log_response_time,attribution - none,16,19,2.4069315831306826,2.455376907790735,-0.04844532466005225,-0.35861187308759723,0.2885824418131467,0.7812,0.7731163702491833,-0.09281008465978209,0.8858790697674418,0.83328
select_Blood Pressure,counterfactual - attribution,27,16,0.4796296296296297,0.503125,-0.02349537037037036,-0.17986111111111108,0.13971643518518528,0.7936,0.7761621587238773,-0.08492617371381131,0.8858790697674418,0.8465066666666666
one_feature_rate,attribution - none,16,19,0.471875,0.4447368421052632,0.02713815789473678,-0.2178042763157895,0.2763157894736842,0.8343,0.8343549967940183,0.07056914556686661,0.9066666666666666,0.8343
global_sign_consistency,counterfactual - attribution,27,16,0.37502850100097124,0.39862477613350333,-0.023596275132532096,-0.2736940101803339,0.21877080780069966,0.85,0.8544192861544532,-0.05850060496645403,0.9066666666666666,0.85
select_BMI,counterfactual - none,27,19,0.5111111111111111,0.5236842105263159,-0.012573099415204791,-0.1656920077972709,0.14054824561403503,0.8902,0.8798017003450267,-0.04537500582584304,0.9289043478260869,0.9779199999999999
select_Glucose,counterfactual - none,27,19,0.5203703703703704,0.5105263157894736,0.009844054580896766,-0.14768031189083808,0.16903508771929845,0.9168,0.9056406268510858,0.034066385893123795,0.9363063829787234,0.9779199999999999
modal_subset_share,counterfactual - none,27,19,0.36111111111111116,0.3631578947368421,-0.0020467836257309635,-0.0851851851851852,0.08421539961013651,1.0,0.9635950654914618,-0.01330504016216564,1.0,1.0
