context,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_within_context
exclude_fast_under_10s,edit_l1,counterfactual - attribution,23,14,0.5474824251423763,0.4861610327838868,0.061321392358489546,-0.08114698439303447,0.2114556775639441,0.542,0.4356043402666252,0.23286350154538188,-0.061321392358489546,0.8627777777777778
exclude_fast_under_10s,attribution_feature_overlap,counterfactual - attribution,23,14,0.37974637681159423,0.35952380952380947,0.020222567287784765,-0.04802038043478259,0.08846577380952392,0.581,0.5872359277739725,0.18338875101463378,0.020222567287784765,0.8627777777777778
exclude_fast_under_10s,target_helpful_shap,attribution - none,14,19,0.2927250885170357,0.32878786659552633,-0.03606277807849062,-0.15423775485482344,0.08297713007074235,0.58925,0.576188277014183,-0.18031088675658513,-0.03606277807849062,0.8627777777777778
exclude_fast_under_10s,cf_demo_feature_jaccard,counterfactual - attribution,23,14,0.37974637681159423,0.35952380952380947,0.020222567287784765,-0.05022787267080745,0.090259769668737,0.59,0.5872359277739725,0.18338875101463378,0.020222567287784765,0.8627777777777778
exclude_fast_under_10s,cf_demo_feature_jaccard,counterfactual - none,23,19,0.37974637681159423,0.3619736842105264,0.01777269260106784,-0.05279700610221211,0.08357537185354683,0.605,0.610396943190998,0.15745875668047593,0.01777269260106784,0.8627777777777778
exclude_fast_under_10s,target_centroid_progress,counterfactual - none,23,19,-0.001764651028210592,0.04967514173390882,-0.051439792762119414,-0.2178012306839768,0.09684813158596371,0.615,0.549569405258163,-0.17520934035547556,-0.051439792762119414,0.8627777777777778
exclude_fast_under_10s,attribution_feature_overlap,counterfactual - none,23,19,0.37974637681159423,0.3619736842105264,0.01777269260106784,-0.05097368421052635,0.08417086193745221,0.61975,0.610396943190998,0.15745875668047593,0.01777269260106784,0.8627777777777778
exclude_fast_under_10s,confidence_gain,attribution - none,14,19,0.5590088994392818,0.5271325089183146,0.031876390520967135,-0.09145669855850488,0.15247074931572027,0.6505,0.6277223828195162,0.15674007686579713,0.031876390520967135,0.8627777777777778
exclude_fast_under_10s,cf_demo_cosine,attribution - none,14,19,0.4183135638215538,0.3944997383680535,0.023813825453500304,-0.10949635381357249,0.14459160124958767,0.726,0.7409519953563053,0.11747331803169543,0.023813825453500304,0.8627777777777778
exclude_fast_under_10s,target_helpful_shap,counterfactual - attribution,23,14,0.2767262506986956,0.2927250885170357,-0.015998837818340106,-0.11011706867310748,0.07161063865310903,0.745,0.7444033582275406,-0.1057766437840451,-0.015998837818340106,0.8627777777777778
exclude_fast_under_10s,boundary_improvement,counterfactual - none,23,19,-0.008576260659565217,-0.014446482149473682,0.005870221489908465,-0.0311303350231476,0.04256245809331316,0.762,0.7667785187665785,0.0924156983777288,0.005870221489908465,0.8627777777777778
exclude_fast_under_10s,success,attribution - none,14,19,0.5714285714285714,0.5473684210526316,0.02406015037593978,-0.10267387218045111,0.15244360902255638,0.7635,0.7216901243833748,0.11502766801597007,0.02406015037593978,0.8627777777777778
exclude_fast_under_10s,boundary_new,counterfactual - none,23,19,0.13145380625456518,0.1373240277444737,-0.0058702214899085114,-0.042490840369974525,0.030648749359278762,0.7765,0.7667785187665767,-0.09241569837772952,0.0058702214899085114,0.8627777777777778
exclude_fast_under_10s,attribution_feature_overlap,attribution - none,14,19,0.35952380952380947,0.3619736842105264,-0.002449874686716924,-0.07771914160401013,0.0736372963659147,0.9495,0.9509409301374767,-0.021158058679568006,-0.002449874686716924,0.9885
exclude_fast_under_10s,cf_demo_feature_jaccard,attribution - none,14,19,0.35952380952380947,0.3619736842105264,-0.002449874686716924,-0.07489951441102762,0.07047086466165406,0.959,0.9509409301374767,-0.021158058679568006,-0.002449874686716924,0.9885
exclude_fast_under_10s,edit_l1,counterfactual - none,23,19,0.5474824251423763,0.5489133379435056,-0.0014309128011292804,-0.18983665821296772,0.18611320969235365,0.9885,0.9883376215171158,-0.004523973223394414,0.0014309128011292804,0.9885
full,cf_demo_cosine,counterfactual - none,27,19,0.29931575215043615,0.3944997383680535,-0.09518398621761737,-0.21363617743653252,0.03347328508807556,0.179,0.1509465760505067,-0.40671080845183855,-0.09518398621761737,0.8202272727272728
full,cf_demo_cosine,counterfactual - attribution,27,16,0.29931575215043615,0.39235989874983557,-0.09304414659939941,-0.22846309433525175,0.04359200488074925,0.23225,0.20681711919571136,-0.3787301533494254,-0.09304414659939941,0.8202272727272728
full,confidence_gain,counterfactual - attribution,27,16,0.45832578410956126,0.5278311067828222,-0.06950532267326093,-0.17592705432271832,0.03200271533881489,0.235,0.2190723905081461,-0.38212727636437505,-0.06950532267326093,0.8202272727272728
full,confidence_gain,counterfactual - none,27,19,0.45832578410956126,0.5271325089183146,-0.06880672480875338,-0.19469518130365618,0.04324807336402064,0.255,0.2870260850797069,-0.33204756661406254,-0.06880672480875338,0.8202272727272728
full,success,counterfactual - none,27,19,0.4740740740740741,0.5473684210526316,-0.07329434697855752,-0.2051754385964913,0.0469249512670562,0.2665,0.27850722370250486,-0.33462250517986064,-0.07329434697855752,0.8202272727272728
full,boundary_improvement,attribution - none,16,19,0.006072726601250002,-0.014446482149473682,0.02051920875072368,-0.009229672849628695,0.053133486468120876,0.27475,0.22529142309204286,0.38457549654754736,0.02051920875072368,0.8202272727272728
full,boundary_new,attribution - none,16,19,0.11680481899375,0.1373240277444737,-0.02051920875072369,-0.05230080516093916,0.008207527747680448,0.28275,0.22529142309204273,-0.3845754965475475,0.02051920875072369,0.8202272727272728
full,target_helpful_shap,counterfactual - none,27,19,0.2715956015088889,0.32878786659552633,-0.05719226508663744,-0.18011484105717998,0.05300417468347399,0.29575,0.34673890473235625,-0.3023456680549177,-0.05719226508663744,0.8202272727272728
full,success,counterfactual - attribution,27,16,0.4740740740740741,0.5375,-0.06342592592592589,-0.1809490740740741,0.05764178240740741,0.322,0.3016358113235278,-0.32026987835612786,-0.06342592592592589,0.8202272727272728
full,edit_l1,attribution - none,16,19,0.4607197265716947,0.5489133379435056,-0.08819361137181092,-0.2696023724688105,0.08435397524140463,0.33175,0.33257725830494556,-0.3128739774106726,0.08819361137181092,0.8202272727272728
full,target_helpful_shap,attribution - none,16,19,0.2690934318420937,0.32878786659552633,-0.05969443475343261,-0.18835693594624703,0.06283999776259633,0.37025,0.35760260771430485,-0.29841887613003343,-0.05969443475343261,0.8202272727272728
full,attribution_feature_overlap,counterfactual - attribution,27,16,0.36854938271604937,0.33796875,0.030580632716049383,-0.03713334297839496,0.0980743634259258,0.39525,0.40777550978046995,0.2640315657602164,0.030580632716049383,0.8202272727272728
full,cf_demo_feature_jaccard,counterfactual - attribution,27,16,0.36854938271604937,0.33796875,0.030580632716049383,-0.035626977237654275,0.10104706790123451,0.40025,0.40777550978046995,0.2640315657602164,0.030580632716049383,0.8202272727272728
full,edit_l1,counterfactual - attribution,27,16,0.5222476868402125,0.4607197265716947,0.06152796026851781,-0.06601105153165455,0.21162689290125974,0.4735,0.40068780665306336,0.23975338972474608,-0.06152796026851781,0.8202272727272728
