moderator,level,n_instances,outcome,comparison,n_a,n_b,mean_a,mean_b,difference,ci_low,ci_high,permutation_p,welch_p,hedges_g,beneficial_difference,q_global,q_within_moderator
pair_seen_in_training_group,novel_pair,12,cf_demo_cosine,counterfactual - attribution,27,16,0.31801844105240246,0.3699908825196904,-0.051972441467287966,-0.2002493627936483,0.09588273590417133,0.5253333333333333,0.51272366500524,-0.1996107495284273,-0.051972441467287966,1.0,0.9955932203389831
exogenous_geometry_k2,geometry_2,5,target_helpful_shap,counterfactual - none,27,19,0.22025518130814808,0.26831946021473685,-0.048064278906588764,-0.19885935596803414,0.1013041232228255,0.529,0.5491949969899186,-0.18856483030350232,-0.048064278906588764,1.0,0.946923076923077
original_boundary_distance_bucket,farther_original_boundary,10,target_centroid_progress,counterfactual - none,27,19,0.06894742288512237,0.13737976781807806,-0.06843234493295569,-0.2356408782999796,0.08774628175665755,0.53,0.44632129523529274,-0.20900659188304216,-0.06843234493295569,1.0,0.8833333333333333
design_cluster_group,cluster_2,10,cf_demo_cosine,attribution - none,16,19,0.3580163321872894,0.3091117684828806,0.04890456370440882,-0.10299582886870866,0.20079900513165883,0.533,0.5413430972798782,0.2096991535662594,0.04890456370440882,1.0,0.886923076923077
prediction_confidence_bucket,higher_confidence,10,success,counterfactual - none,27,19,0.4222222222222222,0.46842105263157896,-0.04619883040935674,-0.18587231968810913,0.08821150097465885,0.533,0.5433642970310044,-0.19251603628571254,-0.04619883040935674,1.0,0.9137142857142857
exogenous_geometry_k2,geometry_2,5,boundary_new,counterfactual - attribution,27,16,0.17188441437407412,0.18548948426375,-0.013605069889675886,-0.050345959578458305,0.026410714496217517,0.536,0.5077773095439615,-0.1952049591222194,0.013605069889675886,1.0,0.946923076923077
exogenous_geometry_k2,geometry_2,5,boundary_improvement,counterfactual - attribution,27,16,0.0986803343259259,0.08507526443624999,0.013605069889675914,-0.025563404987466433,0.05279441908349066,0.538,0.5077773095439606,0.1952049591222198,0.013605069889675914,1.0,0.946923076923077
design_cluster_group,cluster_1,10,cf_demo_cosine,attribution - none,16,19,0.42670346531238174,0.47988770825322635,-0.05318424294084462,-0.21725353977508907,0.1048202981027952,0.54,0.5457599405737639,-0.2026052362330622,-0.05318424294084462,1.0,0.886923076923077
oracle_pair_uses_age_group,no_age_pair,17,edit_l1,counterfactual - attribution,27,16,0.5188370118466213,0.46350501478878603,0.055331997057835314,-0.07967593821580493,0.2147234081530729,0.54,0.4566594292851446,0.20863015391277626,-0.055331997057835314,1.0,0.9370731707317074
nearest_demo_pair_match_group,pair_differs_from_nearest_demo,14,target_centroid_progress,attribution - none,16,19,0.04921067998207382,0.008731534208946231,0.040479145773127584,-0.07453418117336119,0.1571147124695064,0.5413333333333333,0.5076346468726474,0.21379925743700703,0.040479145773127584,1.0,0.9219607843137254
nearest_demo_pair_match_group,pair_matches_nearest_demo,6,cf_demo_feature_jaccard,attribution - none,16,19,0.3548611111111111,0.32733918128654976,0.027521929824561364,-0.05384571454678356,0.10739674707602336,0.548,0.5390282176110011,0.20334495885505033,0.027521929824561364,1.0,0.9219607843137254
nearest_same_training_distance_bucket,far_training,10,cf_demo_cosine,attribution - none,16,19,0.4016841525265753,0.36021834615526394,0.041465806371311364,-0.10269453599791448,0.1774698622337343,0.5493333333333333,0.579553082289257,0.19147747203351193,0.041465806371311364,1.0,0.9576271186440678
nearest_demo_pair_match_group,pair_matches_nearest_demo,6,target_helpful_shap,attribution - none,16,19,0.28300932428750003,0.3273691700245614,-0.044359845737061365,-0.1815150493270175,0.09492632601668036,0.5503333333333333,0.5496529112652637,-0.19319419923320982,-0.044359845737061365,1.0,0.9219607843137254
nearest_demo_pair_match_group,pair_matches_nearest_demo,6,attribution_feature_overlap,attribution - none,16,19,0.3548611111111111,0.32733918128654976,0.027521929824561364,-0.04766127558479535,0.1134470942982455,0.5503333333333333,0.5390282176110011,0.20334495885505033,0.027521929824561364,1.0,0.9219607843137254
control_empirical_difficulty_group,control_hard,10,attribution_feature_overlap,counterfactual - attribution,27,16,0.3651234567901235,0.3384375,0.026685956790123477,-0.06233545524691358,0.11337982253086418,0.5513333333333333,0.5654959451742093,0.17912502808354955,0.026685956790123477,1.0,0.9422222222222222
prediction_confidence_bucket,higher_confidence,10,edit_l1,counterfactual - none,27,19,0.554931265941705,0.6147633466779896,-0.05983208073628454,-0.26673719142392754,0.13392373865747798,0.554,0.5632105607617366,-0.1818866062812379,0.05983208073628454,1.0,0.9233333333333333
nearest_demo_pair_match_group,pair_differs_from_nearest_demo,14,boundary_new,counterfactual - none,27,19,0.12340137227619047,0.13304664396842106,-0.00964527169223059,-0.041697999984146125,0.02291616059190964,0.564,0.5810123507220775,-0.1711819823415579,0.00964527169223059,1.0,0.9219607843137254
design_cluster_group,cluster_1,10,target_helpful_shap,attribution - none,16,19,0.309852970396875,0.34680866708842106,-0.03695569669154608,-0.15675675807111847,0.07969110250996281,0.5676666666666667,0.5683563724084664,-0.18565069127027728,-0.03695569669154608,1.0,0.886923076923077
