domain,training explanation condition,test case,instance id,original label,target label,strategy,attribute selection method,change amount method,maximum attributes allowed,actual attributes changed,changed attributes,sparsity,proximity,model-consistent proximity,plausibility,plausibility (subset),original target confidence,target confidence edited,target confidence gain,valid counterfactual (0/1),actionable (0/1),valid and actionable (0/1),boundary distance original,boundary distance edited,boundary distance change (edited - original)
diabetes,none,2,140201,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,1,age,0.8,0.025194341422234354,0.025194341422234354,0.9304159002172001,0.9304159002172001,0.020647439422839933,0.04986561625481539,0.02921817683197546,0,0,0,0.09274683494497771,0.05986675822979252,-0.03288007671518519
diabetes,none,2,140201,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,1,age,0.8,0.025194341422234354,0.025194341422234354,0.9304159002172001,0.9304159002172001,0.020647439422839933,0.04986561625481539,0.02921817683197546,0,0,0,0.09274683494497771,0.05986675822979252,-0.03288007671518519
diabetes,none,2,140201,Diabetes,No Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,1,age,0.8,0.025194341422234354,0.025194341422234354,0.9304159002172001,0.9304159002172001,0.020647439422839933,0.04986561625481539,0.02921817683197546,0,0,0,0.09274683494497771,0.05986675822979252,-0.03288007671518519
diabetes,none,2,140201,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,insulin,0.8,0.4743050400065981,0.4743050400065981,0.9328187231511011,0.9154784919673982,0.020647439422839933,0.8398823581683549,0.8192349187455149,1,1,1,0.09274683494497771,0.04504368423102345,-0.04770315071395426
diabetes,none,2,140201,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,blood_pressure / insulin,0.6,0.7569137356587721,0.7569137356587721,0.9451965901014567,0.8837890892114755,0.020647439422839933,0.00021274425137774683,-0.020434695171462187,0,1,0,0.09274683494497771,0.19092430057702892,0.09817746563205121
diabetes,none,2,140201,Diabetes,No Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,3,glucose / blood_pressure / insulin,0.4,0.9822155550772382,0.9822155550772382,0.9647510876358897,0.8895134508143453,0.020647439422839933,0.8565079359672394,0.8358604965443994,1,1,1,0.09274683494497771,0.01851928560438265,-0.07422754934059506
diabetes,none,2,140201,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,insulin,0.8,0.27736533861255414,0.27736533861255414,0.954866432246207,0.954866432246207,0.020647439422839933,0.9825412683291488,0.9618938289063088,1,1,1,0.09274683494497771,0.061918508778487535,-0.030828326166490172
diabetes,none,2,140201,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,2,blood_pressure / insulin,0.6,0.342582729916902,0.342582729916902,0.9418229539853374,0.9418229539853374,0.020647439422839933,0.44195629322563124,0.4213088538027913,0,1,0,0.09274683494497771,0.0032988853547728514,-0.08944794959020486
diabetes,none,2,140201,Diabetes,No Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,3,3,glucose / blood_pressure / insulin,0.4,0.40634739579005275,0.40634739579005275,0.9426731495303128,0.9426731495303128,0.020647439422839933,0.8620556314443417,0.8414081920215017,1,1,1,0.09274683494497771,0.027805204221262536,-0.06494163072371517
diabetes,none,2,140201,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,1,1,insulin,0.8,0.21240617008991136,0.21240617008991136,0.9678582659507355,0.9678582659507355,0.020647439422839933,0.9720218892376649,0.9513744498148249,1,1,1,0.09274683494497771,0.05131716824617494,-0.04142966669880277
diabetes,none,2,140201,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,2,2,insulin / bmi,0.6,0.2686017306406277,0.2686017306406277,0.9790973780608788,0.9790973780608788,0.020647439422839933,0.6147409341692724,0.5940934947464325,1,1,1,0.09274683494497771,0.007782803418870832,-0.08496403152610688
diabetes,none,2,140201,Diabetes,No Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,3,3,blood_pressure / insulin / bmi,0.4,0.3120799915101929,0.3120799915101929,0.9877930302347918,0.9877930302347918,0.020647439422839933,0.946030876282029,0.925383436859189,1,1,1,0.09274683494497771,0.0337478035705957,-0.058999031374382005
diabetes,none,3,140202,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,1,age,0.8,0.5763512727616571,0.5763512727616571,0.936823642556651,0.8827119485385981,0.0016989199229672412,0.009544327562133774,0.007845407639166533,0,0,0,0.08099124461986879,0.0611461483510331,-0.019845096268835682
diabetes,none,3,140202,Diabetes,No Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,1,age,0.8,0.5763512727616571,0.5763512727616571,0.936823642556651,0.8827119485385981,0.0016989199229672412,0.009544327562133774,0.007845407639166533,0,0,0,0.08099124461986879,0.0611461483510331,-0.019845096268835682
