hidden_layers,alpha,seed,iterations,train_accuracy,train_balanced_accuracy,train_log_loss,train_brier,train_auc,dev_accuracy,dev_balanced_accuracy,dev_log_loss,dev_brier,dev_auc,dev_repeated_crossing_rate,dev_mean_boundary_crossings,accuracy_gap,selection_score,eligible,test_accuracy,test_balanced_accuracy,test_log_loss,test_brier,test_auc,test_repeated_crossing_rate,test_mean_boundary_crossings
12,2.0,29,49,0.7335766423357665,0.6375728097039572,0.5762424067166835,0.19373786469761803,0.7679697351828499,0.7931034482758621,0.7246963562753037,0.524754568673225,0.1695505074206585,0.873144399460189,0.0,0.33793103448275863,-0.05952680594009563,0.524754568673225,True,,,,,,,
12,1.0,42,53,0.7226277372262774,0.7094817750555455,0.5635933661874973,0.18970952400281002,0.7882663784303129,0.8103448275862069,0.8049932523616734,0.4943999520932017,0.1600027638019453,0.902834008097166,0.041379310344827586,0.5448275862068965,-0.08771709035992947,0.5254344348518224,True,,,,,,,
8,0.5,11,53,0.6788321167883211,0.7347024560139315,0.5953033418806886,0.20580349346613896,0.8147480934366181,0.7758620689655172,0.8333333333333333,0.5252055911684528,0.1739825281216122,0.9203778677462888,0.0034482758620689655,0.45517241379310347,-0.09702995217719612,0.5277917980650045,True,,,,,,,
8,1.0,11,54,0.6788321167883211,0.7347024560139315,0.600076521603834,0.20767366446943958,0.8156488320422747,0.7758620689655172,0.8333333333333333,0.5308050548807551,0.17621864861759276,0.9203778677462888,0.0,0.4379310344827586,-0.09702995217719612,0.5308050548807551,True,,,,,,,
8,1.0,42,35,0.7481751824817519,0.7313697231730019,0.54261775241655,0.18124553607526867,0.7952921395544346,0.8275862068965517,0.8313090418353576,0.4699697439987117,0.15036657570491924,0.8947368421052632,0.08275862068965517,0.6068965517241379,-0.07941102441479986,0.5320387095159531,True,,,,,,,
8,1.0,29,42,0.7591240875912408,0.7478532396565183,0.5651927937177752,0.18852192608767396,0.8193118357052783,0.8103448275862069,0.8184885290148447,0.5200920079033802,0.1691308211184796,0.8906882591093117,0.017241379310344827,0.38275862068965516,-0.051220739994966014,0.5330230423861388,True,,,,,,,
8,2.0,11,57,0.6751824817518248,0.7319702155767729,0.6012710433178408,0.20787906428867356,0.8172101122920794,0.7758620689655172,0.8333333333333333,0.5336004256037389,0.17674485521428007,0.9257759784075573,0.0,0.43448275862068964,-0.10067958721369241,0.5336004256037389,True,,,,,,,
8x4,1.0,29,54,0.6934306569343066,0.6931483816729718,0.5633584414454945,0.19062869350046477,0.7596829400108088,0.7758620689655172,0.7793522267206479,0.5346888380800855,0.1773710516809831,0.8502024291497975,0.0034482758620689655,0.45517241379310347,-0.08243141203121063,0.5372750449766373,True,,,,,,,
8,0.25,42,34,0.7518248175182481,0.7341019636101603,0.5450419304422359,0.18236848809388442,0.7907884465261514,0.7931034482758621,0.7921727395411606,0.4722570736695387,0.1514875040073897,0.8933873144399459,0.09655172413793103,0.6344827586206897,-0.041278630757613954,0.5446708667729869,True,,,,,,,
8,0.5,42,34,0.7518248175182481,0.7341019636101603,0.5456662908992121,0.18259687300326272,0.7909685942472826,0.7931034482758621,0.7921727395411606,0.4733734779763365,0.15189471043125743,0.8933873144399459,0.09655172413793103,0.6206896551724138,-0.041278630757613954,0.5457872710797848,True,,,,,,,
8,0.05,42,34,0.7481751824817519,0.7286074581156547,0.5446553745405183,0.18223430675302707,0.7906683480453972,0.7931034482758621,0.7786774628879891,0.47139401536272085,0.1511699328861633,0.8920377867746289,0.1,0.6379310344827587,-0.044928265794110245,0.5463940153627209,True,,,,,,,
8,0.1,42,34,0.7518248175182481,0.7341019636101603,0.5447238428960128,0.182254793200574,0.7906683480453971,0.8103448275862069,0.8049932523616734,0.47162121259916406,0.1512552850158286,0.8933873144399459,0.1,0.6379310344827587,-0.058520010067958705,0.5466212125991641,True,,,,,,,
8x4,2.0,11,41,0.6715328467153284,0.5137813006665466,0.5905650354753196,0.20249855498182118,0.7223623371164355,0.6724137931034483,0.5,0.5717955242153796,0.19399728179168008,0.8245614035087719,0.0,0.1,-0.0008809463881198631,0.5717955242153796,False,,,,,,,
12,0.05,11,52,0.7043795620437956,0.6157148862066895,0.5922632508366137,0.20166256814847197,0.738365459676935,0.7068965517241379,0.6201079622132254,0.5582546887666856,0.18544069167587707,0.8394062078272605,0.03793103448275862,0.4862068965517241,-0.0025169896803423075,0.5867029646287546,False,,,,,,,
12,0.1,11,52,0.7043795620437956,0.6157148862066895,0.5927166052082086,0.20186276076297902,0.7380051642346724,0.7068965517241379,0.6201079622132254,0.5590490432479495,0.18578995167972878,0.8380566801619432,0.03793103448275862,0.4862068965517241,-0.0025169896803423075,0.5874973191100185,False,,,,,,,
