participant,domain,xai,phase,explanation,original label,target label,case,instance id,response time (seconds),attribute values before and after,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label,training response,training correct (0/1)
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Cheap,Expensive,2,2275,17.157,"""Living Area"" - 1530(0.207386363636) -> 2530(0.491477272727)
""Bedrooms"" - 3(0.333333333333) -> 4(0.666666666667)
""Bathrooms"" - 3.25(0.818181818182)
""Floors"" - 2(0.666666666667)
""Construction Grade"" - 8(0.4)",2,0.617424242424,Expensive,1,0.908333333333,0.486463617766,0.663977959703,0.177514341937,,
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Cheap,Expensive,3,675,18.021,"""Living Area"" - 920(0.0340909090909) -> 1625(0.234375)
""Bedrooms"" - 2(0) -> 4(0.666666666667)
""Bathrooms"" - 1(0) -> 2(0.363636363636)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 6(0) -> 9(0.6)",5,2.49725378788,Expensive,1,2.00378787879,0.0650342540676,0.959857212501,0.894822958434,,
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Cheap,Expensive,4,102,20.599,"""Living Area"" - 1700(0.255681818182)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 1.75(0.272727272727) -> 2.76(0.64)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2) -> 8(0.4)",3,1.23393939394,Cheap,0,0.700606060606,0.275833056192,0.419229282789,0.143396226597,,
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Cheap,Expensive,5,577,11.109,"""Living Area"" - 1930(0.321022727273) -> 2530(0.491477272727)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 2(0.363636363636)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2) -> 8(0.4)",3,1.03712121212,Expensive,1,0.503787878788,0.346561897239,0.759642730983,0.413080833744,,
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Expensive,Cheap,6,2447,34.329,"""Living Area"" - 3190(0.678977272727) -> 2664(0.529545454545)
""Bedrooms"" - 5(1) -> 3(0.333333333333)
""Bathrooms"" - 3.5(0.909090909091) -> 2.98(0.72)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 8(0.4) -> 7(0.2)",5,1.87185606061,Cheap,1,1.6715719697,0.19821191858,0.716850993302,0.518639074721,,
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Expensive,Cheap,7,1751,23.045,"""Living Area"" - 3600(0.795454545455) -> 2798(0.567613636364)
""Bedrooms"" - 4(0.666666666667) -> 3(0.333333333333)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 9(0.6) -> 8(0.4)",4,1.42784090909,Expensive,0,1.42102272727,0.0524975827183,0.104309886787,0.051812304069,,
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Expensive,Cheap,8,553,25.469,"""Living Area"" - 3040(0.636363636364)
""Bedrooms"" - 4(0.666666666667) -> 3(0.333333333333)
""Bathrooms"" - 2.75(0.636363636364) -> 1.99(0.36)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 9(0.6) -> 7(0.2)",4,1.67636363636,Expensive,0,1.35221590909,0.0930185614867,0.348528652407,0.25551009092,,
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Expensive,Cheap,9,172,11.786,"""Living Area"" - 1290(0.139204545455)
""Bedrooms"" - 2(0)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 3(1) -> 1(0)
""Construction Grade"" - 8(0.4)",1,1,Cheap,1,1.00028409091,0.256568711116,0.868594360054,0.612025648938,,
R_3FJQV7viaHYDHi3,housing,none,testing,Neither,Expensive,Cheap,10,2728,13.601,"""Living Area"" - 2160(0.386363636364) -> 1860(0.301136363636)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 3(1) -> 1(0)
""Construction Grade"" - 8(0.4) -> 7(0.2)",3,1.28522727273,Cheap,1,1.08494318182,0.101627349659,0.723002742829,0.62137539317,,
R_3OLJbpwtIN5r62B,safelimit,attribution,training,"""Alcohol Units"" - -82% toward Above Limit
""Weight"" - -18% toward Above Limit",Above Limit,,1,610,16.201,"""Alcohol Units"" - 8.5(0.875062468766)
""Weight"" - 67.1(0.365192376843)
""Drinking Duration"" - 115(0.363636363636)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",,,,,,,,,Above Limit,1
