participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_5OT6oo9gKTZyooh,none,17,15,feature contribution,0.4890568256905696,1.0,0.6666666666666666,0.26995339940230395,0.3301774792,1.0,0.1111940378,0.8954088222,0.0,0.0,0.8831046514544345,0.8611476926576482,0.2776662547284368,0.24442248410869108
R_5OT6oo9gKTZyooh,none,18,59,feature contribution,0.4890568256905696,1.0,0.5,0.07682779301247476,0.1969544815333333,1.0,0.0386105534,0.930591724,1.0,0.0,0.9479402485678373,0.9626978841495935,0.0966942598684506,0.01721669016791938
R_5OT6oo9gKTZyooh,none,19,31,feature contribution,0.4890568256905696,1.0,0.5,0.1735686725736077,0.21403475763333335,1.0,0.1186663155,0.9532542334,1.0,0.0,0.8922560984858454,0.9559041987267526,0.16886505262865126,0.3097173857624244
R_5OT6oo9gKTZyooh,none,20,51,feature contribution,0.4890568256905696,1.0,0.5,0.33221021241182513,0.2937578096666667,1.0,0.4049306575,0.9273679829,0.0,0.0,0.9165326461071466,0.9079446539675289,0.02383482938667475,0.034152704695248504
R_5PStwIHXgmZwa9J,none,1,56,feature contribution,0.470992608202288,1.0,0.6666666666666666,0.10720980150203989,0.258175101,1.0,0.1450282492,0.9374348509,1.0,0.0,0.9607782057061591,0.952587694055578,0.11723379104646978,0.06526721056338458
R_5PStwIHXgmZwa9J,none,2,42,feature contribution,1.0,1.0,1.0,0.23158461336671543,0.25237857090574317,1.0,0.0524853331,0.9287598802,0.0,1.0,0.9557947641825161,0.9386418269089987,0.040730327157395996,0.040443267321384035
R_5PStwIHXgmZwa9J,none,3,53,feature contribution,1.0,1.0,1.0,0.07324184989659221,0.23801739475,1.0,0.0952126062,0.9540449245,1.0,0.0,0.9441591495995791,0.9577095861699477,0.18599104831551821,0.04833476804586059
R_5PStwIHXgmZwa9J,none,4,14,feature contribution,0.3825922287129283,0.6666666666666666,1.0,0.2070322570408984,0.18287682533333335,1.0,0.0798991081,0.8940971303,1.0,0.0,0.8391623593847491,0.9060939199396795,0.38778585598307863,0.04567670181579081
R_5PStwIHXgmZwa9J,none,5,26,feature contribution,1.0,1.0,1.0,0.20214335862022142,0.2517008745,1.0,0.0136341281,0.9384174129,0.0,0.0,0.9342551054080069,0.9433529701833689,0.0906875517261092,0.0565056771499316
R_5PStwIHXgmZwa9J,none,6,33,feature contribution,1.0,0.8571428571428571,0.8571428571428571,0.1495658025284643,0.19496617049999998,1.0,0.0453070418,0.9337551964,1.0,1.0,0.9204114752692487,0.9499103247440123,0.34964849932151343,0.2075558209781915
R_5PStwIHXgmZwa9J,none,7,30,feature contribution,1.0,0.8571428571428571,0.8571428571428571,0.1632857616460652,0.1271607728,1.0,0.1742685885,0.9465394563,0.0,0.0,0.894273660548989,0.8884953910396058,0.2274006877740401,0.21444816824536891
R_5PStwIHXgmZwa9J,none,8,7,feature contribution,0.46549962421093233,0.6666666666666666,0.6666666666666666,0.18014672087824415,0.19590463575000003,1.0,0.0036162778,0.9459640586,1.0,1.0,0.9211035076362215,0.9580333836335364,0.22461001479273013,0.007160814885250555
R_5PStwIHXgmZwa9J,none,9,32,feature contribution,0.4825323292584077,0.6666666666666666,0.6666666666666666,0.1967454921823503,0.19057101075000002,1.0,0.1389655967,0.9626379351,0.0,1.0,0.9439908358886434,0.9568025522992581,0.006427055100199197,0.042463960663437494
R_5PStwIHXgmZwa9J,none,10,35,feature contribution,1.0,1.0,1.0,0.17038461958450646,0.32573945694239137,1.0,0.0031770872,0.9469199851,0.0,0.0,0.9264232289701023,0.8713395510176845,0.23770354406449112,0.3153314039826781
R_5PStwIHXgmZwa9J,none,11,31,feature contribution,0.747662744159035,1.0,0.0,0.35278011215110033,0.17752933175000002,1.0,0.0268052736,0.9433767927,1.0,0.0,0.9072735696049558,0.9544286987695102,0.04683909548105686,0.15771109371462982
R_5PStwIHXgmZwa9J,none,12,52,feature contribution,0.7084710362310205,0.0,1.0,0.17095161011793064,0.1474634991,0.0,0.090254011,0.874149378,0.0,0.0,0.9031449668564036,0.9020329110835759,0.3321438779076473,0.30659917158126265
R_5PStwIHXgmZwa9J,none,13,58,feature contribution,0.5487290814222385,0.5,0.0,0.08482920967220053,0.108287259275,0.0,0.0091002585,0.9511578184,0.0,1.0,0.940862052902927,0.9081632689907193,0.002815067660930537,0.020653536055206756
R_5PStwIHXgmZwa9J,none,14,51,feature contribution,0.6024668558166671,1.0,0.6666666666666666,0.22439081144976603,0.20087798814999996,1.0,0.2313401826,0.9460815156,1.0,1.0,0.9179167426199465,0.9209397871853792,0.05598157348543517,0.06584729734499564
R_5PStwIHXgmZwa9J,none,15,11,feature contribution,0.6615253322702713,1.0,1.0,0.10690641372666505,0.13352517673333333,0.0,0.1707290187,0.9324009132,0.0,0.0,0.9841323464444576,0.9674551409611896,0.2510244472690181,0.23554747861312147
R_5PStwIHXgmZwa9J,none,16,20,feature contribution,0.4483647787952726,0.6666666666666666,1.0,0.1229932917057732,0.08697870820000002,0.0,0.0784846683,0.9260258621,0.0,0.0,0.966569340065972,0.9565822237699002,0.0797876554573721,0.07853955921289846
R_5PStwIHXgmZwa9J,none,17,12,feature contribution,1.0,1.0,1.0,0.198532027713448,0.16821283377500001,1.0,0.0235823864,0.9483547031,0.0,1.0,0.9271982159093488,0.9116385129325034,0.0038541496900329486,0.016467105639963564
R_5PStwIHXgmZwa9J,none,18,0,feature contribution,0.6459857583408365,1.0,0.6666666666666666,0.22925453748822547,0.197422073675,1.0,0.1048447225,0.9089260287,1.0,1.0,0.8638223752016173,0.8501820180979123,0.06719163861767768,0.04575119916954029
