participant,domain,xai,original label,target label,case,instance id,attribute values before and after,num attributes changed,distance of counterfactual to original,counterfactual label,valid counterfactual (0/1),distance to closest minimal counterfactual,confidence for target label original,confidence for target label counterfactual,delta confidence of target label
R_5JrAewWP4QfNMDy,housing,attribution,Cheap,Expensive,5,577,"""Living Area"" - 1930(0.321022727273)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 2(0.363636363636)
""Floors"" - 1(0) -> 2(0.666666666667)
""Construction Grade"" - 7(0.2) -> 9(0.6)",2,1.06666666667,Expensive,1,0.533333333333,0.346561897239,0.959456382268,0.612894485029
R_5JrAewWP4QfNMDy,housing,attribution,Expensive,Cheap,6,2447,"""Living Area"" - 3190(0.678977272727)
""Bedrooms"" - 5(1) -> 4(0.666666666667)
""Bathrooms"" - 3.5(0.909090909091) -> 2.155(0.42)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 8(0.4)",3,1.48909090909,Expensive,0,1.689375,0.19821191858,0.109050685569,-0.0891612330115
R_5JrAewWP4QfNMDy,housing,attribution,Expensive,Cheap,7,1751,"""Living Area"" - 3600(0.795454545455)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 9(0.6) -> 8(0.4)",2,0.866666666667,Expensive,0,1.27348484848,0.0524975827183,0.115968378468,0.0634707957495
R_5JrAewWP4QfNMDy,housing,attribution,Expensive,Cheap,8,553,"""Living Area"" - 3040(0.636363636364)
""Bedrooms"" - 4(0.666666666667)
""Bathrooms"" - 2.75(0.636363636364)
""Floors"" - 2(0.666666666667) -> 1(0)
""Construction Grade"" - 9(0.6) -> 7(0.2)",2,1.06666666667,Cheap,1,0.742518939394,0.0930185614867,0.501310408298,0.408291846811
R_5JrAewWP4QfNMDy,housing,attribution,Expensive,Cheap,9,172,"""Living Area"" - 1290(0.139204545455)
""Bedrooms"" - 2(0)
""Bathrooms"" - 2.5(0.545454545455) -> 2.0175(0.37)
""Floors"" - 3(1) -> 2(0.666666666667)
""Construction Grade"" - 8(0.4) -> 7(0.2)",3,0.708787878788,Cheap,1,0.709071969697,0.256568711116,0.752695530522,0.496126819406
R_5JrAewWP4QfNMDy,housing,attribution,Expensive,Cheap,10,2728,"""Living Area"" - 2160(0.386363636364)
""Bedrooms"" - 3(0.333333333333)
""Bathrooms"" - 2.5(0.545454545455)
""Floors"" - 3(1) -> 2(0.666666666667)
""Construction Grade"" - 8(0.4) -> 7(0.2)",2,0.533333333333,Cheap,1,0.333617424242,0.101627349659,0.786593793027,0.684966443368
R_1J8ShU0r192gzAd,safelimit,none,Above Limit,Below Limit,1,87,"""Alcohol Units"" - 9.1(0.950024987506) -> 4.45748(0.37)
""Weight"" - 81.4(0.622294138799)
""Drinking Duration"" - 91(0.276363636364)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",1,0.580024987506,Below Limit,1,0.258173186134,2.73960287617e-19,0.999999999696,0.999999999696
R_1J8ShU0r192gzAd,safelimit,none,Above Limit,Below Limit,2,203,"""Alcohol Units"" - 6.5(0.625187406297) -> 5.498(0.5)
""Weight"" - 50.3(0.0631427544049)
""Drinking Duration"" - 175(0.581818181818)
""Gender"" - Female(0)
""Stomach Fullness"" - Full(1)",1,0.125187406297,Above Limit,0,0.219137195156,3.97200592972e-12,5.91969525049e-05,5.91969485329e-05
R_1J8ShU0r192gzAd,safelimit,none,Above Limit,Below Limit,3,106,"""Alcohol Units"" - 7(0.687656171914) -> 5(0.437781109445)
""Weight"" - 59.6(0.230348795397)
""Drinking Duration"" - 43(0.101818181818)
""Gender"" - Female(0)
""Stomach Fullness"" - Empty(0)",1,0.249875062469,Above Limit,0,0.303480945611,3.54735101294e-24,2.60703381521e-14,2.60703381486e-14
R_1J8ShU0r192gzAd,safelimit,none,Above Limit,Below Limit,4,143,"""Alcohol Units"" - 7.7(0.775112443778) -> 4.93772(0.43)
""Weight"" - 65.5(0.336425746134)
""Drinking Duration"" - 143(0.465454545455)
""Gender"" - Male(1)
""Stomach Fullness"" - Empty(0)",1,0.345112443778,Below Limit,1,1.3576061969,1.58378488751e-10,0.999999999552,0.999999999394
