_row,x_1_train_change,x_2_train_change,x_3_train_change,x_4_train_change,x_5_train_change
107,0.00850195544975344,,0.09073661634908832,,
108,-0.14453324264580847,,-0.002062195826115644,,
109,,,,,
110,,,,,
111,,,,,
112,,,,,
113,,,,,
114,,,,,
115,,,,,
116,,,,,
117,,,,,
118,,,,,
119,,,,,
120,,,,,
121,-0.05101173269852064,,-0.002062195826115644,,
122,-0.00850195544975344,,-0.057741483131238024,,
123,0.1700391089950688,,0.002062195826115644,,
124,0.00850195544975344,,0.09073661634908832,,
125,-0.14453324264580847,,-0.002062195826115644,,
126,0.02550586634926032,,0.047430504000659804,,
127,,0.08695652173913043,,,0.02702702702702703
128,,-0.06521739130434782,,,-0.02702702702702703
129,,0.06521739130434782,,,0.02702702702702703
130,,-0.043478260869565216,,,-0.02702702702702703
131,,-0.021739130434782608,,,-0.05405405405405406
132,,0.021739130434782608,,,0.1891891891891892
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,0.06521739130434782,,,0.02702702702702703
146,,-0.021739130434782608,,,-0.05405405405405406
147,,0.08695652173913043,,,0.02702702702702703
148,,-0.06521739130434782,,,-0.02702702702702703
149,,-0.043478260869565216,,,-0.02702702702702703
150,,0.021739130434782608,,,0.1891891891891892
151,-0.14453324264580847,,-0.002062195826115644,,
152,-0.05101173269852064,,-0.002062195826115644,,
153,-0.00850195544975344,,-0.057741483131238024,,
154,0.1700391089950688,,0.002062195826115644,,
155,0.00850195544975344,,0.09073661634908832,,
156,0.02550586634926032,,0.047430504000659804,,
157,,,,,
158,,,,,
159,,,,,
160,,,,,
161,,,,,
162,,,,,
163,,,,,
164,,,,,
165,,,,,
166,,,,,
167,,,,,
168,,,,,
169,0.02550586634926032,,0.047430504000659804,,
170,0.1700391089950688,,0.002062195826115644,,
171,-0.00850195544975344,,-0.057741483131238024,,
172,-0.05101173269852064,,-0.002062195826115644,,
173,0.00850195544975344,,0.09073661634908832,,
174,-0.14453324264580847,,-0.002062195826115644,,
175,,-0.043478260869565216,,,-0.02702702702702703
176,,0.06521739130434782,,,0.02702702702702703
177,,0.08695652173913043,,,0.02702702702702703
178,,-0.021739130434782608,,,-0.05405405405405406
179,,-0.06521739130434782,,,-0.02702702702702703
180,,0.021739130434782608,,,0.1891891891891892
181,,,,,
182,,,,,
183,,,,,
184,,,,,
185,,,,,
186,,,,,
187,,,,,
188,,,,,
189,,,,,
190,,,,,
191,,,,,
192,,,,,
193,,-0.06521739130434782,,,-0.02702702702702703
194,,0.06521739130434782,,,0.02702702702702703
195,,0.08695652173913043,,,0.02702702702702703
196,,-0.043478260869565216,,,-0.02702702702702703
197,,-0.021739130434782608,,,-0.05405405405405406
198,,0.021739130434782608,,,0.1891891891891892
199,-0.14453324264580847,,-0.002062195826115644,,
200,-0.00850195544975344,,-0.057741483131238024,,
201,0.00850195544975344,,0.09073661634908832,,
202,0.1700391089950688,,0.002062195826115644,,
203,0.02550586634926032,,0.047430504000659804,,
204,-0.05101173269852064,,-0.002062195826115644,,
205,,,,,
206,,,,,
207,,,,,
208,,,,,
209,,,,,
210,,,,,
211,,,,,
212,,,,,
213,,,,,
214,,,,,
215,,,,,
216,,,,,
