participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_3Rqq1nU9dD98bDb,attribution,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.4097410754861007,0.40358742940501413,0.22306958037721553,0.29166666666666663,2.9530750627118665,0.41953561351249924,0.4334983771639127,0.27256960418891124,0.3138888888888889,4.003819693617038,0
R_3Rqq1nU9dD98bDb,attribution,weighted examples,observed per instance,1.0,nan,0.5,6.0,0.0,1,0.35430574622679184,0.4903802243799403,0.19899171683352382,0.6166666666666666,2.4792750984144454,0.36653799807561305,0.508765188171384,0.24184118432261012,0.6277777777777779,3.6774953350911597,1
R_3pV2gsUjgx4OTvP,none,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,0,0.39775182789561275,0.39078945428784034,0.18629311007906585,0.7,1.8967995377363978,0.40740867856606344,0.3714757529469389,0.18629311007906582,0.7,2.0540162720016744,0
R_3pV2gsUjgx4OTvP,none,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.3120962184668006,0.4939050965767759,0.11809753351037695,0.7416666666666666,1.5378853430487034,0.3120962184668005,0.4939050965767759,0.11809753351037693,0.7416666666666666,1.5378853430487034,1
R_4hswOSBSOzoVrXW,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,0.38585919615258046,0.39758314258854954,0.16930153489371058,0.6583333333333332,2.0245457095759796,0.3858591961525805,0.39758314258854954,0.1693015348937106,0.6583333333333333,2.0245457095759796,1
R_4hswOSBSOzoVrXW,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,0.37074780184505707,0.37416394737163733,0.11565955106175148,0.8333333333333333,2.1672706831484816,0.37074780184505707,0.3741639473716373,0.11565955106175148,0.8333333333333334,2.1672706831484816,0
R_52iijMB6msPiDJ9,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.47568162671876035,0.2999908919389208,0.25135414537644124,0.775,2.2187821231483063,0.47568162671876024,0.29999089193892076,0.25135414537644124,0.775,2.2187821231483063,0
R_52iijMB6msPiDJ9,none,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,0,0.33397931155469485,0.4557791019285031,0.12373772503789289,0.875,1.4798148507624747,0.34845402053164215,0.4646307983437817,0.16153883940706582,0.875,1.6188982424756304,1
R_52rQ67BFIWPT81l,counterfactual,feature contribution,observed per instance,0.0,1.0,0.5,nan,nan,1,0.3151628457818204,0.5889761249459744,0.21930181650961517,0.6524999999999999,2.451775433536404,0.3946613515107661,0.5088152844107974,0.2981379874323295,0.7124999999999999,5.251817199121935,0
R_52rQ67BFIWPT81l,counterfactual,weighted examples,observed per instance,0.0,nan,1.5,6.0,0.0,1,0.2842034091094473,0.6114851099718427,0.17989192819073735,0.7083333333333334,2.1739262461262934,0.29366118537397484,0.6037744113802211,0.19109678212817083,0.7208333333333333,2.25478199394654,1
R_53dL26t7L3fRn0z,attribution,feature contribution,observed per instance,1.0,1.0,1.5,nan,nan,1,0.3286565454111055,0.5888734240070095,0.24618651482922052,0.8300000000000001,2.095180516602632,0.32865654541110556,0.5888734240070096,0.24618651482922055,0.8299999999999998,2.095180516602632,1
R_53dL26t7L3fRn0z,attribution,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,1,0.36763563155040396,0.5558123208302806,0.29108358393108846,0.6699999999999999,2.7272484915792097,0.3676356315504039,0.5558123208302806,0.2910835839310884,0.6699999999999999,2.7272484915792092,0
R_5IirXiajB47ue8i,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,0.45074788935631993,0.3883384454864597,0.2898342241990993,0.85,2.744791691495104,0.4612197903152279,0.3883384454864596,0.3107780261169156,0.85,2.7447916914951036,0
R_5IirXiajB47ue8i,none,weighted examples,observed per instance,0.0,nan,1.5,0.0,0.0,1,0.37680985467188577,0.46088054258436173,0.21450025192813324,0.8291666666666666,2.296471364776794,0.3768098546718857,0.46088054258436173,0.21450025192813324,0.8291666666666666,2.2964713647767936,1
R_5Qg3F8vwXGPLT2w,counterfactual,feature contribution,observed per instance,1.0,0.0,0.5,nan,nan,1,0.3788744356166804,0.42709544004445243,0.18484431127781326,0.5958333333333333,2.734825030044274,0.39907254094100353,0.3866992293958062,0.18484431127781326,0.5958333333333333,2.9609654041586717,0
R_5Qg3F8vwXGPLT2w,counterfactual,weighted examples,observed per instance,0.0,nan,1.0,6.0,0.0,1,0.3104490907748847,0.5147020985399485,0.135600280089718,0.8875,2.280534350798928,0.34526759657698475,0.4887916351024705,0.17932682825643992,0.75,2.515632578816265,1
R_5cuMJZcXnXdkcTS,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,0.3700435434335444,0.4821289390548669,0.2222160259219558,0.775,2.773577278765887,0.37004354343354445,0.4821289390548669,0.22221602592195583,0.7749999999999999,2.773577278765887,0
R_5cuMJZcXnXdkcTS,none,weighted examples,observed per instance,0.0,nan,1.0,0.0,0.0,1,0.31852203816035896,0.531236386617493,0.1682804629382108,0.7875,2.304245858626861,0.31852203816035896,0.531236386617493,0.1682804629382108,0.7874999999999999,2.304245858626861,1
R_61FqPsVQ8CmSH4d,counterfactual,feature contribution,observed per instance,1.0,0.5,1.5,nan,nan,1,0.34830656916702035,0.4457211955081909,0.14233433384223143,1.0,0.8915002497919466,0.3501717713781149,0.4397019438000672,0.1400454865562971,1.0,0.9181189271575348,1
R_61FqPsVQ8CmSH4d,counterfactual,weighted examples,observed per instance,1.0,nan,1.5,2.0,1.0,1,0.5295671905705464,0.3753625437371976,0.43449692487829,1.0,1.0250916190171198,0.544251663319512,0.3476133171790286,0.4361166438180525,1.0,1.1038956351424347,0
