participant,domain,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_1CkJOzM85nYSCk1,diabetes,attribution,5,14,feature contribution,0.32460773199290544,0.5,0.5,0.18778533943634734,0.25224226366666663,1.0,0.1214092754,0.9003957019,1.0,0.0,0.9000246145846706,0.9403374297198187,0.14500809236867185,0.2545813930247104
R_1CkJOzM85nYSCk1,diabetes,attribution,6,26,feature contribution,0.32460773199290544,0.5,0.0,0.11210555494598085,0.17173562455,0.0,0.0232514533,0.957882691,1.0,1.0,0.9732248694979153,0.9406391560588501,0.042362447482082344,0.03306564511590465
R_1CkJOzM85nYSCk1,diabetes,attribution,7,32,feature contribution,0.32460773199290544,0.5,0.5,0.13572775746587257,0.200973254,1.0,0.2194493536,0.9262570578,1.0,1.0,0.9112937196949215,0.9368025522992582,0.027430266342861,0.023736132972330293
R_1CkJOzM85nYSCk1,diabetes,attribution,8,56,feature contribution,0.32460773199290544,0.5,0.5,0.21262064570959405,0.18300948233333333,1.0,0.1025671095,0.9108620155,1.0,1.0,0.9433425320014989,0.9340038248527528,0.11914648941440564,0.04013072782078181
R_1CkJOzM85nYSCk1,diabetes,attribution,9,35,feature contribution,0.32460773199290544,0.5,0.5,0.030466080661032072,0.21266220325652174,0.0,0.356191009,0.868945371,0.0,0.0,0.8767584175525043,0.8454052806755737,0.36999739531803305,0.3770833245636617
R_1CkJOzM85nYSCk1,diabetes,attribution,10,33,feature contribution,0.6405871994412875,1.0,0.0,0.10937096984168732,0.186031287,1.0,0.2535736589,0.9431313721,1.0,0.0,0.9242038956610821,0.9259385268591709,0.16648140479510531,0.05755949017213874
R_1CkJOzM85nYSCk1,diabetes,attribution,11,15,feature contribution,0.6405871994412875,1.0,1.0,0.37503676419187093,0.30418296209999995,1.0,0.0763046631,0.9139869215,0.0,0.0,0.8869769322392741,0.9011476926576483,0.21415126349990554,0.20937421572937065
R_1CkJOzM85nYSCk1,diabetes,attribution,12,52,feature contribution,0.6405871994412875,1.0,0.0,0.06140821000239763,0.15144162489263902,0.0,0.2305279225,0.9034249156,0.0,0.0,0.9062742356164151,0.9095855944215919,0.30947883600424175,0.37016239781887916
R_1CkJOzM85nYSCk1,diabetes,attribution,13,58,feature contribution,0.6405871994412875,1.0,0.0,0.35151644529674886,0.23704301989999998,1.0,0.1566668547,0.9299752983,0.0,0.0,0.9274376147325477,0.9051499692733952,0.028006453049584656,0.015798628337693243
R_1CkJOzM85nYSCk1,diabetes,attribution,14,59,feature contribution,0.32460773199290544,0.5,0.0,0.10554550516597438,0.13808059505000003,1.0,0.0031387804,0.9520071881,0.0,0.0,0.9404798331810371,0.9232245641633767,0.040222290897642315,0.07470206132997495
R_1CkJOzM85nYSCk1,diabetes,attribution,15,12,feature contribution,0.6405871994412875,1.0,0.0,0.18846767861776792,0.18178030944999998,0.0,0.0322006797,0.8976110713,0.0,0.0,0.9316706548933795,0.9198876785900232,0.037680217406794225,0.0706018471315693
R_1CkJOzM85nYSCk1,diabetes,attribution,16,11,feature contribution,0.6405871994412875,1.0,0.0,0.13770813376377342,0.13076857675,0.0,0.0711292268,0.9652224611,0.0,0.0,0.9614863096164368,0.958342127290813,0.23692219284287697,0.1143943825996139
R_1CkJOzM85nYSCk1,diabetes,attribution,17,31,feature contribution,0.6405871994412875,1.0,0.0,0.055696865931579964,0.2072861758,1.0,0.080412862,0.9314740551,1.0,0.0,0.9425639419092817,0.9516190608244436,0.11283008891180699,0.31707840365515966
R_1CkJOzM85nYSCk1,diabetes,attribution,18,51,feature contribution,0.32460773199290544,0.5,0.5,0.1488014193840856,0.15489253733333333,0.0,0.011665163,0.9301282926,0.0,0.0,0.9046109765798901,0.9005310134241848,0.0433813568093232,0.08693529776914694
R_1CkJOzM85nYSCk1,diabetes,attribution,19,0,feature contribution,0.6405871994412875,0.0,0.0,0.17729628558198576,0.22567567570000002,0.0,0.0056742776,0.8848617672,0.0,1.0,0.8597239750063204,0.8692429605247338,0.023748284015077448,0.07652893562043278
R_1CkJOzM85nYSCk1,diabetes,attribution,20,20,feature contribution,0.6405871994412875,1.0,0.0,0.222423549028798,0.1690273763,1.0,0.1734554,0.9456510618,0.0,0.0,0.955902989224831,0.9562767274808285,0.06621759959079215,0.07726064312596054
R_1FwylBEbSuK0oNf,diabetes,counterfactual,1,7,feature contribution,0.5395991388915281,0.5,0.5,0.05709803034903447,0.082782313,0.0,0.1566975201,0.9409221765,0.0,0.0,0.9400885023659015,0.9423396406935721,0.1295454933600178,0.13179170831563822
