participant,domain,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_17kEVqhzQ2qsxRj,diabetes,none,2,56,feature contribution,0.4890568256905696,0.5,0.0,0.22290399514175685,0.16364619275,1.0,0.0853831388,0.9444033797,0.0,0.0,0.9252683406430569,0.9441380573329636,0.07694693362922667,0.1197463886539187
R_17kEVqhzQ2qsxRj,diabetes,none,3,26,feature contribution,0.4890568256905696,0.5,0.5,0.14791154167041728,0.18076512666666666,1.0,0.0674638591,0.9755793905,0.0,1.0,0.9473302981212971,0.9406391560588501,0.06979092390868802,0.03306564511590465
R_17kEVqhzQ2qsxRj,diabetes,none,4,53,feature contribution,0.4890568256905696,0.5,0.5,0.13940337788010776,0.26063323566666663,0.0,0.0942672556,0.9229688592,1.0,0.0,0.9423123129509021,0.9449924457738775,0.046006219113663205,0.07020935569562506
R_17kEVqhzQ2qsxRj,diabetes,none,5,33,feature contribution,0.45306497868835927,0.6666666666666666,0.4,0.09641492954082996,0.1321570533,1.0,0.0887931601,0.9383243166,1.0,1.0,0.9413166257366763,0.9351277160483601,0.17120742395728628,0.14802266642767076
R_17kEVqhzQ2qsxRj,diabetes,none,6,7,feature contribution,0.4890568256905696,0.5,0.5,0.18125102275967064,0.10930557499999999,0.0,0.0233069063,0.915182125,0.0,0.0,0.9471886854110726,0.9423396406935721,0.17889739830753137,0.13179170831563822
R_17kEVqhzQ2qsxRj,diabetes,none,7,32,feature contribution,0.4890568256905696,0.5,1.0,0.2065822432874426,0.22068758100000002,1.0,0.1751543515,0.93734892,0.0,1.0,0.9288880726209571,0.942019943603606,0.04248551004749446,0.019677559921170998
R_17kEVqhzQ2qsxRj,diabetes,none,8,35,feature contribution,0.45306497868835927,0.6666666666666666,0.6666666666666666,0.21973381186220858,0.2750870353923913,0.0,0.2661618748,0.8945804877,0.0,0.0,0.8893192232255712,0.8654052806755738,0.39577140136757366,0.5079280187075761
R_17kEVqhzQ2qsxRj,diabetes,none,9,14,feature contribution,0.4890568256905696,0.5,0.0,0.0948624494013427,0.17282091175,1.0,0.0616971327,0.8923234534,1.0,0.0,0.9400451217849692,0.9403374297198187,0.041991535531953894,0.2545813930247104
R_17kEVqhzQ2qsxRj,diabetes,none,10,30,feature contribution,0.4890568256905696,0.5,0.5,0.14295639348525743,0.14321980999999998,0.0,2.0907e-05,0.9337793102,0.0,0.0,0.8848441384172215,0.9084953910396059,0.24254401141021087,0.13452070523865026
R_17kEVqhzQ2qsxRj,diabetes,none,11,51,feature contribution,0.4890568256905696,0.5,0.5,0.09826338392121069,0.1658918798,0.0,0.0747438587,0.9360120246,0.0,0.0,0.9015334033376151,0.9079446539675288,0.04749695050791006,0.033781290969375266
R_17kEVqhzQ2qsxRj,diabetes,none,12,52,feature contribution,0.4890568256905696,0.5,0.0,0.14125740839789347,0.15339466975,0.0,0.4111869549,0.9591714131,0.0,0.0,0.9202667553174155,0.9160461003768946,0.4615955278935774,0.2298258368900814
R_17kEVqhzQ2qsxRj,diabetes,none,13,12,feature contribution,0.4890568256905696,0.5,0.5,0.07351256728855067,0.13618045433333334,0.0,0.0868101723,0.9262771861,0.0,1.0,0.9407109684299703,0.9448369485727007,0.06173861961664523,0.01580261901401897
R_17kEVqhzQ2qsxRj,diabetes,none,14,59,feature contribution,0.4890568256905696,0.5,0.5,0.16097227842000447,0.18006180566666666,0.0,0.1090503126,0.9449254673,0.0,0.0,0.9484170800241738,0.9626978841495935,0.06092211282224874,0.01721669016791938
R_17kEVqhzQ2qsxRj,diabetes,none,15,11,feature contribution,0.4890568256905696,0.5,0.5,0.20426677885105474,0.2175492683333333,0.0,0.2002837268,0.9458022175,0.0,0.0,0.9654993855173751,0.9663818057546709,0.16847933927005188,0.18974401251973178
R_17kEVqhzQ2qsxRj,diabetes,none,16,58,feature contribution,0.4890568256905696,0.5,1.0,0.14339636886122423,0.309079126,0.0,0.157763018,0.8974151046,0.0,0.0,0.9275561401901297,0.9251499692733951,0.034096506234327806,0.009522958932003
R_17kEVqhzQ2qsxRj,diabetes,none,17,0,feature contribution,0.4890568256905696,1.0,0.5,0.3907754110702925,0.301089171,0.0,0.0902070304,0.9310055822,0.0,0.0,0.8673758274676785,0.855809227284489,0.011678360648949171,0.061079467072917275
R_17kEVqhzQ2qsxRj,diabetes,none,18,15,feature contribution,0.7204850845606131,0.0,0.0,0.24416653760483334,0.289130435,0.0,0.4598033709,0.9594085622,0.0,0.0,0.8831621336995816,0.8652720843098796,0.26862928843863354,0.12609013263983881
R_17kEVqhzQ2qsxRj,diabetes,none,19,20,feature contribution,0.4890568256905696,0.5,0.5,0.130313924255165,0.17281542866666666,0.0,0.0201390535,0.9535229736,0.0,0.0,0.9672758458636895,0.9399878666002617,0.05420739660345664,0.14370581079774541
R_17kEVqhzQ2qsxRj,diabetes,none,20,31,feature contribution,0.7204850845606131,0.0,0.0,0.2573263699127751,0.15536667600000004,0.0,0.2784553444,0.9455506228,1.0,0.0,0.9336046478250325,0.9621804388002316,0.08115963289454992,0.09774009660643773
R_1CkJOzM85nYSCk1,diabetes,attribution,1,30,feature contribution,0.32460773199290544,0.6666666666666666,0.5,0.21741112360768108,0.12495622307567567,0.0,0.2700750763,0.8826156623,0.0,0.0,0.8838818818859285,0.8610803554774507,0.2547731568512109,0.2346431159404283
R_1CkJOzM85nYSCk1,diabetes,attribution,2,42,feature contribution,0.32460773199290544,0.5,0.5,0.1441236753043326,0.14434679233333333,1.0,0.2032288669,0.9495876287,0.0,0.0,0.9430384934345578,0.9538647578361095,0.03654963553400992,0.019206394270751798
R_1CkJOzM85nYSCk1,diabetes,attribution,3,53,feature contribution,0.6405871994412875,1.0,0.0,0.048262188567256614,0.419835062,0.0,0.0497233786,0.9176189483,0.0,0.0,0.9079665105682135,0.9428400307861561,0.0166271856143253,0.16276563771480548
R_1CkJOzM85nYSCk1,diabetes,attribution,4,7,feature contribution,0.32460773199290544,0.5,0.5,0.24778150018620862,0.21210595899999998,1.0,0.0151217643,0.9189284079,1.0,0.0,0.9193255460633891,0.9345545785645413,0.07859063818571449,0.09461199488145239
