row_number,participant,domain,phase,boundary distance original,boundary distance new,boundary distance change (new - original)
145,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0395820491408,0.199275245461,0.15969319632
146,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0605519329641,0.222805270513,0.162253337548
147,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0747170723186,0.0221380008902,-0.0525790714283
148,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0569726484831,0.156144880662,0.0991722321791
149,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0501717968156,0.034819206462,-0.0153525903536
150,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0664632820126,0.0103500066365,-0.0561132753761
151,R_7PsMTUjq8Wa1btt,diabetes,testing,0.030760691058,0.07679395367,0.046033262612
152,R_7PsMTUjq8Wa1btt,diabetes,testing,0.215219871146,0.106097820029,-0.109122051117
153,R_7PsMTUjq8Wa1btt,diabetes,testing,0.038863565943,0.0664013487167,0.0275377827737
154,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0900870805017,0.0322128517386,-0.057874228763
155,R_7PsMTUjq8Wa1btt,diabetes,testing,0.034821278767,0.159952831062,0.125131552295
156,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0606767911965,0.060415639041,-0.00026115215543
157,R_7PsMTUjq8Wa1btt,diabetes,testing,0.0818222236912,0.118265346756,0.0364431230648
158,R_7PsMTUjq8Wa1btt,diabetes,testing,0.558946397893,0.377054661547,-0.181891736346
159,R_7PsMTUjq8Wa1btt,diabetes,testing,0.204135275223,0.140614634019,-0.0635206412036
160,R_7PsMTUjq8Wa1btt,diabetes,testing,0.284435118814,0.349698285878,0.0652631670641
