participant,domain,xai,n_forward_trials,participant_training_accuracy,fitted_continuous_parameters,best_forward_mental_model,second_best_forward_mental_model,delta_bic_to_second_best,supported_forward_mental_models_delta_bic_lt_2,forward_mental_model_fit_conclusion,forward_mental_model_evidence_strength,final_feature_relevance,final_feature_polarity,exemplar_nll,exemplar_bic,exemplar_mean_log_loss,exemplar_brier,exemplar_accuracy,exemplar_delta_bic,attribution_nll,attribution_bic,attribution_mean_log_loss,attribution_brier,attribution_accuracy,attribution_delta_bic,prototype_nll,prototype_bic,prototype_mean_log_loss,prototype_brier,prototype_accuracy,prototype_delta_bic
R_3gwJ7NCYNcCcCho,diabetes,counterfactual,12,0.3333333333333333,0,attribution,prototype,0.04835448537743403,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.16666666666666669,""blood_pressure"":0.20833333333333337,""bmi"":0.29166666666666674,""glucose"":0.16666666666666669,""insulin"":0.16666666666666669}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":1.0}",8.302345164925594,16.604690329851188,0.6918620970771329,0.2493574614079939,0.5833333333333334,0.056454771997728415,8.27411777892673,16.54823555785346,0.6895098149105608,0.2480985023690082,0.6666666666666666,0.0,8.298295021615447,16.596590043230893,0.6915245851346206,0.2491887225072921,0.5833333333333334,0.04835448537743403
R_3jfNL25GoofAHh7,diabetes,counterfactual,12,0.4166666666666667,0,attribution,prototype,0.7614106492085426,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.16666666666666669,""blood_pressure"":0.20833333333333337,""bmi"":0.29166666666666674,""glucose"":0.16666666666666669,""insulin"":0.16666666666666669}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":1.0}",8.28896207327461,16.57792414654922,0.6907468394395507,0.24879986514512617,0.5833333333333334,0.8115146752610158,7.883204735644101,15.766409471288203,0.6569337279703418,0.23198240647374713,0.6666666666666666,0.0,8.263910060248373,16.527820120496745,0.6886591716873643,0.2477564179674574,0.6666666666666666,0.7614106492085426
R_5AdxFNYPUVXDGcV,diabetes,counterfactual,12,0.4166666666666667,0,attribution,prototype,0.9836001049288488,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.16666666666666669,""blood_pressure"":0.20833333333333337,""bmi"":0.29166666666666674,""glucose"":0.16666666666666669,""insulin"":0.16666666666666669}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":1.0}",8.308394754493884,16.616789508987768,0.692366229541157,0.24960952182802354,0.5,1.064030982035332,7.776379263476218,15.552758526952436,0.6480316052896848,0.22749777116006795,0.8333333333333334,0.0,8.268179315940642,16.536358631881285,0.6890149429950535,0.2479340363276847,0.6666666666666666,0.9836001049288488
R_5yl16n60oJpwrWu,diabetes,counterfactual,12,0.16666666666666666,0,attribution,prototype,0.3822328228700478,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.16666666666666669,""blood_pressure"":0.20833333333333337,""bmi"":0.29166666666666674,""glucose"":0.16666666666666669,""insulin"":0.16666666666666669}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":1.0}",8.304652680382143,16.609305360764285,0.6920543900318452,0.24945361415217884,0.4166666666666667,0.395203493195627,8.107050933784329,16.214101867568658,0.6755875778153607,0.24126493794182843,0.5833333333333334,0.0,8.298167345219353,16.596334690438706,0.691513945434946,0.2491833963646428,0.5833333333333334,0.3822328228700478
R_6iqiXGwFokBZXvb,diabetes,counterfactual,12,0.6666666666666666,0,attribution,prototype,0.6402838145451692,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.16666666666666669,""blood_pressure"":0.20833333333333337,""bmi"":0.29166666666666674,""glucose"":0.16666666666666669,""insulin"":0.16666666666666669}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":1.0}",8.280183559627854,16.56036711925571,0.6900152966356545,0.24843411082835062,0.75,0.6922998857540943,7.934033616750807,15.868067233501614,0.6611694680625673,0.23406008155489144,0.75,0.0,8.254175524023392,16.508351048046784,0.6878479603352826,0.24735066303770378,0.75,0.6402838145451692
R_7PvOmZWmKNN4iL0,diabetes,counterfactual,12,0.75,0,attribution,prototype,0.5288896977739626,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.16666666666666669,""blood_pressure"":0.20833333333333337,""bmi"":0.29166666666666674,""glucose"":0.16666666666666669,""insulin"":0.16666666666666669}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":1.0}",8.295148646589315,16.59029729317863,0.6912623872157763,0.2490576348783362,0.6666666666666666,0.5851096694558855,8.002593811861372,16.005187623722744,0.6668828176551144,0.23694628350717153,0.6666666666666666,0.0,8.267038660748353,16.534077321496707,0.6889198883956961,0.24788676108880994,0.8333333333333334,0.5288896977739626
R_7dM8goblPKNq3uj,diabetes,counterfactual,12,0.5833333333333334,0,attribution,prototype,1.1176159080422625,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.16666666666666669,""blood_pressure"":0.20833333333333337,""bmi"":0.29166666666666674,""glucose"":0.16666666666666669,""insulin"":0.16666666666666669}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":-1.0,""glucose"":-1.0,""insulin"":1.0}",8.290881089434023,16.581762178868047,0.6909067574528353,0.24887990643934943,0.5833333333333334,1.2760034323358216,7.652879373266113,15.305758746532225,0.637739947772176,0.2228740001476832,0.6666666666666666,0.0,8.211687327287244,16.423374654574488,0.684307277273937,0.2455842360874089,0.6666666666666666,1.1176159080422625
R_3KdocVAIKFJHFu0,diabetes,none,12,0.6666666666666666,0,attribution,prototype,0.23504037699481728,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.4718659508928708,""blood_pressure"":0.04507916211348637,""bmi"":0.2984885286387322,""glucose"":0.09844596084536222,""insulin"":0.08612039750954838}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":1.0,""insulin"":1.0}",8.16510467645956,16.33020935291912,0.6804253897049634,0.24369843415710568,0.5833333333333334,0.9277054452889288,7.701251953815095,15.40250390763019,0.641770996151258,0.2249085675829007,0.5833333333333334,0.0,7.818772142312504,15.637544284625008,0.6515643451927087,0.229670100571382,0.5,0.23504037699481728
R_3WOmvFM0WJMKuPa,diabetes,none,12,0.5,0,exemplar,prototype,1.966564023577531,exemplar / prototype,indistinguishable: exemplar / prototype,indistinguishable,"{""age"":0.47186595089287064,""blood_pressure"":0.04507916211348623,""bmi"":0.2984885286387324,""glucose"":0.09844596084536222,""insulin"":0.08612039750954852}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":1.0,""insulin"":1.0}",5.735074412671235,11.47014882534247,0.4779228677226029,0.14894258910106803,0.75,0.0,6.846666128145323,13.693332256290645,0.5705555106787769,0.19515782041402183,0.6666666666666666,2.2231834309481755,6.7183564244600005,13.436712848920001,0.5598630353716667,0.18984305773229837,0.5833333333333334,1.966564023577531
R_3qWWvSHayKcFHto,diabetes,none,12,0.5833333333333334,0,exemplar,prototype,0.7372957124502655,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.4718659508928709,""blood_pressure"":0.04507916211348611,""bmi"":0.29848852863873226,""glucose"":0.09844596084536227,""insulin"":0.08612039750954853}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":1.0,""insulin"":1.0}",8.043309822395372,16.086619644790744,0.6702758185329477,0.23889999725688668,0.6666666666666666,0.0,8.604108399156887,17.208216798313774,0.717009033263074,0.26115597441254434,0.5833333333333334,1.1215971535230302,8.411957678620505,16.82391535724101,0.7009964732183754,0.25326781259156056,0.75,0.7372957124502655
R_50bx2EyN3nLlK5b,diabetes,none,12,0.5833333333333334,0,exemplar,attribution,0.5343582994826761,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.4718659508928708,""blood_pressure"":0.04507916211348623,""bmi"":0.2984885286387322,""glucose"":0.09844596084536222,""insulin"":0.0861203975095485}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":1.0,""insulin"":1.0}",8.280260297697923,16.560520595395847,0.690021691474827,0.24826991469469165,0.75,0.0,8.547439447439261,17.094878894878523,0.7122866206199384,0.2589050033416037,0.6666666666666666,0.5343582994826761,8.600561605094509,17.201123210189017,0.7167134670912091,0.26112724437181856,0.5833333333333334,0.6406026147931705
R_5w6IMky8ndKIb5h,diabetes,none,12,0.5833333333333334,0,attribution,prototype,0.34309347103869925,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.4718659508928709,""blood_pressure"":0.04507916211348625,""bmi"":0.29848852863873215,""glucose"":0.09844596084536225,""insulin"":0.0861203975095484}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":1.0,""insulin"":1.0}",8.31582471081014,16.63164942162028,0.6929853925675117,0.25018651776753037,0.4166666666666667,0.9572906958453906,7.837179362887445,15.67435872577489,0.6530982802406204,0.23044770363675937,0.6666666666666666,0.0,8.008726098406795,16.01745219681359,0.6673938415338996,0.2375483265962274,0.5,0.34309347103869925
R_69tQCGOCnlsf1C1,diabetes,none,12,0.5833333333333334,0,exemplar,prototype,0.750312898140308,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.4718659508928707,""blood_pressure"":0.04507916211348624,""bmi"":0.2984885286387324,""glucose"":0.09844596084536224,""insulin"":0.08612039750954839}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":1.0,""insulin"":1.0}",8.37076670731817,16.74153341463634,0.6975638922765142,0.2522687407467579,0.5833333333333334,0.0,8.818837744128356,17.63767548825671,0.7349031453440297,0.2701953086088008,0.5,0.8961420736203713,8.745923156388324,17.491846312776648,0.728826929699027,0.26726565729480833,0.4166666666666667,0.750312898140308
R_6a1D770kyKVlljb,diabetes,none,12,0.25,0,exemplar,prototype,0.7774249208010939,exemplar / attribution / prototype,indistinguishable: exemplar / attribution / prototype,indistinguishable,"{""age"":0.4718659508928706,""blood_pressure"":0.04507916211348623,""bmi"":0.2984885286387323,""glucose"":0.09844596084536222,""insulin"":0.08612039750954864}","{""age"":-1.0,""blood_pressure"":-1.0,""bmi"":1.0,""glucose"":1.0,""insulin"":1.0}",7.890469280213991,15.780938560427982,0.6575391066844992,0.23251913379536582,0.5833333333333334,0.0,8.52424131308228,17.04848262616456,0.7103534427568566,0.2580802758845958,0.4166666666666667,1.267544065736578,8.279181740614538,16.558363481229076,0.6899318117178782,0.24806035059752282,0.4166666666666667,0.7774249208010939
