participant,xai,case,instance id,selected model family,model MAP subset probability,observed selection F1 model,observed selection F1 baseline,observed amount MAE model,observed amount MAE baseline,observed validity,observed boundary distance,observed plausibility,model validity,baseline validity,model plausibility,baseline plausibility,model boundary distance,baseline boundary distance
R_10u9fEU6tjcCgkp,none,16,130305,feature contribution,0.5958577037407847,0.6666666666666666,0.6666666666666666,0.13034682738147757,0.07855828801550001,0.0,0.202044777301,0.917153369588,0.0,0.0,0.9515344872280938,0.9400000000000001,0.1645730563990231,0.10338790809090054
R_10u9fEU6tjcCgkp,none,17,130306,feature contribution,0.5045631472332925,1.0,1.0,0.2690163186486468,0.1997987666695,0.0,0.0717709345085,0.943130237274,0.0,0.0,0.9668607084476305,0.96,0.04170511136777779,0.02351627091792903
R_10u9fEU6tjcCgkp,none,18,130307,feature contribution,0.4996599003024646,0.5,0.0,0.10518666681876028,0.123013701454325,1.0,0.150326853268,0.941589038836,0.0,0.0,0.9952989610722038,0.96,0.11875101507636604,0.048483304575161146
R_10u9fEU6tjcCgkp,none,19,130309,feature contribution,0.5049794849386462,0.5,1.0,0.1828693276140685,0.18267285067850003,1.0,0.0170288215307,0.9135012599,0.0,0.0,0.8988436280618697,0.8763259494831048,0.08075817242033168,0.024695929092309776
R_10u9fEU6tjcCgkp,none,20,130304,feature contribution,0.4757707279930148,0.6666666666666666,0.6666666666666666,0.141713219786337,0.07576349800700001,0.0,0.0537583299657,0.925323142405,1.0,1.0,0.9467811434384968,0.9400000000000001,0.07670275393938643,0.07019602908539108
R_1CWrMhp5nGpISLk,counterfactual,1,130200,feature contribution,0.46783322354504664,0.0,0.5,0.16640040138414514,0.16376121580433337,1.0,0.0789626222232,0.881064940961,0.0,0.0,0.8749955407370511,0.8961794832571741,0.07906051060620789,0.09629698792329666
R_1CWrMhp5nGpISLk,counterfactual,2,130205,feature contribution,0.41701648357340537,1.0,0.0,0.027027027027189232,0.131081081081,0.0,0.024833588726,0.923011223435,0.0,1.0,0.9284166288408793,0.9320873775767833,0.011357236326055536,0.002469609806973208
R_1CWrMhp5nGpISLk,counterfactual,3,130202,feature contribution,0.35062666937715575,0.3333333333333333,0.3333333333333333,0.10383283339949008,0.1224972466358,0.0,0.0323574119465,0.93421384494,0.0,0.0,0.9200695217540069,0.9312511690541578,0.11213784128610671,0.1392837262095687
R_1CWrMhp5nGpISLk,counterfactual,4,130208,feature contribution,0.41701648357340537,1.0,0.0,0.027027027027162198,0.1175675675675,0.0,0.0492842010058,0.972972972973,0.0,0.0,0.9675675675675676,0.98,0.024443455730403053,0.023472772405437103
R_1CWrMhp5nGpISLk,counterfactual,5,130206,feature contribution,0.35062666937715575,0.3333333333333333,0.6666666666666666,0.12737403555247928,0.11948280221352499,0.0,0.0650482349436,0.950240318935,0.0,0.0,0.9576512666379952,0.9446323168852677,0.13835028458784013,0.14328269172523525
R_1CWrMhp5nGpISLk,counterfactual,6,130204,feature contribution,0.46783322354504664,0.5,0.0,0.24794789692929667,0.2828437132783333,1.0,0.0447993131557,0.934783575473,0.0,0.0,0.9893998505725191,0.98,0.04529404136829973,0.04293945709519392
R_1CWrMhp5nGpISLk,counterfactual,7,130201,feature contribution,0.35062666937715575,0.3333333333333333,0.6666666666666666,0.09759131477019276,0.08838750377477028,1.0,0.251460979498,0.926891459994,0.0,1.0,0.9265118398313653,0.9335747552469533,0.09148243576181636,0.10373507701616091
R_1CWrMhp5nGpISLk,counterfactual,8,130207,feature contribution,0.46783322354504664,0.5,0.5,0.16553123791289812,0.14939544203266666,1.0,0.00458504238026,0.950611944717,0.0,0.0,0.9709178133490481,0.96,0.09069746368142681,0.10560552222989666
R_1CWrMhp5nGpISLk,counterfactual,9,130209,feature contribution,0.46783322354504664,0.5,0.0,0.18060164493773803,0.19432370946188138,0.0,0.0085170572603,0.947828560142,0.0,0.0,0.996943138076019,0.9909263383650911,0.10680078299280236,0.14645618715768993
R_1CWrMhp5nGpISLk,counterfactual,10,130203,feature contribution,0.46783322354504664,0.5,0.5,0.14445465026144114,0.21120250685466666,1.0,0.0467786612076,0.95316079906,0.0,0.0,0.9412315192841546,0.9340038248527528,0.046541807098079035,0.14856920321188663
R_1CWrMhp5nGpISLk,counterfactual,11,130306,feature contribution,0.41701648357340537,0.0,0.0,0.3028559156125773,0.19973447597650001,0.0,0.0465318370444,0.978172804092,0.0,0.0,0.9387514241455691,0.98,0.2256248652323944,0.23390542993237645
R_1CWrMhp5nGpISLk,counterfactual,12,130300,feature contribution,0.46783322354504664,0.5,0.0,0.15053205886370172,0.15704524690995003,0.0,0.119871707805,0.948958892163,1.0,1.0,0.9689539608739339,0.96,0.017431285779275774,0.03543401254171452
