participant,domain,xai,testing cases,model family,k,eta,alpha,rho,lambda,beta,age actionable,immutable index,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_1RVUILTQODF6RIQ,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.5,0.1,nan,nan,1,4,0.30120175504881463,0.5322887415095386,0.13469225160716797,0.8833333333333332,1.9411818209372744,0.30120175504881475,0.5322887415095385,0.13469225160716794,0.8833333333333334,1.9411818209372746,1
R_1RVUILTQODF6RIQ,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.0,2.0,0.0,1,4,0.36595800851361293,0.44315009764529095,0.1750661146725169,0.7916666666666666,2.592431081178298,0.36595800851361304,0.44315009764529095,0.1750661146725169,0.7916666666666667,2.5924310811782982,0
R_1mET1MXZqXfaCMF,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.0,nan,nan,1,4,0.3952358540993051,0.4429732542221119,0.23344496242072205,0.36666666666666664,1.7239810568884741,0.3952358540993052,0.4429732542221118,0.23344496242072205,0.36666666666666664,1.7239810568884741,0
R_1mET1MXZqXfaCMF,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,1.0,1,4,0.41174775334786695,0.44708196588690247,0.2705774725826365,0.36666666666666664,1.7051616867807347,0.411747753347867,0.4470819658869026,0.27057747258263654,0.36666666666666664,1.705161686780735,1
R_1oOTnAKNxXabpDz,diabetes,attribution,20,feature contribution,observed per instance,1.0,1.0,0.0,nan,nan,0,4,0.31631997548093643,0.6108118796650233,0.24345183062689618,0.75,0.8151303637349585,0.3163199754809365,0.6108118796650233,0.24345183062689618,0.75,0.8151303637349585,1
R_1oOTnAKNxXabpDz,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.36422841237133463,0.4780355141536223,0.20649233889629137,0.85,1.50289375065729,0.3642284123713345,0.4780355141536222,0.20649233889629137,0.85,1.5028937506572897,0
R_31Mz4GTXDqENy8N,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.5,0.0,nan,nan,0,4,0.4898107880307184,0.5266629872511608,0.5062845633125979,0.03333333333333333,2.0056965585401803,0.49491368415762116,0.4944965303629038,0.4843238986781463,0.03333333333333333,2.0847108025669887,1
R_31Mz4GTXDqENy8N,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.0,6.0,0.0,0,4,0.4935341979838232,0.5081527331749662,0.4952211291426127,0.275,2.2556218596443456,0.4981387585962132,0.5026783265234573,0.49895584371588375,0.275,2.297568499479471,0
R_34nO1w3TilUFox4,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.5,0.25,nan,nan,0,4,0.2821989177840169,0.6773971670591914,0.2417950026272253,0.8,0.7695195722955221,0.29708589473421376,0.6659701039517812,0.26014189342020866,0.8,0.8099861730826691,1
R_34nO1w3TilUFox4,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.3,6.0,1.0,0,4,0.3785135241145601,0.572927144610024,0.3299541928391441,0.6166666666666666,0.9634676977758042,0.3881029314792664,0.5549998690521272,0.33120573201065995,0.6166666666666666,1.0256012068368505,0
R_38M4c8GJ6Fzj1uF,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.25,nan,nan,0,4,0.17001543328917063,0.7513989803796549,0.09142984695799625,1.0,0.28581850280398924,0.17001543328917065,0.7513989803796549,0.09142984695799625,1.0,0.2858185028039892,1
R_38M4c8GJ6Fzj1uF,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.26838143312331664,0.5700046902913811,0.10676755653801447,1.0,0.7189941641227643,0.2683814331233167,0.570004690291381,0.10676755653801447,1.0,0.7189941641227641,0
R_3EQiWxhjeJiatzT,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,0.0,0.3,nan,nan,1,4,0.31186036393342864,0.6234045564090707,0.24712528427592778,0.725,1.5310668887250496,0.3037425832637699,0.6173347615182402,0.22481992804577997,0.75,1.5648732025994345,1
R_3EQiWxhjeJiatzT,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.3,6.0,1.0,1,4,0.31913766696625867,0.5721428757274525,0.21041820965996977,0.7208333333333333,1.9016973570169438,0.31913766696625867,0.5721428757274525,0.21041820965996977,0.7208333333333333,1.901697357016944,0
R_3JsJHI218IpRVj7,diabetes,counterfactual,20,feature contribution,observed per instance,0.0,0.0,0.1,nan,nan,1,4,0.29598620907770157,0.6217655733077077,0.2137379914631108,0.6758333333333333,1.6698900515908803,0.3058434612657165,0.5931014174299909,0.20478833996142393,0.6008333333333333,1.8993596107253983,1
R_3JsJHI218IpRVj7,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.15,0.0,1.0,1,4,0.29736036503875457,0.5980509979073715,0.19277172798488063,0.5241666666666667,1.7195547890387792,0.2879649189901895,0.6031586612701938,0.17908849925057274,0.5999999999999999,1.9631719832832375,0
R_3LnSgPBvcIJNAeg,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,0.0,0.0,nan,nan,1,4,0.45518725655527337,0.3328165306228676,0.24319104373341446,0.75,1.3333104505522893,0.4697024759593574,0.308659176553678,0.2480641284723927,0.75,4.074630473476702,1
R_3LnSgPBvcIJNAeg,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.05,6.0,0.5,1,4,0.3382724573713311,0.38177542751478066,0.05832034225744294,0.9,1.2941365703303818,0.3990803767389619,0.2809468531758523,0.07910760665377616,0.85,4.1935964595545725,0
R_3Q6kxbz4Q8tHXZy,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.1,nan,nan,1,4,0.2207690665185047,0.669666366171565,0.1112044992085744,0.975,1.6247595466365,0.2271755674818401,0.6640775923976036,0.1184287273612838,0.975,1.6665485526076587,1
R_3Q6kxbz4Q8tHXZy,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.2646517020314375,0.6600778063420898,0.18938121040496486,0.8375,1.9581370676441172,0.26143698233403734,0.6649560849760489,0.18783004964412356,0.8249999999999998,1.9646630252666402,0
R_3Qn1EjxrSh3e0nP,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.15,nan,nan,0,4,0.24154450400968056,0.6075027376146729,0.09059174563403403,1.0,0.8210165683190043,0.284609444847126,0.542400158083618,0.11161904777787006,0.9,1.0496443712042887,0
R_3Qn1EjxrSh3e0nP,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.32392920389686464,0.562311262471215,0.21016967026494418,0.9,0.8190285910935573,0.32392920389686464,0.5623112624712149,0.2101696702649442,0.9,0.8190285910935573,1
R_3WSZqfTvADr53St,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.15,nan,nan,0,4,0.20085847742224988,0.670347712004354,0.07206466684885368,0.9833333333333332,1.162668016131967,0.22227638355995444,0.6376306694970049,0.08218343661691374,0.9333333333333332,1.407416719216757,0
R_3WSZqfTvADr53St,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.2275496005889887,0.6484272243586905,0.10352642553666777,0.9333333333333332,1.378242693584815,0.22754960058898863,0.6484272243586905,0.1035264255366678,0.9333333333333332,1.3782426935848149,1
R_3YglSZja72DFnI4,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.1,nan,nan,0,4,0.20463733617643057,0.69736597292845,0.10664064528131109,0.8833333333333332,1.2306095785694886,0.22193310152265777,0.6594128997721551,0.1032791028174708,0.8583333333333332,1.5002254371947819,0
R_3YglSZja72DFnI4,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,2.0,0.0,0,4,0.23078240819076806,0.7010282701468734,0.16259308652840967,0.8666666666666666,1.2541152186452924,0.23216171204911334,0.6957699375005161,0.16009336159874288,0.8833333333333332,1.3066214490504187,1
R_3ZKYxGrd1NEGvzr,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.15,nan,nan,1,4,0.249339613012645,0.5961047341573482,0.09478396018263831,0.95,0.8306209024887441,0.2954459833739251,0.5163335020690714,0.10722546881692148,0.85,2.4004411832627235,0
R_3ZKYxGrd1NEGvzr,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.33004428166306443,0.48184392859228453,0.1419324919184133,0.95,1.0327060572044562,0.32084329784398957,0.4968266613997012,0.13851325708768028,0.95,2.2878457861318653,1
R_3nWiNi5gYskdFzH,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.05,nan,nan,0,4,0.25669606924403476,0.6397968607343107,0.15318899922238013,0.95,1.0819157021950296,0.2610118129348581,0.6337051773022615,0.1557288031719776,0.95,1.1211302002708727,1
R_3nWiNi5gYskdFzH,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.30517136994389565,0.594058571722277,0.20440131161006841,0.9416666666666667,1.4226327086530783,0.3051713699438957,0.594058571722277,0.20440131161006847,0.9416666666666668,1.4226327086530781,0
R_3qmJ7h5OfOjYljY,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.25,nan,nan,1,4,0.2160100218869358,0.629786386611793,0.06180643038566478,1.0,1.3622633489094504,0.2151248405236202,0.6315567493384243,0.06180643038566478,1.0,2.6336438921674707,1
R_3qmJ7h5OfOjYljY,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.2537793323201295,0.5786221231384429,0.086180787778702,0.9333333333333332,1.8163729335387988,0.24738062930863475,0.5894319856489257,0.0841932442661952,0.9166666666666666,2.998630627207567,0
R_3rGhvjDW2CG2R21,diabetes,attribution,20,feature contribution,observed per instance,0.0,1.0,0.3,nan,nan,1,4,0.2705001238954445,0.6450602468959519,0.18606049468684077,0.8083333333333332,0.9854526633334814,0.2845603544305645,0.6213376090696061,0.19045831793073514,0.8083333333333332,1.0846594236556335,1
R_3rGhvjDW2CG2R21,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.25,6.0,0.0,1,4,0.2733721140105426,0.5684239228866801,0.11516815090776529,0.9666666666666666,1.0921070189116886,0.2701897239975697,0.5632133071031484,0.10359275509828773,0.9833333333333332,1.144223573266116,0
R_3reQi5x4puiykKD,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.05,nan,nan,0,4,0.26218304097644396,0.5953346669176058,0.1197007488704939,0.95,0.9332347181288579,0.2670816474956482,0.595334666917606,0.12949796190890245,0.95,0.9332347181288583,1
R_3reQi5x4puiykKD,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.3442868958207743,0.49927928449745396,0.18785307613900262,0.95,1.1138794488023138,0.34428689582077443,0.4992792844974539,0.18785307613900262,0.95,1.1138794488023138,0
R_3xUW7Cucw0ObIv8,diabetes,none,20,feature contribution,observed per instance,0.0,0.0,0.1,nan,nan,0,4,0.16899453716539156,0.7542687428786599,0.09225781720944289,0.8208333333333332,0.8936950252548502,0.16899453716539153,0.7542687428786599,0.09225781720944289,0.8208333333333332,0.8936950252548502,1
R_3xUW7Cucw0ObIv8,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,2.0,0.0,0,4,0.19328872652464738,0.726559146880251,0.11313659992954586,0.8375,1.2162489199667894,0.1955743018455546,0.7167123699168952,0.1078609736080044,0.9208333333333332,1.267041556051977,0
R_51abDb165ZTUFHf,diabetes,none,20,feature contribution,observed per instance,0.0,1.0,0.3,nan,nan,0,4,0.27937735134443276,0.672833900617948,0.23158860330681336,0.6916666666666667,0.6580797669281742,0.2793773513444327,0.6728339006179478,0.23158860330681338,0.6916666666666667,0.658079766928174,1
R_51abDb165ZTUFHf,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.15,0.0,0.0,0,4,0.284465721643033,0.5786536353056866,0.14758507859175263,0.8333333333333333,1.1236447542699755,0.28800358316319097,0.5786536353056866,0.15466080163206866,0.8333333333333333,1.1236447542699755,0
R_57Nbl64Oy88tjvc,diabetes,attribution,20,feature contribution,observed per instance,0.0,0.5,0.15,nan,nan,0,4,0.21896595736063285,0.64333339956725,0.0812653142885158,1.0,0.7484565715797702,0.22202047079708112,0.64333339956725,0.08737434116141231,1.0,0.7484565715797702,1
R_57Nbl64Oy88tjvc,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.0,2.0,0.0,0,4,0.28807711414730097,0.5743847803985449,0.15053900869314685,0.925,0.813179502205647,0.2904864352342867,0.5725765858841702,0.15354945635274347,0.925,0.8318746902584373,0
R_57znUipobCg8cQp,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.15,nan,nan,0,4,0.1757892415439118,0.7999800257903712,0.15155850887819483,0.9083333333333332,0.6395613029876048,0.1757892415439118,0.7999800257903711,0.15155850887819483,0.9083333333333332,0.6395613029876047,1
R_57znUipobCg8cQp,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.25,2.0,1.0,0,4,0.17521776531533495,0.8002094707795523,0.15064500141022222,0.9083333333333332,0.6418548738556593,0.1773106701067995,0.7997785379416722,0.15439987815527118,0.9083333333333332,0.6490750235512788,0
R_5HLRfLxkWz9Ek7L,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.2,nan,nan,0,4,0.15357720688768697,0.7849686715003961,0.09212308527576982,1.0,0.661020095612936,0.15611156217081362,0.7849686715003958,0.09719179584202314,1.0,0.661020095612936,1
R_5HLRfLxkWz9Ek7L,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,0,4,0.18670015720351502,0.7611944518936382,0.13459476630066822,0.8791666666666667,0.8155935357031426,0.186700157203515,0.7611944518936382,0.13459476630066822,0.8791666666666667,0.8155935357031427,0
R_5Hc1H0M4IGqJjKm,diabetes,attribution,20,feature contribution,observed per instance,0.5,1.0,0.15,nan,nan,1,4,0.287060977011823,0.5993841826336497,0.17350613665729583,0.8208333333333332,1.4652495463316595,0.29992767184692665,0.581760949345893,0.18161629303974627,0.7625,1.5458026994315315,1
R_5Hc1H0M4IGqJjKm,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.0,0.0,0.0,1,4,0.3096198256493929,0.5652016262045888,0.18444127750337458,0.9041666666666666,1.7673049025559706,0.30961982564939283,0.5652016262045888,0.18444127750337458,0.9041666666666666,1.7673049025559706,0
R_5JI5iMSG9mxddrR,diabetes,attribution,20,feature contribution,observed per instance,1.0,0.0,0.15,nan,nan,0,4,0.28148862103936073,0.7010918903677732,0.2640691324464949,0.5916666666666666,1.1793918599758964,0.2814886210393608,0.7010918903677733,0.2640691324464948,0.5916666666666666,1.1793918599758966,0
R_5JI5iMSG9mxddrR,diabetes,attribution,20,weighted examples,observed per instance,1.0,nan,0.0,6.0,0.0,0,4,0.24590087686869536,0.6938683783972615,0.1856701321346524,0.7833333333333333,1.1604170194537666,0.24965087686869536,0.6938683783972616,0.1931701321346524,0.7833333333333333,1.1604170194537664,1
R_5L8tiHkCKWHeDLz,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,0.5,0.05,nan,nan,0,4,0.18848386672476894,0.7237911693636343,0.10075890281317205,0.85,0.49717244254839643,0.19106984839552213,0.7237911693636342,0.10593086615467846,0.85,0.49717244254839665,1
R_5L8tiHkCKWHeDLz,diabetes,counterfactual,20,weighted examples,observed per instance,1.0,nan,0.05,2.0,1.0,0,4,0.21523582238095193,0.7142693322362637,0.14474097699816751,0.85,0.5692687052803083,0.23223960151991277,0.7024225204440505,0.16690172348387605,0.85,0.588595688259449,0
R_5PBL0xxR4iWRFTu,diabetes,counterfactual,20,feature contribution,observed per instance,1.0,1.0,0.05,nan,nan,1,4,0.1659629539586125,0.7744684289231205,0.10639433684034554,0.95,1.0444864841879467,0.1659629539586125,0.7744684289231205,0.10639433684034552,0.95,1.0444864841879464,1
R_5PBL0xxR4iWRFTu,diabetes,counterfactual,20,weighted examples,observed per instance,0.0,nan,0.05,2.0,1.0,1,4,0.1606462245995622,0.773666391879207,0.09495884107833133,0.95,1.033327442447908,0.1664880979194308,0.7680100658563728,0.10098626169523442,0.95,1.0602591032893254,0
R_5QQwLvXuHGLxlYO,diabetes,none,20,feature contribution,observed per instance,0.0,0.5,0.25,nan,nan,0,4,0.1838062773601569,0.7211598932829655,0.0887724480032792,1.0,0.8263350301893191,0.18660590127828136,0.7211598932829655,0.09437169583952813,1.0,0.8263350301893192,1
R_5QQwLvXuHGLxlYO,diabetes,none,20,weighted examples,observed per instance,0.0,nan,0.05,6.0,0.0,0,4,0.22440798294554298,0.6322858272471144,0.08110179313820046,1.0,1.100465209000494,0.22990886200914207,0.6309576302106942,0.09077535422897834,1.0,1.1211555053212268,0
R_5aQRnRSrFLPN4kN,diabetes,attribution,20,feature contribution,observed per instance,1.0,1.0,0.0,nan,nan,1,4,0.3365198872889968,0.6246217011816653,0.297661475759659,0.4583333333333333,1.4732728179085062,0.33584634304569966,0.6176886996619458,0.28938138575334527,0.4708333333333333,1.5160121415963221,1
R_5aQRnRSrFLPN4kN,diabetes,attribution,20,weighted examples,observed per instance,0.0,nan,0.0,6.0,0.0,1,4,0.38206493855085427,0.5641384574623253,0.3282683345640339,0.6375,1.8700037082694592,0.38206493855085427,0.5641384574623254,0.328268334564034,0.6375,1.8700037082694592,0
