participant,xai,selected model family,observed validity,model validity,baseline validity,observed boundary distance,model boundary distance,baseline boundary distance,observed plausibility,model plausibility,baseline plausibility,model selection F1,baseline selection F1,model amount MAE,baseline amount MAE
R_2wBl4JWxZiMKmQY,counterfactual,feature contribution,0.6,0.15,0.3,0.13584498926500002,0.12159788242602518,0.1046788407362639,0.9102055396600001,0.9277885242592246,0.9218968970375864,0.6608333333333333,0.5952380952380951,0.2656080675058464,0.27262316238593554
R_32YjhrSOKPpEfJf,attribution,feature contribution,0.25,0.2,0.25,0.13127240862499998,0.11273282477972824,0.10698634474757016,0.9274348635499999,0.9217345903377065,0.9244088899424394,0.4691666666666666,0.38249999999999995,0.1238047729616775,0.13616409895759113
R_3B7CxgDgEzWSvrb,counterfactual,weighted examples,0.45,0.2,0.35,0.08756592559000001,0.10797296500172551,0.11632148176151251,0.9364004028450001,0.9292368767879664,0.9284294080942642,0.4958333333333333,0.4458333333333333,0.16927924353280321,0.1781751677604213
R_3MQqO18M5uhCVdT,counterfactual,feature contribution,0.3,0.25,0.35,0.122058581885,0.11905026216536038,0.11865676612936674,0.9267394982299999,0.9283269633404115,0.9262833096615746,0.675,0.4,0.13537240429402594,0.14242518105340582
R_3OZ3Mh6AZsBTXup,counterfactual,weighted examples,0.5,0.25,0.3,0.159171902065,0.10679773008673195,0.11307884665035735,0.92301433674,0.9362448190273872,0.9231865814051068,0.5083333333333333,0.15833333333333333,0.2015565441317312,0.214585104185
R_3RUOoa2ojaPNwoF,attribution,weighted examples,0.5,0.6,0.25,0.215838073615,0.10429409897454392,0.1276516238156588,0.9301672225650002,0.9454083575208015,0.9194899488590884,0.6416666666666666,0.6649999999999999,0.26512622481694287,0.3452145316387524
R_3cKOdqKWicLMTCx,counterfactual,weighted examples,0.45,0.4,0.3,0.08416130995,0.10809877902825316,0.11408982867662221,0.9459006836399999,0.9439928553088578,0.9253125498570839,0.8083333333333332,0.5916666666666666,0.1351799994202624,0.17463343824735222
R_3dnediamQ206QWR,attribution,feature contribution,0.15,0.25,0.3,0.16470377489000004,0.11156772484675226,0.13562542005951053,0.916995870945,0.9223138479821748,0.92542900868918,0.7152777777777778,0.48194444444444445,0.20731512255158976,0.21882865396496415
R_3dxYvw8kqqJYsmL,none,feature contribution,0.45,0.2,0.25,0.10767196964999999,0.12004157647689337,0.13629865717364797,0.929303984365,0.9271107278513341,0.9266011015786321,0.8416666666666666,0.6416666666666666,0.09891130984878493,0.10710159735808795
R_3irfiuQFDddFGoo,counterfactual,weighted examples,0.55,0.35,0.2,0.14181647292000002,0.10657565672106788,0.09500318195016656,0.932312926475,0.943633113286802,0.9240440409964433,0.7666666666666666,0.6566666666666665,0.2533480250352591,0.2353990364715734
R_3oGxWzvzrZAX87o,counterfactual,feature contribution,0.45,0.2,0.2,0.09394821770000002,0.10804143695312445,0.13295191586188018,0.9276159543850001,0.9267115750360183,0.9303030195668155,0.6041666666666666,0.47750000000000004,0.20415735661299034,0.21447683245408786
R_3obc8KIkN9SGl0t,attribution,weighted examples,0.55,0.3,0.25,0.19183562973,0.08147965100358735,0.1298786322779674,0.91192561536,0.937475643417837,0.9244955002391988,0.4416666666666666,0.4416666666666666,0.2421874458778957,0.23640701086227028
R_3u3Hr91OxYQ7j2h,none,weighted examples,0.45,0.35,0.25,0.14386300881,0.0849955900252359,0.12902052651119242,0.9350228054449999,0.9337811933651274,0.9285241586919109,0.425,0.35,0.16067539802168956,0.1936841592203829
R_502VKXs2OjYkMTQ,none,weighted examples,0.5,0.65,0.4,0.19986165640500003,0.10849521074102456,0.12941909019593295,0.9166330688000001,0.9456193202144723,0.9267808963665252,0.6583333333333333,0.6483333333333332,0.3098294105596445,0.3597625179787918
R_52EcHdeCk0DGfHz,counterfactual,weighted examples,0.35,0.15,0.35,0.096985512315,0.12274586786492894,0.12914787700583322,0.9323608144050001,0.929879985938521,0.9262529825859487,0.4999999999999999,0.44833333333333336,0.0782754116589322,0.10134453364687904
R_55tIhWzHfQVe7nG,counterfactual,feature contribution,0.55,0.6,0.45,0.128191402205,0.09847365565287775,0.1181186669779383,0.930951959445,0.9290887236456159,0.9290257327269412,0.8833333333333332,0.5166666666666666,0.12815848950015413,0.17469437157711956
R_5BSmZ6kOyBcgvGO,counterfactual,weighted examples,0.25,0.25,0.2,0.13896772268500002,0.10848281229838164,0.1397377315097598,0.92781226105,0.9346245747371281,0.921896113459236,0.6,0.4,0.09396309355108542,0.09727242452093057
R_5JCJbR8oOgkjlA0,attribution,feature contribution,0.95,0.3,0.3,0.151215574685,0.06970446114953284,0.1172919434924898,0.9212736612800001,0.9357378506034895,0.9237654458891837,0.7678571428571428,0.6410714285714285,0.2653732597458373,0.24506411995140964
R_5OT6oo9gKTZyooh,none,feature contribution,0.7,0.6,0.25,0.19783715395499996,0.19639079338379634,0.12410543234971991,0.9130533564300001,0.9014437670936915,0.925456066344813,1.0,0.5416666666666666,0.28040384337398344,0.3031208048
R_5PStwIHXgmZwa9J,none,feature contribution,0.8,0.4,0.4,0.10026047370999999,0.14338023834641586,0.10742378278709748,0.932640221435,0.9234983574800308,0.9257433958676801,0.8440476190476189,0.7923809523809523,0.19028585847072327,0.20483212331615674
R_5QGGlhAzSiOVePL,attribution,weighted examples,0.55,0.35,0.2,0.11241491049499999,0.09066263893712596,0.11728467995182232,0.9327415838799998,0.9389527528868605,0.9259702363046006,0.6,0.475,0.17755704854023258,0.23424026883350463
R_5a6S4hSnNMThfbj,counterfactual,weighted examples,0.5,0.5,0.25,0.08284651105500002,0.0902652122472312,0.13908079194745926,0.9302063278950001,0.9176266143350867,0.9241202497398138,0.75,0.275,0.14991325019380994,0.21860063308749997
R_5b2MBKWDgnmpE3f,none,feature contribution,0.5,0.45,0.3,0.19746350375500002,0.14742531554841298,0.135010050596641,0.9273001492949999,0.9137577139876065,0.9234375047491483,0.6900000000000001,0.665,0.3311608680195687,0.3799776942358844
R_5c5e5Qjh8Qn7MSE,attribution,feature contribution,0.7,0.4,0.4,0.13053496568499998,0.11659084765458468,0.11505042264072969,0.9185495558050001,0.9268103028052103,0.9220025941100907,0.8595238095238095,0.5761904761904761,0.3118456840293344,0.3018723658061594
R_5j6OULl151xAZzJ,attribution,feature contribution,0.35,0.3,0.2,0.144517452445,0.11299181950333011,0.12609576270443798,0.9296275958300001,0.9237421486716993,0.9240550193119701,0.625,0.3,0.0969709285492251,0.14652225647538286
R_5kGrfdcFvaTZHov,attribution,feature contribution,0.6,0.55,0.35,0.14967091348,0.0851563341662865,0.13968830798560888,0.93465367438,0.9388492850759331,0.9173026204983584,0.7499999999999999,0.5075000000000001,0.22295627371591387,0.25033300494925814
R_5q8M1s4dsLm5hDO,counterfactual,feature contribution,0.15,0.15,0.15,0.102829007905,0.10132451016277702,0.11395374139390298,0.9217349215999999,0.9214402802604719,0.9207875941313993,0.95,0.15,0.1034173083741606,0.13582740662173914
R_5z49Mi5OsGgJ6pz,attribution,weighted examples,0.55,0.85,0.35,0.11593726529000001,0.07644001980317669,0.11002207088067853,0.9258866989950001,0.9425086334694956,0.9225063615709944,0.7916666666666666,0.575,0.15598906268359902,0.1937503290859416
R_61yCzDc7u4eGlCE,attribution,feature contribution,0.25,0.2,0.35,0.17924825411000003,0.11493977040442194,0.11788467702456677,0.9070533198400001,0.923772882436646,0.9261545762842156,0.6483333333333332,0.6316666666666666,0.2085950632528116,0.1883003697775
R_65WwRg0sK4kNw2R,counterfactual,weighted examples,0.35,0.45,0.25,0.14008052958,0.09677646753488812,0.1281061533756253,0.9281021861,0.9350427489495502,0.9224867551724346,0.4,0.25,0.2503430776842787,0.2767488444452063
R_68NgnXPoKxlotUv,none,weighted examples,0.05,0.3,0.35,0.143631833595,0.09598356361641598,0.11623575425387592,0.921167319175,0.9310658024059132,0.9242366948997525,0.1,0.35,0.11946544441975679,0.0706800679825
R_6HeiSeEgD99blZN,none,feature contribution,0.7,0.35,0.35,0.1309592576,0.07159695575732813,0.1205157135460396,0.9260138867999999,0.9366241414734751,0.9187498342410432,0.6541666666666666,0.6091666666666666,0.2439884053656553,0.23826301197520286
R_6K9YdDlQJKgwWKY,none,feature contribution,0.75,0.5,0.25,0.156414864035,0.13354374604820932,0.12931124687306958,0.9167057529799999,0.9110590845849972,0.923611755204389,0.775,0.38333333333333336,0.2806057549182021,0.41067983497749994
R_6TYmqMi3LX02S5Z,none,weighted examples,0.5,0.35,0.35,0.131284857615,0.08316034737785064,0.13667546433540387,0.9353626170750001,0.9381632749728445,0.9255216711513145,0.5416666666666666,0.37249999999999994,0.17090481054527742,0.20494727171021174
R_6a9mdRXLV87vbOx,counterfactual,weighted examples,0.3,0.4,0.3,0.13889674320499998,0.08908560079804517,0.10506107586176747,0.9326532022,0.9458928013832747,0.9234618858171688,0.5583333333333333,0.425,0.1343950180263485,0.17651263716808796
R_6wzdpKed5aB6LmF,attribution,feature contribution,0.3,0.25,0.35,0.13762966443,0.105724519662634,0.11901774208756984,0.9230730732250001,0.9219909431897924,0.9229297372685524,0.7983333333333333,0.4999999999999999,0.08553310440030835,0.09189997562394886
R_71lEhxrOvvuiitz,none,feature contribution,0.45,0.5,0.15,0.12219292083499997,0.11828445219862722,0.12466259340486963,0.9174259087300001,0.9159407630394659,0.9304785846478725,1.0,0.15,0.23365144578234673,0.26504208470499996
R_72Hr6eK5zyGxfZ7,attribution,feature contribution,0.5,0.5,0.4,0.16504606632000002,0.15058339013962868,0.13777318051285561,0.905833673365,0.9157595321273628,0.9267798123384046,0.9833333333333332,0.39166666666666666,0.17124349380309464,0.19862009890788287
R_7JSvmv0y2BQADx7,none,feature contribution,0.45,0.25,0.3,0.152906813335,0.10158383583654267,0.09187206594234981,0.9259359774350001,0.9259950874437806,0.9224826421583199,0.8089285714285716,0.6964285714285714,0.1509571697442217,0.1571106302108187
R_7K1IOxgbgv3UNdW,counterfactual,feature contribution,0.5,0.35,0.4,0.27269359114,0.1696293998573992,0.11414244386230236,0.93130337404,0.9219309790765587,0.9252266589393153,0.89,0.8716666666666668,0.2919631039873654,0.34957224055490677
R_7Kx6vyCCC3HUpXY,attribution,weighted examples,0.3,0.3,0.35,0.169542905215,0.08661312692735966,0.13123282660764113,0.9342270957799998,0.9370006029241991,0.9231590352331132,0.5999999999999999,0.33333333333333337,0.17529213239334637,0.1751441002239439
R_7NDOTmN9jbLS3Fq,attribution,feature contribution,0.7,0.5,0.2,0.18034958514,0.1603595970759211,0.1107587718424771,0.911475466035,0.9073216445475036,0.9229599964368382,0.8733333333333334,0.49833333333333324,0.31526483958902757,0.33960680447365943
R_7PPDn8J2Th04jwl,counterfactual,feature contribution,0.8,0.6,0.35,0.15502250067499998,0.1663829567430891,0.11202482680973436,0.9100199197150001,0.9103167389652121,0.9291978402074041,0.85,0.5333333333333333,0.310064056607561,0.3286718104016667
R_7PppHnKsPWMhHua,counterfactual,feature contribution,0.85,0.65,0.35,0.12682005807,0.09996293341355474,0.11491570957349626,0.9239208056799999,0.937336691357862,0.9189240124604663,0.8541666666666666,0.5725,0.2449846030731328,0.2830443749431303
R_7e3EuifgObjNXJm,none,feature contribution,0.45,0.25,0.3,0.106001358095,0.11112579135507059,0.11128942808604689,0.9286223564149999,0.9247551524660164,0.9256983330347619,0.65,0.3083333333333333,0.15842201000803272,0.15854514354812418
R_7iwBjEgQvGNOP4l,none,weighted examples,0.75,0.35,0.25,0.10512553446499998,0.06752672984460714,0.10395970840602713,0.9405847536999999,0.9351664847410974,0.919146912792902,0.5375,0.4878571428571428,0.17395495362742291,0.20143820124158252
R_7kHwLYEKytNtFsY,counterfactual,weighted examples,0.3,0.4,0.2,0.14457240549,0.09713004813208428,0.13601511819197132,0.94207595549,0.9494925472874556,0.9192658820438725,0.5666666666666667,0.3483333333333333,0.1255724611127638,0.16126226717583333
R_7zCOYjoB3D2Mqot,counterfactual,weighted examples,0.5,0.55,0.25,0.23297656446499998,0.057830663657817395,0.11727719169542217,0.9381970681550001,0.9438580045695287,0.9299374083369203,0.5583333333333333,0.4583333333333333,0.24435876200681172,0.2787044419907038
