participant,xai,model family,eta,alpha,rho,lambda,beta,k,in-sample combined loss,in-sample selection F1,in-sample amount MAE,in-sample direction accuracy,5-fold CV combined loss,5-fold CV selection F1,5-fold CV amount MAE,5-fold CV direction accuracy,selected family by CV
R_3pV2gsUjgx4OTvP,none,weighted examples,0.0,nan,0.5,0.0,0.0,observed per instance,0.3769123047554695,0.4333333333333333,0.18715794284427237,0.8846153846153846,0.4047058438031286,0.3833333333333333,0.1927450209395905,0.7833333333333333,1
R_4hswOSBSOzoVrXW,none,feature contribution,0.0,1.0,0.5,nan,nan,observed per instance,0.30182426569567256,0.5166666666666666,0.12031519805801179,0.7692307692307693,0.30182426569567256,0.5166666666666666,0.12031519805801176,0.7916666666666666,1
R_4hswOSBSOzoVrXW,none,weighted examples,0.0,nan,0.5,2.0,0.0,observed per instance,0.384048627757932,0.39999999999999997,0.16809725551586419,0.8636363636363636,0.38600741479442247,0.4,0.17201482958884498,0.8666666666666666,0
R_52iijMB6msPiDJ9,none,feature contribution,0.0,0.0,0.5,nan,nan,observed per instance,0.53640730406234,0.175,0.24781460812468045,1.0,0.5364073040623403,0.175,0.24781460812468037,1.0,0
R_52iijMB6msPiDJ9,none,weighted examples,0.0,nan,0.5,6.0,0.0,observed per instance,0.3807770019330593,0.475,0.23655400386611863,1.0,0.4079654450523475,0.425,0.2409308901046951,1.0,1
R_52rQ67BFIWPT81l,counterfactual,feature contribution,0.0,0.5,0.5,nan,nan,observed per instance,0.2980672996238898,0.6069444444444445,0.20307904369222407,0.7351851851851853,0.33055170531412487,0.5444444444444445,0.20554785507269413,0.7044444444444444,0
R_52rQ67BFIWPT81l,counterfactual,weighted examples,1.0,nan,1.0,6.0,0.5,observed per instance,0.25679981098559546,0.6791666666666666,0.19276628863785755,0.7037037037037037,0.2747683998328127,0.6541666666666666,0.20370346633229217,0.6983333333333333,1
R_53dL26t7L3fRn0z,attribution,feature contribution,0.5,1.0,1.0,nan,nan,observed per instance,0.3523925664082473,0.6378571428571428,0.3426422756736376,0.8716666666666667,0.35379552484689814,0.6378571428571429,0.3454481925509392,0.8716666666666667,1
R_53dL26t7L3fRn0z,attribution,weighted examples,0.0,nan,0.5,6.0,0.0,observed per instance,0.4054769556040115,0.5416666666666666,0.3526205778746897,0.648888888888889,0.40547695560401154,0.5416666666666666,0.3526205778746897,0.6699999999999999,0
R_5IirXiajB47ue8i,none,feature contribution,0.0,0.0,1.0,nan,nan,observed per instance,0.4385775955082106,0.3875,0.2646551910164212,0.9545454545454546,0.44460335757217273,0.3874999999999999,0.2767067151443453,0.95,0
