participant,domain,xai,direction,case,instance,valid,margin_pp,change_l1,n_changed
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-50.0000,0.180275,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-50.0000,0.160325,1
R_5rPkDbCA9RBiFjd,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,0.160896,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,1,87,1,50.0000,1.690025,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,2,203,0,-49.3729,1.000000,1
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,3,106,0,-50.0000,2.000000,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,4,143,1,50.0000,1.545112,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Above Limit to Below Limit,5,300,1,49.7383,1.124938,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,1,98,1,49.9623,0.681423,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,2,261,0,-50.0000,0.970017,2
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,3,4,0,-49.9992,1.000000,1
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,4,209,0,-50.0000,0.643636,1
R_6DZbalJ8TCZtARb,safelimit,counterfactual,Below Limit to Above Limit,5,245,0,-50.0000,1.494545,2
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,1,2447,1,22.5004,2.688163,5
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,2,1751,1,33.6086,2.396080,5
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,3,553,0,-1.9422,2.004261,5
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,4,172,0,-10.6160,1.758788,2
R_3da8jwTxaAuNxsI,housing,none,Expensive to Cheap,5,2728,0,-15.3479,1.628788,2
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,1,3174,1,49.4991,2.221705,3
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,2,2275,1,35.4649,0.837595,2
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,3,675,0,-16.9287,2.180777,5
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,4,102,0,-16.4951,0.666667,1
R_3da8jwTxaAuNxsI,housing,none,Cheap to Expensive,5,577,0,-16.8392,0.666667,1
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,1,2447,1,45.4659,2.262424,4
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,2,1751,1,22.3003,1.894318,4
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,3,553,1,8.3016,2.043182,5
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,4,172,1,21.2259,1.588788,2
R_5aFAlypirbiSy54,housing,counterfactual,Expensive to Cheap,5,2728,0,-12.7019,1.578788,2
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,1,3174,1,49.6322,2.049545,3
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,2,2275,0,-44.5664,1.632235,4
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,3,675,1,35.3633,2.497159,5
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,4,102,0,-43.0335,0.786061,3
R_5aFAlypirbiSy54,housing,counterfactual,Cheap to Expensive,5,577,1,46.5187,1.810417,4
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,1,2447,0,-20.2086,0.328068,2
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,2,1751,1,11.8655,0.610227,2
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,3,553,1,29.7197,1.052652,3
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,4,172,1,36.8594,1.333333,1
R_5g60ppMS88e6WxS,housing,none,Expensive to Cheap,5,2728,0,-14.8272,1.333333,1
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,1,3174,1,49.0576,1.480644,3
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,2,2275,1,41.6874,0.338352,1
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,3,675,1,41.8247,2.342898,5
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,4,102,1,31.7292,0.698977,3
R_5g60ppMS88e6WxS,housing,none,Cheap to Expensive,5,577,1,40.6864,0.559091,2
