participant,xai,model family,k,eta,alpha,rho,lambda,beta,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_1fpKwE5dFxzF6vi,attribution,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,0,0.3357514540959918,0.4585166976772709,0.13001960586925437,0.5827216393366795,1.5328021600813933,0.3357514540959918,0.4585166976772709,0.13001960586925437,0.5869188907031789,1.5328021600813933,1
R_1fpKwE5dFxzF6vi,attribution,weighted examples,observed per instance,0.0,nan,0.5,2.0,0.0,0,0.3827060595329987,0.38556838565221596,0.15098050471821334,0.6566629447786112,1.8433675262043572,0.3898180585330082,0.3697292462879989,0.14936536335401523,0.6406122527258967,1.9476136553453387,0
R_1iD8KQ66I3AExYs,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,1,0.5154660128566741,0.2027933637883815,0.2337253895017298,0.41568277441820056,2.613458978129608,0.5154660128566741,0.2027933637883815,0.2337253895017298,0.41018062116406495,2.613458978129608,0
R_1iD8KQ66I3AExYs,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,0.47822226580993377,0.30339361189151126,0.25983814351137874,0.8475790692540283,2.1060195392433494,0.47946750439053576,0.29915982397446234,0.2580948327555337,0.8375752475130156,2.1296144422031658,1
R_1tEUS0XkXyE4GbH,none,feature contribution,observed per instance,0.0,0.0,0.5,nan,nan,0,0.32902875515118374,0.46182291378616724,0.11988042408853464,0.5,1.8014871835128043,0.33000864120322965,0.4598163655962808,0.11983364800273996,0.5,1.8227835409218702,0
R_1tEUS0XkXyE4GbH,none,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,0,0.29469932651543435,0.5044480572016649,0.09384671023253341,0.8018748895797309,1.4417951599860415,0.2946993265154344,0.5044480572016647,0.09384671023253341,0.8018748895797309,1.4417951599860412,1
R_2wBl4JWxZiMKmQY,counterfactual,feature contribution,observed per instance,0.0,0.5,0.5,nan,nan,1,0.3138138649881689,0.6336322416013751,0.2612599715777128,0.7026988897386965,1.8455367754262806,0.3271328645606153,0.6057880327733969,0.2600537618946275,0.6680603775288546,2.051607848042191,1
R_2wBl4JWxZiMKmQY,counterfactual,weighted examples,observed per instance,0.0,nan,1.0,2.0,0.5,1,0.3080071119080086,0.6141520395044192,0.23016626332043635,0.8273158039919524,2.04707278383725,0.32608430359938356,0.587510528008744,0.23967913520751144,0.7420137669362245,2.277142508573639,0
R_32YjhrSOKPpEfJf,attribution,feature contribution,observed per instance,1.0,1.0,0.5,nan,nan,1,0.36036203314602583,0.4070838188376995,0.12780788512975114,0.38965646800131415,2.8711138690884903,0.3603620331460258,0.4070838188376996,0.12780788512975114,0.38965646800131415,2.8711138690884903,1
R_32YjhrSOKPpEfJf,attribution,weighted examples,observed per instance,0.0,nan,0.5,0.0,0.0,1,0.38712119534932166,0.378852677816769,0.15309506851541227,0.8093573932456917,3.3383489103545996,0.38841073418145877,0.37167134717764727,0.14849281554056487,0.7801411621846994,3.407123307194117,0
