target label,instance id,original label,mean_boundary,median_boundary,mean_orig_boundary,mean_improvement,success_rate,mean_proximity,mean_n_features_changed,move_toward_target_rate,mean_helpful_shap,glucose_changed,bp_changed,insulin_changed,bmi_changed,age_changed,glucose_signed,bp_signed,insulin_signed,bmi_signed,age_signed
No Diabetes,160200,Diabetes,0.09420452673149952,0.070352003463,0.0980127823706,0.003808255639100485,0.6451612903225806,0.4849710898601,2.0806451612903225,0.9516129032258065,0.6373443277122228,0.7741935483870968,0.5161290322580645,0.27419354838709675,0.45161290322580644,0.06451612903225806,-0.21296027118495323,-0.08625525946702742,0.014002974883785484,-0.05837585766217742,0.0017436791630322573
No Diabetes,160211,Diabetes,0.10175278793527903,0.0775711113584,0.0747170723186,-0.02703571561667903,0.532258064516129,0.6174055415382468,2.274193548387097,0.8548387096774194,0.5108000218229037,0.6612903225806451,0.6451612903225806,0.2903225806451613,0.6290322580645161,0.04838709677419355,-0.15564063605595,-0.17636746143058546,0.013035738518877418,-0.17727288382899192,0.0008718395815161297
No Diabetes,160213,Diabetes,0.10625377273805355,0.0890795951385,0.0929170929375,-0.013336679800553546,0.6290322580645161,0.5867942901271774,1.8870967741935485,0.8225806451612904,0.5931053268032603,0.2903225806451613,0.8064516129032258,0.24193548387096775,0.5161290322580645,0.03225806451612903,-0.009324725331973387,-0.33800841514725805,0.01669447304908871,-0.09576045282736775,0.0021795989537903232
No Diabetes,160214,Diabetes,0.1124680074911821,0.0909241077131,0.0501717968156,-0.062296210675582095,0.7741935483870968,0.32073961341932256,1.8548387096774193,0.9193548387096774,0.7460122762365475,0.27419354838709675,0.5806451612903226,0.4838709677419355,0.3709677419354839,0.14516129032258066,0.004662362666020161,-0.12798036465639515,-0.02880421911960258,-0.04119687480176452,-0.02920662598079516
No Diabetes,160210,Diabetes,0.11871738208600162,0.0895380310355,0.0664632820126,-0.05225410007340161,0.5,0.5336450958086919,2.064516129032258,0.7258064516129032,0.5140013165043279,0.16129032258064516,0.46774193548387094,0.532258064516129,0.8225806451612904,0.08064516129032258,0.03798454289649677,-0.09572230014021613,-0.0476327322365629,-0.24586187675063548,-0.002179598953793548
No Diabetes,160202,Diabetes,0.12355406047587386,0.1103595993615,0.0569726484831,-0.06658141199277386,0.7741935483870968,0.3883877469002315,1.903225806451613,0.9193548387096774,0.7321619544323077,0.532258064516129,0.5161290322580645,0.20967741935483872,0.46774193548387094,0.1774193548387097,-0.054988453795981454,-0.07643758765773387,0.03379074167207096,-0.041748814908169354,-0.030078465562308063
No Diabetes,160212,Diabetes,0.12586769939890113,0.08538238439145,0.0372518432215,-0.08861585617740114,0.6612903225806451,0.5420572578824726,2.129032258064516,0.8709677419354839,0.6303685932656358,0.3225806451612903,0.4838709677419355,0.4838709677419355,0.6290322580645161,0.20967741935483872,0.024957353094417743,-0.08730715287514193,-0.0481955121297,-0.1634694413979387,-0.07454228421967742
No Diabetes,160204,Diabetes,0.1357575648821392,0.11674538917300001,0.0395820491408,-0.0961755157413392,0.8225806451612904,0.34581756865511126,1.9838709677419355,0.9354838709677419,0.7921786336000416,0.5806451612903226,0.5806451612903226,0.27419354838709675,0.3870967741935484,0.16129032258064516,-0.0826883731645758,-0.08976157082749193,0.004955922227278065,-0.02830538661648226,-0.04141238012203387
No Diabetes,160201,Diabetes,0.13646718952061582,0.1135632331575,0.281142117469,0.14467492794838416,0.532258064516129,0.7432890174323548,2.225806451612903,0.9032258064516129,0.4853208519851886,0.7580645161290323,0.41935483870967744,0.45161290322580644,0.5483870967741935,0.04838709677419355,-0.4056255519414371,-0.04803646563815322,-0.0400824346150871,-0.13252404172964838,0.010026155187451612
No Diabetes,160203,Diabetes,0.13763075618697299,0.136089702936,0.0605519329641,-0.07707882322287299,0.8548387096774194,0.4761929917333064,1.8709677419354838,0.9354838709677419,0.7827443581783018,0.7741935483870968,0.45161290322580644,0.3064516129032258,0.20967741935483872,0.12903225806451613,-0.27466801235248384,-0.06591865357645323,0.0006652244600096777,0.017441878381990322,-0.02877070619005
