domain,training explanation condition,test case,instance id,original label,target label,strategy,attribute selection method,change amount method,maximum attributes allowed,actual attributes changed,changed attributes,sparsity,proximity,model-consistent proximity,plausibility,plausibility (subset),original target confidence,target confidence edited,target confidence gain,valid counterfactual (0/1),actionable (0/1),valid and actionable (0/1),boundary distance original,boundary distance edited,boundary distance change (edited - original)
diabetes,counterfactual,12,130301,No Diabetes,Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,2,2,glucose / blood_pressure,0.6,0.4573830241825185,0.4573830241825185,0.9301043198227558,0.8915201726555055,0.0624685872212738,0.1899567875013306,0.1274882002800568,0,1,0,0.06360475670848165,0.03287717810213531,-0.03072757860634634
diabetes,counterfactual,12,130301,No Diabetes,Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,3,3,glucose / blood_pressure / bmi,0.4,0.5943597030248897,0.5943597030248897,0.9417116939253958,0.8894128391348537,0.0624685872212738,0.26811759128036017,0.20564900405908637,0,1,0,0.06360475670848165,0.021393025759156137,-0.04221173094932551
diabetes,counterfactual,12,130301,No Diabetes,Diabetes,Similar remembered edit + copied amounts,Similar remembered edit,Remembered edit amount,1,1,insulin,0.8,0.20828177843768006,0.20828177843768006,0.958343644312464,0.8428198737019714,0.0624685872212738,0.14421369408282358,0.08174510686154979,0,1,0,0.06360475670848165,0.029425847309050623,-0.03417890939943102
diabetes,counterfactual,12,130301,No Diabetes,Diabetes,Similar remembered edit + copied amounts,Similar remembered edit,Remembered edit amount,2,2,glucose / insulin,0.6,0.30826477452678047,0.30826477452678047,0.9555829371515335,0.8628164729197916,0.0624685872212738,0.03985265516497105,-0.022615932056302746,0,1,0,0.06360475670848165,0.0715692655632525,0.007964508854770846
diabetes,counterfactual,12,130301,No Diabetes,Diabetes,Similar remembered edit + copied amounts,Similar remembered edit,Remembered edit amount,3,2,glucose / insulin,0.6,0.30826477452678047,0.30826477452678047,0.9555829371515335,0.8628164729197916,0.0624685872212738,0.03985265516497105,-0.022615932056302746,0,1,0,0.06360475670848165,0.0715692655632525,0.007964508854770846
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.4547798089776698,0.4547798089776698,0.9308187086652269,0.8583440944356489,3.065716880357172e-06,0.9612234012471974,0.961220335530317,1,1,1,0.20413527522306554,0.12897437161711547,-0.07516090360595007
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.4547798089776698,0.4547798089776698,0.9308187086652269,0.8583440944356489,3.065716880357172e-06,0.9612234012471974,0.961220335530317,1,1,1,0.20413527522306554,0.12897437161711547,-0.07516090360595007
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Current-case contribution + estimated flip amount,Current-case contribution,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.4547798089776698,0.4547798089776698,0.9308187086652269,0.8583440944356489,3.065716880357172e-06,0.9612234012471974,0.961220335530317,1,1,1,0.20413527522306554,0.12897437161711547,-0.07516090360595007
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,1,1,glucose,0.8,0.4547798089776698,0.4547798089776698,0.9308187086652269,0.8583440944356489,3.065716880357172e-06,0.9612234012471974,0.961220335530317,1,1,1,0.20413527522306554,0.12897437161711547,-0.07516090360595007
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,2,1,glucose,0.8,0.4547798089776698,0.4547798089776698,0.9308187086652269,0.8583440944356489,3.065716880357172e-06,0.9612234012471974,0.961220335530317,1,1,1,0.20413527522306554,0.12897437161711547,-0.07516090360595007
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Global importance + estimated flip amount,Global importance,Estimated amount needed to flip the cognitive model,3,1,glucose,0.8,0.4547798089776698,0.4547798089776698,0.9308187086652269,0.8583440944356489,3.065716880357172e-06,0.9612234012471974,0.961220335530317,1,1,1,0.20413527522306554,0.12897437161711547,-0.07516090360595007
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,1,1,insulin,0.8,0.2010640930462753,0.2010640930462753,0.9597871813907449,0.877095772707168,3.065716880357172e-06,0.9618849701540858,0.9618819044372054,1,1,1,0.20413527522306554,0.04794399416169212,-0.15619128106137342
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,2,2,glucose / insulin,0.6,0.660169687332961,0.660169687332961,0.9638327917945707,0.8791319935480599,3.065716880357172e-06,0.0300681148536579,0.030065049136777544,0,1,0,0.20413527522306554,0.07180786832790262,-0.13232740689516292
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Target-profile mismatch + target centre,Target-profile mismatch,Target-profile centre,3,3,glucose / insulin / bmi,0.4,0.7830974760376532,0.7830974760376532,0.9600271639076731,0.8920255826958736,3.065716880357172e-06,0.26801984200339224,0.2680167762865119,0,1,0,0.20413527522306554,0.019409357228450053,-0.1847259179946155
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,1,1,insulin,0.8,0.18095768374164775,0.18095768374164775,0.9638084632516705,0.8811170545680935,3.065716880357172e-06,0.8275691488618359,0.8275660831449555,1,1,1,0.20413527522306554,0.016028794608351715,-0.18810648061471383
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,2,2,glucose / insulin,0.6,0.3468308345663374,0.3468308345663374,0.965694441416199,0.8531340673783655,3.065716880357172e-06,0.9987572412528439,0.9987541755359636,1,1,1,0.20413527522306554,0.12908667752370243,-0.07504859769936312
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Target-profile mismatch + nearest range edge,Target-profile mismatch,Nearest target-profile range edge,3,3,glucose / insulin / bmi,0.4,0.42673389722438726,0.42673389722438726,0.949713828884589,0.8691146799099755,3.065716880357172e-06,0.9985483787454448,0.9985453130285644,1,1,1,0.20413527522306554,0.14921742154111134,-0.054917853681954204
diabetes,counterfactual,13,130302,No Diabetes,Diabetes,Nearest target example + example values,Nearest target example,Nearest target-example value,1,1,age,0.8,0.24324324324324326,0.24324324324324326,0.9513513513513514,0.9659572399650718,3.065716880357172e-06,0.00013643196072343766,0.0001333662438430805,0,0,0,0.20413527522306554,0.24132329147361822,0.03718801625055268
