participant,direction-qualified cohort (0/1),xai,model family held fixed,parameter,parameter label,null value,full fitted value,full value differs from null (0/1),primary metric,full CV loss,full CV selection_f1,full CV amount_mae,full CV direction_accuracy,full CV selection_nll,ablated CV loss,ablated CV selection_f1,ablated CV amount_mae,ablated CV direction_accuracy,ablated CV selection_nll,delta CV loss (ablated - full),delta CV selection_f1 (ablated - full),delta CV amount_mae (ablated - full),delta CV direction_accuracy (ablated - full),delta CV selection_nll (ablated - full),ablated fitted eta,ablated fitted alpha,ablated fitted rho,ablated fitted lambda,ablated fitted beta,ablated fitted age actionable
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,alpha,Global relevance reliance (α),0.0,1.0,1,selection_nll,0.19342224989964718,0.9039617209035737,0.29080622070286816,0.32499999999999996,0.5756687312409857,0.26418031594993474,0.7653526596167073,0.2937132915165767,0.26249999999999996,0.9514535616962831,0.07075806605028756,-0.13860906128686645,0.0029070708137085566,-0.0625,0.3757848304552974,0.0,0.0,0.0,nan,nan,0
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,eta,Explanation reliance (η),0.0,0.5,1,selection_nll,0.19342224989964718,0.9039617209035737,0.29080622070286816,0.32499999999999996,0.5756687312409857,0.18349014912355377,0.8965168959227154,0.2634971941698231,0.32499999999999996,0.5742539735129832,-0.009932100776093411,-0.0074448249808583,-0.027309026533045067,0.0,-0.0014147577280024803,0.0,1.0,0.0,nan,nan,0
R_1CKtpMfx1ihpfn1,0,counterfactual,feature contribution,rho,Additive change margin (ρ),0.0,0.0,0,amount_mae,0.19342224989964718,0.9039617209035737,0.29080622070286816,0.32499999999999996,0.5756687312409857,0.19342224989964718,0.9039617209035737,0.29080622070286816,0.32499999999999996,0.5756687312409857,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,nan,nan,0
R_1Fh1UMJw1me9wFr,1,none,feature contribution,age actionable,Age-actionability flexibility,1,0.0,1,selection_nll,0.18360115792901244,0.7690191309596595,0.13622144681768444,0.9708333333333334,0.8249363620367701,0.2944921898648965,0.5472370670878914,0.13622144681768444,0.9708333333333334,2.7048000020502725,0.11089103193588407,-0.22178206387176802,0.0,0.0,1.8798636400135025,0.0,0.0,0.1,nan,nan,1
R_1Fh1UMJw1me9wFr,1,none,feature contribution,alpha,Global relevance reliance (α),0.0,0.0,0,selection_nll,0.18360115792901244,0.7690191309596595,0.13622144681768444,0.9708333333333334,0.8249363620367701,0.18360115792901244,0.7690191309596595,0.13622144681768444,0.9708333333333334,0.8249363620367701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,nan,nan,0
R_1Fh1UMJw1me9wFr,1,none,feature contribution,rho,Additive change margin (ρ),0.0,0.1,1,amount_mae,0.18360115792901244,0.7690191309596595,0.13622144681768444,0.9708333333333334,0.8249363620367701,0.18621144953806554,0.7690191309596595,0.14144203003579067,0.9708333333333334,0.8249363620367701,0.0026102916090531003,0.0,0.005220583218106228,0.0,0.0,0.0,0.0,0.0,nan,nan,0
R_1KMTwE2iCLDGMxz,0,none,weighted examples,age actionable,Age-actionability flexibility,1,0.0,1,selection_nll,0.3620557575433903,0.3793724364984089,0.10348395158518948,0.95,1.3392321939929015,0.42285756115035067,0.2575713189842513,0.10328644128495254,0.95,1.8640003711114168,0.06080180360696036,-0.12180111751415762,-0.00019751030023694438,0.0,0.5247681771185153,0.0,nan,0.05,2.0,0.0,1
R_1KMTwE2iCLDGMxz,0,none,weighted examples,lambda,Exemplar locality (λ),0.0,2.0,1,selection_nll,0.3620557575433903,0.3793724364984089,0.10348395158518948,0.95,1.3392321939929015,0.36204794902697407,0.36512383285284133,0.08921973090678946,0.95,1.349772965191992,-7.80851641624114e-06,-0.01424860364556757,-0.014264220678400025,0.0,0.010540771199090582,0.0,nan,0.05,0.0,0.0,0
R_1KMTwE2iCLDGMxz,0,none,weighted examples,rho,Additive change margin (ρ),0.0,0.05,1,amount_mae,0.3620557575433903,0.3793724364984089,0.10348395158518948,0.95,1.3392321939929015,0.36283818411426927,0.3793724364984089,0.1050488047269473,0.95,1.3392321939929015,0.000782426570878958,0.0,0.0015648531417578188,0.0,0.0,0.0,nan,0.0,2.0,0.0,0
R_1QfQiW4jahDRgtB,1,attribution,weighted examples,age actionable,Age-actionability flexibility,1,0.0,1,selection_nll,0.4750542882792672,0.25784582096961844,0.2079543975281528,0.6,1.900660609614733,0.5264514464262573,0.15505150467563827,0.2079543975281528,0.6,2.3968057280926844,0.051397158146990085,-0.10279431629398017,0.0,0.0,0.4961451184779515,1.0,nan,0.05,6.0,0.0,1
R_1QfQiW4jahDRgtB,1,attribution,weighted examples,eta,Explanation reliance (η),0.0,1.0,1,selection_nll,0.4750542882792672,0.25784582096961844,0.2079543975281528,0.6,1.900660609614733,0.49401886287465435,0.24947328791340295,0.2375110136627117,0.55,1.9966356725320054,0.01896457459538714,-0.008372533056215492,0.0295566161345589,-0.04999999999999993,0.09597506291727242,0.0,nan,0.0,6.0,0.0,0
R_1QfQiW4jahDRgtB,1,attribution,weighted examples,lambda,Exemplar locality (λ),0.0,6.0,1,selection_nll,0.4750542882792672,0.25784582096961844,0.2079543975281528,0.6,1.900660609614733,0.5279948263449841,0.2084018093032296,0.26439146199319763,0.55,2.178700942365372,0.05294053806571686,-0.04944401166638884,0.05643706446504482,-0.04999999999999993,0.2780403327506391,0.0,nan,0.0,0.0,0.0,0
R_1QfQiW4jahDRgtB,1,attribution,weighted examples,rho,Additive change margin (ρ),0.0,0.05,1,amount_mae,0.4750542882792672,0.25784582096961844,0.2079543975281528,0.6,1.900660609614733,0.47611346546225786,0.25784582096961844,0.21007275189413419,0.6,1.900660609614733,0.001059177182990645,0.0,0.002118354365981373,0.0,0.0,1.0,nan,0.0,6.0,0.0,0
