cohort,xai,xai label,parameter,parameter label,parameter value,metric,metric label,applicable participants,mean,95% bootstrap CI low,95% bootstrap CI high
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.25,edit L1,Normalized edit distance (L1),16,0.675005310626059,0.6110997599779389,0.7368185572438523
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.3,success,Counterfactual success rate,16,0.625,0.6,0.65625
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.3,target confidence gain,Target-confidence gain,16,0.6113893884021433,0.5848437764639776,0.6428969214673805
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.3,boundary improvement,Boundary-distance improvement,16,-0.07240017669388936,-0.0872749325351881,-0.0586123781694069
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.3,plausibility,Plausibility,16,0.9207312760341406,0.9136823448822314,0.9262273213507787
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.3,actionability,Actionability rate,16,0.9375,0.86875,0.9875
direction-qualified 46,attribution,Feature attribution,rho,Additive change margin (ρ),0.3,edit L1,Normalized edit distance (L1),16,0.7434687321653566,0.6697136566933816,0.815608940007926
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,success,Counterfactual success rate,17,0.5775541795665635,0.49582043343653254,0.6534055727554179
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,target confidence gain,Target-confidence gain,17,0.5694592190277881,0.5048340010909396,0.6288719710874688
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,boundary improvement,Boundary-distance improvement,17,0.011127901763504608,-0.018053066498675586,0.035499996410132295
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,plausibility,Plausibility,17,0.9412145372028029,0.9340207822910906,0.9473375160182026
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,actionability,Actionability rate,17,1.0,1.0,1.0
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,edit L1,Normalized edit distance (L1),17,0.4711592653566266,0.39700988638220813,0.5466137169289997
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,success,Counterfactual success rate,17,0.5735294117647058,0.4735294117647059,0.6676470588235294
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,target confidence gain,Target-confidence gain,17,0.5676253732858435,0.4816740251650567,0.6434107170970356
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,boundary improvement,Boundary-distance improvement,17,0.024746153815000355,-0.000306917808668234,0.046314103453016474
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,plausibility,Plausibility,17,0.9423091166125412,0.9366385050193997,0.9477338589735156
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,actionability,Actionability rate,17,0.7176470588235294,0.5705882352941177,0.8529411764705882
direction-qualified 46,counterfactual,Counterfactual example,age actionable,Age actionable,1.0,edit L1,Normalized edit distance (L1),17,0.47727285365019106,0.39937483273714225,0.557871101746027
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,success,Counterfactual success rate,10,0.55,0.45,0.655
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,target confidence gain,Target-confidence gain,10,0.5453848256904706,0.4543334110355379,0.6364086191002696
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,boundary improvement,Boundary-distance improvement,10,0.031587098616257726,0.0054680561092704805,0.05376666960212621
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,plausibility,Plausibility,10,0.9450914334600709,0.9404311355256842,0.9493814647087748
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,actionability,Actionability rate,10,0.8099999999999999,0.62,0.97
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.0,edit L1,Normalized edit distance (L1),10,0.5417696073506695,0.4658314799662324,0.6312761541369518
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,success,Counterfactual success rate,10,0.6199999999999999,0.5000000000000001,0.74
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,target confidence gain,Target-confidence gain,10,0.590198548437818,0.48710995089908454,0.6912139795377084
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,boundary improvement,Boundary-distance improvement,10,0.024009454749788273,0.0025011969686109894,0.04373244535094455
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,plausibility,Plausibility,10,0.9406504205759239,0.9337575163709603,0.9464391101582216
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,actionability,Actionability rate,10,0.8499999999999999,0.65,0.99
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),0.5,edit L1,Normalized edit distance (L1),10,0.5132076921912582,0.4288008714174538,0.6047271368377877
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,success,Counterfactual success rate,10,0.5950000000000001,0.49000000000000005,0.6950000000000001
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,target confidence gain,Target-confidence gain,10,0.5726522112500059,0.4826608660117207,0.657242864029088
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,boundary improvement,Boundary-distance improvement,10,-0.011765051521377462,-0.03598737395425813,0.012078176438342131
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,plausibility,Plausibility,10,0.9336063351713596,0.9269052168865274,0.9401416164018294
direction-qualified 46,counterfactual,Counterfactual example,alpha,Global relevance reliance (α),1.0,actionability,Actionability rate,10,0.9199999999999999,0.76,1.0
