participant,direction-qualified cohort (0/1),xai,model family,parameter,parameter label,parameter value,case,instance id,success,target confidence gain,boundary improvement,plausibility,actionability,edit L1
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,13,160217,0.0,-0.14370892009286929,-0.07166865023674113,0.9616272072780312,1.0,0.27687811955452957
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,14,160209,0.0,5.104270923106391e-05,0.0489544493456181,0.9700797727712972,1.0,0.149601136143514
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,15,160218,1.0,0.9725787061953262,-0.029034430547477855,0.9337364474504817,1.0,0.33131776274759184
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,16,160207,0.0,0.00017722596698488413,0.08428954412743214,0.9685412121199103,1.0,0.15729393940044833
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,17,160219,1.0,0.9365682630377632,-0.09100192850136868,0.9338187497481465,1.0,0.34614366827229653
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,18,160215,1.0,0.5883443734031093,0.040579421968179104,0.9549337213397294,1.0,0.2963354681238278
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,19,160216,1.0,0.9284008553162807,-0.07136770141157084,0.9298451453713721,1.0,0.3507742731431397
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,eta,Explanation reliance (η),1.0,20,160208,0.0,0.12677878322548486,0.04963037691893474,0.9714101638847537,1.0,0.14294918057623163
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,1,160200,0.0,0.3769939841105967,0.07938261139406157,0.9308606348990832,1.0,0.16981869163704294
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,2,160210,0.0,0.11391424707073207,0.04713003007482115,0.9054647249408027,1.0,0.14236847090243665
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,3,160211,1.0,0.7237262579720496,0.05170790139531453,0.9627100672054936,1.0,0.15030718928700082
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,4,160201,0.0,0.0003025708279358352,0.060281792098792614,0.9464378299594461,1.0,0.23694027214350366
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,5,160214,1.0,0.9952773983744677,-0.03114981574695138,0.960424279279655,1.0,0.19787860360172474
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,6,160212,1.0,0.9850874443790919,-0.02500370719384625,0.9705053838352219,1.0,0.20244569123233813
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,7,160202,1.0,0.49522847050337276,0.05611294361635289,0.969514030976028,1.0,0.15242984511986035
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,8,160203,1.0,0.638570726313634,0.05011318846994037,0.9775689789324656,1.0,0.1121551053376717
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,9,160213,0.0,-0.0068747271506710145,0.02572943950690551,0.9714175385707355,1.0,0.14291230714632236
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,10,160204,1.0,0.9642890050861097,-0.06755206406277067,0.9591268833809186,1.0,0.20436558309540737
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,11,160206,0.0,-1.2552558992240392e-10,0.0009685149474314425,0.973203169094627,1.0,0.13398415452686496
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,12,160205,0.0,-1.8590838304133328e-05,-0.08830486370208479,0.9787060885763529,1.0,0.13722880535304205
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,13,160217,0.0,-0.14370892009286929,-0.07166865023674113,0.9616272072780312,1.0,0.27687811955452957
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,14,160209,0.0,5.104270923106391e-05,0.0489544493456181,0.9700797727712972,1.0,0.149601136143514
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,15,160218,1.0,0.9725787061953262,-0.029034430547477855,0.9337364474504817,1.0,0.33131776274759184
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,16,160207,0.0,0.00017722596698488413,0.08428954412743214,0.9685412121199103,1.0,0.15729393940044833
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,17,160219,1.0,0.9365682630377632,-0.09100192850136868,0.9338187497481465,1.0,0.34614366827229653
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,18,160215,1.0,0.5883443734031093,0.040579421968179104,0.9549337213397294,1.0,0.2963354681238278
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,19,160216,1.0,0.9284008553162807,-0.07136770141157084,0.9298451453713721,1.0,0.3507742731431397
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.0,20,160208,0.0,0.12677878322548486,0.04963037691893474,0.9714101638847537,1.0,0.14294918057623163
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,1,160200,0.0,0.436648938719599,0.09058447591302697,0.9278799240259523,1.0,0.269818691637043
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,2,160210,1.0,0.9365356439193983,0.040005048150641834,0.8956744860451555,1.0,0.24236847090243668
R_12myev0XH9WOz3H,0,counterfactual,weighted examples,rho,Additive change margin (ρ),0.05,3,160211,1.0,0.7910352706851513,0.0201507493995102,0.9650974866444735,1.0,0.2503071892870008
