cohort,xai,xai label,parameter,parameter label,low endpoint,high endpoint,metric,metric label,applicable participants,mean change (high - low),95% bootstrap CI low,95% bootstrap CI high
all 62,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,edit L1,Normalized edit distance (L1),16,-0.08825164852935372,-0.11076242660330594,-0.06544373644039889
all 62,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,plausibility,Plausibility,16,0.008953748084818566,0.0068196361703454405,0.011051732853533877
all 62,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,success,Counterfactual success rate,16,-0.009374999999999994,-0.04687499999999999,0.031250000000000014
all 62,attribution,Feature attribution,eta,Explanation reliance (η),0.0,1.0,target confidence gain,Target-confidence gain,16,-0.0019707532859067622,-0.035681797835585165,0.032535909338790636
all 62,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,actionability,Actionability rate,2,0.0,0.0,0.0
all 62,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,boundary improvement,Boundary-distance improvement,2,0.013364281608698955,0.011457596970072974,0.015270966247324935
all 62,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,edit L1,Normalized edit distance (L1),2,-0.032647781820935584,-0.04873285934190835,-0.016562704299962816
all 62,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,plausibility,Plausibility,2,0.0015357071964824387,0.00040934793328994967,0.0026620664596749277
all 62,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,success,Counterfactual success rate,2,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044
all 62,attribution,Feature attribution,lambda,Exemplar locality (λ),0.0,6.0,target confidence gain,Target-confidence gain,2,-0.03700530985694081,-0.0442820071000668,-0.02972861261381482
all 62,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,actionability,Actionability rate,16,-0.006249999999999999,-0.018749999999999996,0.0
all 62,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,boundary improvement,Boundary-distance improvement,16,-0.10520429732120529,-0.11745677438102896,-0.09330154168888588
all 62,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,edit L1,Normalized edit distance (L1),16,0.4661415589426614,0.39338565036191125,0.5363088289154265
all 62,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,plausibility,Plausibility,16,-0.03550137129609043,-0.041607558278196115,-0.03045053705319744
all 62,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,success,Counterfactual success rate,16,0.29374999999999996,0.253125,0.3375
all 62,attribution,Feature attribution,rho,Additive change margin (ρ),0.0,0.3,target confidence gain,Target-confidence gain,16,0.2601088114794379,0.21959607236002868,0.29872696197981913
all 62,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,actionability,Actionability rate,27,-0.21296296296296297,-0.32037037037037036,-0.1111111111111111
all 62,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,boundary improvement,Boundary-distance improvement,27,0.009566929998865523,0.0029166343752619274,0.01856698214018234
all 62,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,edit L1,Normalized edit distance (L1),27,0.0026582638200078087,-0.010341825580411848,0.013400100864763941
all 62,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,plausibility,Plausibility,27,0.0008063941115445497,-0.00045833489949599805,0.002445485850446731
all 62,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,success,Counterfactual success rate,27,-0.008089668615984409,-0.03840155945419104,0.019300682261208554
all 62,counterfactual,Counterfactual example,age actionable,Age actionable,0.0,1.0,target confidence gain,Target-confidence gain,27,-0.00199494257801024,-0.025702065336379393,0.020279423461897345
