variant,representation,scope,lapse_global,decay,distance,selection_spread,edit_blend,age_actionable,margin,in_sample_selection_nll,in_sample_expected_selection_f1,in_sample_map_selection_f1,in_sample_exact_subset_accuracy,in_sample_cardinality_mae,in_sample_amount_mae,in_sample_direction_accuracy,in_sample_zero_amount_mae,cv_selection_nll,cv_expected_selection_f1,cv_map_selection_f1,cv_exact_subset_accuracy,cv_cardinality_mae,cv_amount_mae,cv_direction_accuracy,cv_zero_amount_mae,participant,xai,testing_cases,selected_by_cv,locked_feature,fixed_cardinality
additive_exemplar,additive,exemplar,0.4,4.0,0.0,0.5,0.0,1,0.05,1.2780433412590184,0.3019093169705144,0.4,0.4,0.0,0.19863656675437,0.65,0.299498901693765,1.3990329901902423,0.27935546850936854,0.35,0.35,0.0,0.2209890377558949,0.6,0.299498901693765,R_3j0utxuxkNQAl6B,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.4,4.0,nan,0.5,0.0,1,0.05,1.2780433412590184,0.3019093169705144,0.4,0.4,0.0,0.19863656675437,0.65,0.299498901693765,1.3990329901902423,0.27935546850936854,0.35,0.35,0.0,0.2209890377558949,0.6,0.299498901693765,R_3j0utxuxkNQAl6B,counterfactual,20,0,glucose,1
base_exemplar,base,exemplar,0.4,0.25,0.0,0.5,0.0,1,0.05,1.3363054059206294,0.279091109442927,0.4,0.4,0.0,0.22586787826384555,0.65,0.299498901693765,1.539671879922944,0.25087416406903884,0.25,0.25,0.0,0.24915013559482713,0.6,0.299498901693765,R_3j0utxuxkNQAl6B,counterfactual,20,0,glucose,1
base_prototype,base,prototype,0.4,0.25,nan,0.5,0.0,1,0.05,1.3363054059206294,0.279091109442927,0.4,0.4,0.0,0.22586787826384555,0.65,0.299498901693765,1.4420049617144906,0.26636715818749623,0.3,0.3,0.0,0.23509100533874222,0.65,0.299498901693765,R_3j0utxuxkNQAl6B,counterfactual,20,0,glucose,1
counterfactual_exemplar,counterfactual,exemplar,0.4,0.0,24.0,2.0,1.0,1,0.025,0.9819617772515731,0.4181309568024031,0.65,0.65,0.0,0.280292877977391,0.55,0.299498901693765,1.1179215524075825,0.3731542493396545,0.45,0.45,0.0,0.26121950360472573,0.6,0.299498901693765,R_3j0utxuxkNQAl6B,counterfactual,20,1,glucose,1
counterfactual_prototype,counterfactual,prototype,0.4,0.0,nan,4.0,0.75,1,0.025,1.2089556660206973,0.3346218809628093,0.45,0.45,0.0,0.26310892265996927,0.55,0.299498901693765,1.3225833609294024,0.2966840599470073,0.55,0.55,0.0,0.26461146274944625,0.55,0.299498901693765,R_3j0utxuxkNQAl6B,counterfactual,20,0,glucose,1
base_exemplar,base,exemplar,0.4,1.0,0.0,8.0,0.0,1,0.2,1.1816729881204204,0.319009483640757,0.3,0.3,0.0,0.22938116592972246,0.8,0.42700212573925,1.1938934112593005,0.31563273759166893,0.3,0.3,0.0,0.2565552834571753,0.8,0.42700212573925,R_3qfLJqm5RZmyABk,none,20,0,glucose,1
base_prototype,base,prototype,0.4,1.0,nan,8.0,0.0,1,0.2,1.1816729881204204,0.319009483640757,0.3,0.3,0.0,0.22938116592972246,0.8,0.42700212573925,1.1816729881204202,0.319009483640757,0.3,0.3,0.0,0.24938116592972248,0.8,0.42700212573925,R_3qfLJqm5RZmyABk,none,20,1,glucose,1
additive_exemplar,additive,exemplar,0.4,4.0,0.0,4.0,0.0,1,0.05,0.872416986961318,0.490780143081375,0.65,0.65,0.0,0.14617495350897294,0.9,0.27639673103514995,0.8965689403269778,0.4778368105489661,0.65,0.65,0.0,0.1510989110621625,0.9,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0,glucose,1
additive_prototype,additive,prototype,0.4,4.0,nan,4.0,0.0,1,0.05,0.872416986961318,0.490780143081375,0.65,0.65,0.0,0.14617495350897294,0.9,0.27639673103514995,0.8965689403269778,0.4778368105489661,0.65,0.65,0.0,0.1510989110621625,0.9,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,1,glucose,1
base_exemplar,base,exemplar,0.4,0.5,0.0,4.0,0.0,1,0.1,1.1313660719637533,0.3454157333058437,0.3,0.3,0.0,0.1405820322440969,0.9,0.27639673103514995,1.2909439061450758,0.32289388639283495,0.5,0.5,0.0,0.1978262466421079,0.85,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0,glucose,1
base_prototype,base,prototype,0.4,0.5,nan,4.0,0.0,1,0.1,1.1313660719637533,0.3454157333058437,0.3,0.3,0.0,0.1405820322440969,0.9,0.27639673103514995,1.274528344684113,0.3173777270433883,0.4,0.4,0.0,0.1838946613574794,0.85,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0,glucose,1
counterfactual_exemplar,counterfactual,exemplar,0.4,2.0,0.0,4.0,0.25,1,0.05,1.0760622202792791,0.401462951282524,0.55,0.55,0.0,0.14635744111701562,0.85,0.27639673103514995,1.2066763168734294,0.3682635531252018,0.5,0.5,0.0,0.18245987690615867,0.8,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0,glucose,1
counterfactual_prototype,counterfactual,prototype,0.4,2.0,nan,4.0,0.25,1,0.05,1.0760622202792791,0.401462951282524,0.55,0.55,0.0,0.14635744111701562,0.85,0.27639673103514995,1.2066763168734294,0.3682635531252018,0.5,0.5,0.0,0.18245987690615867,0.8,0.27639673103515,R_3rONzvm8h505G8I,counterfactual,20,0,glucose,1
additive_exemplar,additive,exemplar,0.4,2.0,24.0,0.025,0.0,1,0.0,1.388215015730815,0.2497212773844577,0.25,0.25,0.0,0.34797730984373193,0.45,0.40971145188961994,1.3972205466543242,0.2474860797041873,0.2,0.2,0.0,0.34761993236112343,0.45,0.40971145188962,R_3sYj8jBAufTm73T,attribution,20,0,glucose,1
additive_prototype,additive,prototype,0.4,0.0,nan,0.025,0.0,1,0.1,1.3915749166216624,0.2488479852535969,0.2,0.2,0.0,0.3137927769639931,0.65,0.40971145188961994,1.3915749166216624,0.24884798525359683,0.2,0.2,0.0,0.37123469178155744,0.65,0.40971145188962,R_3sYj8jBAufTm73T,attribution,20,0,glucose,1
base_exemplar,base,exemplar,0.4,1.0,0.0,8.0,0.0,1,0.1,1.2474708468785498,0.3055134229245721,0.35,0.35,0.0,0.34599869695511176,0.65,0.40971145188961994,1.2474708468785498,0.3055134229245721,0.35,0.35,0.0,0.42550705675041034,0.65,0.40971145188962,R_3sYj8jBAufTm73T,attribution,20,0,glucose,1
base_prototype,base,prototype,0.4,1.0,nan,8.0,0.0,1,0.1,1.2474708468785498,0.3055134229245721,0.35,0.35,0.0,0.34599869695511176,0.65,0.40971145188961994,1.2474708468785498,0.3055134229245721,0.35,0.35,0.0,0.42550705675041034,0.65,0.40971145188962,R_3sYj8jBAufTm73T,attribution,20,1,glucose,1
base_exemplar,base,exemplar,0.4,4.0,24.0,0.5,0.0,1,0.1,1.3324689632758975,0.2797673782230727,0.4,0.4,0.0,0.11961165397149909,0.95,0.21846499242653503,1.4503752362222535,0.25682877193709797,0.3,0.3,0.0,0.12734579133463442,0.9,0.218464992426535,R_50DGG380VPVbOcp,none,20,1,glucose,1
