participant,direction-qualified cohort (0/1),xai,model family held fixed,fold,trial index,selected inverse temperature gamma,current selection NLL,current observed subset probability,current observed subset rank,current top-1 hit,current top-3 hit,current observed subset impossible,current maximum subset probability,current normalized entropy,current effective subset count,current possible subset count,temperature-scaled selection NLL,temperature-scaled observed subset probability,temperature-scaled observed subset rank,temperature-scaled top-1 hit,temperature-scaled top-3 hit,temperature-scaled observed subset impossible,temperature-scaled maximum subset probability,temperature-scaled normalized entropy,temperature-scaled effective subset count,temperature-scaled possible subset count
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,2,17,1.0,3.519410988881715,0.029616874699835764,7,0,0,0,0.2692358623475994,0.8162082872811377,6.549502123454233,10,3.519410988881715,0.029616874699835764,7,0,0,0,0.2692358623475994,0.8162082872811377,6.549502123454233,10
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,3,3,0.75,1.2614549589070907,0.28324162163619904,1,1,1,0,0.28324162163619904,0.7965653195640784,6.259870077003122,10,1.4260894879066885,0.2402465748342334,1,1,1,0,0.2402465748342334,0.8649319351172646,7.3270969007849205,10
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,3,8,0.75,2.3995878827256276,0.09075534742991516,4,0,0,0,0.24227165079888843,0.8163206177066888,6.551196373658087,10,2.288084621352326,0.1014606113481858,4,0,0,0,0.21189477897191233,0.875463001952659,7.506940989004735,10
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,3,13,0.75,0.6924981720657231,0.500324609572902,1,1,1,0,0.500324609572902,0.7125030944463582,5.158258404349301,10,0.9661578885780596,0.3805423189386058,1,1,1,0,0.3805423189386058,0.8264519926902418,6.705821558394785,10
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,3,18,0.75,1.0500057356018075,0.349935742013325,1,1,1,0,0.349935742013325,0.7842799619357878,6.085271534870072,10,1.2627950103698402,0.2828623174871147,1,1,1,0,0.2828623174871147,0.8596526542535254,7.238567928031178,10
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,4,4,0.75,0.33581958228306164,0.714752048116668,1,1,1,0,0.714752048116668,0.6055538335052189,2.65011039511157,5,0.5314678488544984,0.5877416203360453,1,1,1,0,0.5877416203360453,0.7667324054934113,3.4349700346285226,5
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,4,9,0.75,1.6541989223492752,0.1912451966112103,3,0,1,0,0.3050050877262933,0.809691417740322,6.45195630817895,10,1.7264967156026096,0.17790657685467473,3,0,1,0,0.25248141424567155,0.8725946532381152,7.457523889137421,10
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,4,14,0.75,1.3170939678467064,0.26791273481795574,2,0,1,0,0.3057429352669309,0.7832936450942072,6.07146708721115,10,1.4623129107404826,0.2316997536574611,2,0,1,0,0.25582788289845876,0.8581995250728912,7.214388489886516,10
R_5tEkygPCjFKzz2T,1,counterfactual,weighted examples,4,19,0.75,1.407904765044456,0.24465535696460183,2,0,1,0,0.25965889121390445,0.8170563750065242,6.5623044489975655,10,1.5447166019903948,0.21337233194946506,2,0,1,0,0.22311278392548217,0.8760593208333564,7.5172556615319674,10
R_60Vourt3Kluat5u,1,attribution,feature contribution,0,0,0.0,2.7731827285079165,0.06246288563241634,4,0,0,0,0.5916213172393423,0.6949090064795018,3.473316122850908,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,0,5,0.0,2.9972346995046775,0.049924935106308035,5,0,0,0,0.601281774663402,0.688448198860752,3.4333401066690117,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,0,10,0.0,3.7309834152091397,0.023969252515036205,5,0,0,0,0.39338564544941346,0.7563432260700181,3.87747875612323,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,0,15,0.0,1.0426616681755803,0.3525151537910848,2,0,1,0,0.5125258304879649,0.7682684698692029,2.900973144019962,4,1.3862943611198906,0.25,1,1,1,0,0.25,1.0,4.0,4
R_60Vourt3Kluat5u,1,attribution,feature contribution,1,1,0.0,0.7149493381020501,0.4892168958249749,1,1,1,0,0.4892168958249749,0.8268436925945283,3.146367927133322,4,1.3862943611198906,0.25,1,1,1,0,0.25,1.0,4.0,4
R_60Vourt3Kluat5u,1,attribution,feature contribution,1,6,0.0,2.4133050129973785,0.08951894384757735,4,0,0,0,0.5265813045952239,0.725595237454477,3.669634763147863,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,1,11,0.0,4.2587157067484185,0.014140451239561114,6,0,0,0,0.5726201422254933,0.7059479980247643,3.542699510931188,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,1,16,0.0,3.9296257656338915,0.019651025266144376,6,0,0,0,0.4406582207569123,0.7491168030598331,3.827596748521525,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,2,2,0.0,0.8730765846138849,0.41766459009175816,1,1,1,0,0.41766459009175816,0.7547612850898341,3.866503767904124,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
R_60Vourt3Kluat5u,1,attribution,feature contribution,2,7,0.0,0.3496013128449505,0.7049690958214403,1,1,1,0,0.7049690958214403,0.6466235418077836,2.4507903632433137,4,1.3862943611198906,0.25,1,1,1,0,0.25,1.0,4.0,4
R_60Vourt3Kluat5u,1,attribution,feature contribution,2,12,0.0,3.9747263143481057,0.01878444182344112,6,0,0,0,0.46315173138383164,0.7515070074724558,3.8440242392716573,6,1.791759469228055,0.16666666666666666,1,1,1,0,0.16666666666666666,0.9999999999999999,5.999999999999998,6
