participant,xai,reasoning strategy,cognitive model family,explanation reliance eta,global relevance reliance alpha,additive change margin rho,participant training accuracy,mean changed features,rows,participants,mean boundary distance new,median boundary distance new,mean boundary distance change (new - original),success rate,target-directed rate,mean normalized edit distance,mean target confidence gain,mean abs normalized change: glucose,mean abs normalized change: blood_pressure,mean abs normalized change: insulin,mean abs normalized change: bmi,mean abs normalized change: age
R_3CPW0AmZIfESbrT,counterfactual,,feature contribution,0.5,0.5,0.1,0.833333333333,1.9,20,1,0.09407859665905749,0.07010694081935,-0.028798948939259,0.4,0.65,0.5152088544352,0.3385552529081041,0.011902737629649999,0.1423913043478,0.21477769528999996,0.146137117167745,0.0
R_771uyV9h8uinmh3,attribution,,feature contribution,1.0,0.0,0.1,0.5,1.0,20,1,0.09431221152441002,0.08392395306115,-0.028565334073961002,0.7,0.9,0.32817601614049996,0.6520082764005145,0.09522190103724999,0.16521739130440002,0.0,0.06773672379885,0.0
R_7MBioYOD8gq6nT3,counterfactual,,feature contribution,1.0,1.0,0.0,0.75,1.15,20,1,0.09565111355087999,0.05402833136905,-0.027226432047533,0.2,0.65,0.20016968766148452,0.19176269694863482,0.021679986396850003,0.04673913043475,0.008042563721845,0.11695125035118951,0.00675675675675
R_5CNiW73tAkn7Lk5,none,,feature contribution,0.0,0.0,0.1,0.75,1.9,20,1,0.097185636249534,0.081131529548,-0.025691909348796005,0.65,1.0,0.54363926934395,0.6567674042160634,0.15261010032310002,0.01304347826085,0.17239957106321996,0.20558611969657498,0.0
R_1KMTwE2iCLDGMxz,none,,weighted examples,0.0,,0.05,0.833333333333,1.0,20,1,0.09768065141497498,0.0762299100097,-0.025196894183423503,0.3,0.65,0.2773972183542,0.32913644373619816,0.08034347900019999,0.00978260869565,0.0465025158789,0.14076861477945,0.0
R_6dXBSsEnSWPHZg1,counterfactual,,feature contribution,0.0,0.0,0.0,0.916666666667,1.45,20,1,0.10073780189984552,0.053669652082900005,-0.0221397436984799,0.4,0.7,0.317722421976915,0.4125782318293673,0.19086889984699001,0.05217391304345,0.05681349500949999,0.017866114077,0.0
R_7ojrp9raD1YDwJj,none,,feature contribution,0.0,0.0,0.0,0.583333333333,1.45,20,1,0.10093423527958849,0.08313749710345,-0.021943310318694002,0.4,0.65,0.32977259027565,0.38827967811465897,0.12922972283625,0.14673913043471498,0.0,0.053803737004749996,0.0
R_6P1wxXrNHroPf9i,counterfactual,,feature contribution,0.5,1.0,0.0,0.75,1.85,20,1,0.101689982267545,0.0699895524452,-0.021187563330815,0.35,0.6,0.39290818967019997,0.35535051688083197,0.02593096412175,0.017391304347850002,0.25684649014265004,0.08057726889580001,0.01216216216215
R_5cuU4NG0z68t0DW,counterfactual,,feature contribution,1.0,0.5,0.1,0.666666666667,2.25,20,1,0.10221548471967401,0.06391006050940001,-0.020662060878585,0.7,0.8,0.5100932442371,0.5923353702885101,0.14963441591566498,0.143478260869555,0.01649756660893,0.200483000843015,0.0
R_5gkJQXcSCkjRBmu,none,,weighted examples,0.0,,0.1,0.75,2.2,20,1,0.10244165003285502,0.07900267696669999,-0.020435895565429997,0.75,0.9,0.7411908240668998,0.700782878107974,0.23167828600574997,0.10869565217390001,0.12692815309745,0.27388873279014997,0.0
R_5FwCR03V97gle4L,attribution,,feature contribution,1.0,0.0,0.1,0.666666666667,2.0,20,1,0.1043004130152285,0.0750799962295,-0.018577132583084,0.55,0.95,0.50071722419605,0.5706393499213827,0.24570651249790004,0.10434782608695499,0.004124391652233,0.14653849395907498,0.0
R_1TZbMIIo6RtFnsb,attribution,,feature contribution,0.5,0.0,0.15,0.833333333333,2.05,20,1,0.10487163598795901,0.10732978402730001,-0.018005909610329003,0.55,0.9,0.60771887236655,0.5479826032418258,0.16238734909025002,0.09456521739134999,0.16373834859363998,0.1870279572914,0.0
R_6dth5vhxVEBQV2p,counterfactual,,weighted examples,1.0,,0.0,0.666666666667,1.1,20,1,0.106038991518744,0.080109981218,-0.0168385540795365,0.15,0.7,0.19534477732446204,0.17098586187941295,0.044635266111215,0.0,0.08475624845340499,0.021358668165237002,0.0445945945946
R_7gJ0bylGgi6iHe1,counterfactual,,feature contribution,1.0,1.0,0.05,0.583333333333,1.7,20,1,0.10748976029538349,0.09922529584709999,-0.01538778530292,0.4,0.65,0.34494698275085006,0.3924568285535907,0.08671994558754001,0.141304347826045,0.0,0.04530106771565,0.071621621621565
R_5F38MGbZJklp6TP,attribution,,feature contribution,1.0,0.0,0.05,0.833333333333,1.5,20,1,0.10993345115144151,0.07374200469100001,-0.012944094446844,0.35,0.8,0.221136545406425,0.37438562646170864,0.05398741710599,0.10217391304345998,0.015054029530650001,0.04992118572630499,0.0
R_7arfHhy57BRFG9z,none,,feature contribution,0.0,0.0,0.0,0.583333333333,1.0,20,1,0.11180026149061248,0.103640388022,-0.011077284107739999,0.3,0.6,0.23765903428274998,0.28446873469569156,0.06248937255570001,0.1336956521738,0.0,0.04147400955325,0.0
R_1QfQiW4jahDRgtB,attribution,,weighted examples,1.0,,0.05,0.666666666667,1.0,20,1,0.11398235463229349,0.08460290767305,-0.008895190966039503,0.45,0.7,0.27719120219054993,0.4273004105719848,0.039534092841349996,0.04239130434785,0.0,0.19526580500135,0.0
R_7Xi0pALCUOc3Fh1,attribution,,feature contribution,1.0,0.0,0.0,0.583333333333,1.0,20,1,0.1140676607002935,0.0626393414727,-0.008809884898056647,0.05,0.75,0.08767133457198249,0.11436893837532344,0.0289066485291675,0.03695652173918,0.0,0.013700056195534998,0.0081081081081
R_3Fo0QmOVx6lcU4W,counterfactual,,feature contribution,0.5,1.0,0.0,0.75,1.0,20,1,0.11611202759073125,0.095540307408,-0.006765518007536699,0.1,0.55,0.17676166366351,0.13327786190573784,0.018279204216965002,0.07391304347824998,0.058978800626895,0.025590615341400003,0.0
R_1myAGA2v3gStUIS,attribution,,feature contribution,1.0,0.0,0.25,0.916666666667,1.95,20,1,0.11730911282339003,0.107388975558,-0.005568432774861497,0.55,0.85,0.7316334973467001,0.5308262214400689,0.24740690358775003,0.19130434782614997,0.20178586158539996,0.020866114077,0.07027027027025
R_3Qv0QTQ49yAIRot,attribution,,feature contribution,1.0,0.5,0.1,0.5,1.0,20,1,0.11742589628418651,0.0775407908473,-0.005451649314247853,0.55,0.8,0.2908554693741001,0.5267191584124719,0.0106274443122,0.20217391304344998,0.07805411201845,0.0,0.0
R_7PsMTUjq8Wa1btt,counterfactual,,feature contribution,1.0,0.0,0.05,0.666666666667,2.4,20,1,0.12037376868734499,0.0914458868495,-0.002503776910993301,0.6,0.9,0.5201543953946001,0.5715269898448686,0.17726577112730002,0.13804347826080002,0.104862657758,0.039171677437490005,0.060810810810765004
R_61hCu6g2tcWoJo7,attribution,,feature contribution,1.0,0.0,0.15,0.333333333333,1.85,20,1,0.12059938158617503,0.124228116913,-0.002278164012171995,0.75,0.9,0.5911169079583951,0.7101134291291451,0.21637476619625,0.04673913043475,0.14796255052378998,0.180040460803615,0.0
R_3pZ1OVs4kWTC7GB,none,,weighted examples,0.0,,0.05,0.416666666667,1.4,20,1,0.12354808259950949,0.1432198859755,0.0006705370011404994,0.35,0.85,0.38581151771597993,0.37623705405257657,0.24570651249784997,0.07173913043478,0.061865874783445,0.006500000000000001,0.0
R_5L0xQQar3o8Bvr3,counterfactual,,feature contribution,0.5,1.0,0.0,0.416666666667,1.45,20,1,0.13056298822454998,0.110442407731,0.0076854426262575,0.35,0.55,0.28131281515434003,0.30668771535452943,0.00382587995239,0.033695652173849996,0.17250268085465004,0.059126440011300005,0.01216216216215
R_7IXNpixLXSjItSq,none,,feature contribution,0.0,1.0,0.0,0.833333333333,1.05,20,1,0.13203791230276002,0.08966521787170001,0.009160366704504,0.3,0.6,0.24171502812495507,0.2776305040637021,0.04506036388365,0.044565217391290005,0.059391239792125,0.039995504355185,0.052702702702704995
R_1CKtpMfx1ihpfn1,counterfactual,,feature contribution,0.5,1.0,0.0,0.666666666667,3.5,20,1,0.13317582361709002,0.1160902598525,0.010298278018677496,0.3,0.5,1.0032071069651498,0.2788244109098688,0.18024145553485,0.25108695652172996,0.3316010888394,0.24027760606905996,0.0
R_3P1hvuTtye32D8u,attribution,,feature contribution,1.0,1.0,0.05,0.583333333333,1.85,20,1,0.13331164822481498,0.1033882292219,0.010434102626471502,0.55,0.7,0.4775898316011499,0.5048041780206204,0.15686107804796498,0.2010869565217,0.008661222469695,0.0731427367238,0.0378378378378
R_5ASRudX4WuOaMDD,counterfactual,,feature contribution,0.5,0.0,0.1,0.666666666667,2.05,20,1,0.13435149034859503,0.1173808502155,0.011473944750274995,0.5,0.9,0.5197301827753501,0.48671510139714325,0.1878932154396,0.08043478260870499,0.08671533448821499,0.16468685023885002,0.0
R_156Kmlz4ECsrHQR,attribution,,feature contribution,0.5,1.0,0.0,0.333333333333,2.15,20,1,0.13723448126859847,0.12373661602649999,0.014356935670314996,0.45,0.7,0.58493397835015,0.42163028181408607,0.026781159666749998,0.0641304347826,0.26952899447325,0.15692582186016002,0.0675675675675
R_60Vourt3Kluat5u,attribution,,feature contribution,1.0,0.0,0.15,0.75,2.2,20,1,0.14014930495598002,0.119383199505,0.01727175935767001,0.5,0.75,0.5925646133135001,0.5041673895110609,0.16111205577276502,0.27065217391314994,0.0157757980698,0.14502458555769498,0.0
R_6aqu1LmTSlgucVN,counterfactual,,weighted examples,0.5,,0.15,0.666666666667,2.3,20,1,0.1410981297186153,0.1020217345486,0.018220584120325498,0.8,0.9,0.6552511654544,0.77891926207149,0.312021765005975,0.017391304347850002,0.06372185102698999,0.252656785613995,0.009459459459449999
R_3P5ccqI6lMcShWV,attribution,,feature contribution,1.0,0.0,0.2,0.666666666667,2.4,20,1,0.1428459461758333,0.14589354940299998,0.019968400577575002,0.9,1.0,0.7069824492411498,0.89986009940436,0.24145553477300002,0.22282608695647993,0.06155654540956499,0.18114428210175001,0.0
R_6KDvslaxG4W04I9,counterfactual,,feature contribution,1.0,1.0,0.25,0.666666666667,1.75,20,1,0.1467619973052915,0.11688200466000001,0.023884451707038998,0.5,0.7,0.6082668710485499,0.5057773776340643,0.23805475259305,0.3293478260870001,0.00793945393055,0.032924838437799996,0.0
R_5F38AMuOCY994Y9,none,,feature contribution,0.0,0.0,0.0,0.583333333333,2.0,20,1,0.14717165269732752,0.108680708381,0.0242941070991205,0.5,0.7,0.45374526013730004,0.4729220638135324,0.083319163407615,0.20108695652184996,0.0,0.16933914020787,0.0
R_3OpQ58fnUhzHRsd,none,,feature contribution,0.0,0.5,0.0,0.583333333333,1.6,20,1,0.150716795927065,0.08804998509475001,0.027839250328681498,0.3,0.6,0.54550199705981,0.2626201290635334,0.08714504335994999,0.097826086956515,0.31056669141305004,0.0499641753301,0.0
R_6DD4Hjc7DAhjrhU,attribution,,feature contribution,0.0,0.0,0.15,0.833333333333,2.0,20,1,0.154385546841725,0.1555092141055,0.03150800124346251,0.7,0.8,0.66397018006665,0.6785807751491814,0.173864988947375,0.2260869565217,0.19054689433300004,0.0734713402641,0.0
R_1ReJOex9cmkqbNa,counterfactual,,weighted examples,1.0,,0.1,0.666666666667,1.65,20,1,0.15568106101107398,0.153330769284,0.03280351541277401,0.55,0.8,0.3980077494201051,0.5729207139595952,0.18491753103219497,0.058695652173949994,0.0599067887487,0.0944877774656,0.0
R_1WAqgPTkRSdmI9W,counterfactual,,feature contribution,0.0,1.0,0.2,0.833333333333,2.5,20,1,0.167620544597059,0.16237739849650001,0.04474299899884,0.85,0.9,0.7406346860094,0.8085433565259657,0.0068015643598,0.16847826086954995,0.27190051967335005,0.04345434110705,0.24999999999984998
R_3ENoszlL5q7JglI,none,,weighted examples,0.0,,0.2,0.833333333333,2.75,20,1,0.171135646306865,0.1594359987135,0.04825810070853499,0.95,1.0,0.8978499994711001,0.9102752599962001,0.387689168508825,0.022826086956514998,0.29458467376056496,0.19275007024445998,0.0
R_3FXVdEYgbSYjhFQ,counterfactual,,weighted examples,0.5,,0.2,0.833333333333,2.6,20,1,0.1834396725513,0.17520744375699998,0.0605621269531655,0.75,0.9,0.7872591837962999,0.720843506159252,0.26101003230735,0.2804347826086999,0.05330776210507,0.176290390559185,0.0162162162162
R_12myev0XH9WOz3H,counterfactual,,weighted examples,1.0,,0.0,0.666666666667,2.05,20,1,0.192296298343895,0.1733093069405,0.06941875274556714,0.5,0.55,0.4700383492818851,0.47275545953786013,0.24400612140792993,0.01195652173914,0.05134867607027001,0.162727030064585,0.0
R_7DtIw0Gr58M4CAa,counterfactual,,feature contribution,1.0,1.0,0.05,0.666666666667,2.55,20,1,0.19416425849983499,0.1467747422305,0.07128671290151449,0.5,0.6,0.49756552466920506,0.48323880372874956,0.182366944397165,0.10869565217387,0.033820011548295,0.17268291654957502,0.0
R_6I5GvkY1dba6Sm6,none,,feature contribution,0.0,0.0,0.2,0.916666666667,2.85,20,1,0.2071518912118,0.222191047476,0.08427434561358452,0.95,1.0,1.0423836847628498,0.9223329506468501,0.337102533582665,0.20760869565224999,0.20640930462753498,0.2763982860354,0.014864864864849999
R_7xWlSJ5Zdqog9gt,none,,feature contribution,0.0,0.0,0.05,0.5,3.15,20,1,0.23872968455759494,0.2127814709425,0.11585213895931949,0.5,0.75,0.9527351838092498,0.4771363310438672,0.17386498894746,0.41195652173905,0.088674420522935,0.278239252599005,0.0
R_6J90tRZsF1dbkUv,none,,weighted examples,0.0,,0.15,0.583333333333,1.3,20,1,0.24004774137481996,0.227126519316,0.11717019577644347,0.55,0.65,0.45565041086115504,0.5291436273821206,0.12412854956639001,0.009782608695665,0.0,0.32173925259900005,0.0
R_1yltjaSsgo0dVO7,none,,weighted examples,0.0,,0.25,0.5,3.3,20,1,0.31042295554071,0.30797309919750004,0.18754540994243998,1.0,1.0,1.4350464346529503,0.9702649007820503,0.466332256419025,0.12065217391304998,0.29334735626501,0.48579572913745006,0.06891891891884999
R_7L78tZJ3cQDgpFH,counterfactual,,feature contribution,1.0,1.0,0.0,0.5,3.85,20,1,0.33523990123878145,0.297419922985,0.21236235564053502,0.1,0.35,1.5582995320753503,0.1086442102872763,0.33609080088417503,0.37282608695649,0.283201352800425,0.25672183197525006,0.3094594594593049
