instance id,case,original label,target label,participants,nearest training distance,rows,mean boundary distance new,median boundary distance new,mean boundary distance change (new - original),success rate,target-directed rate,mean normalized edit distance,mean target confidence gain,counterfactual mean boundary distance new,counterfactual success rate,counterfactual target-directed rate,attribution mean boundary distance new,attribution success rate,attribution target-directed rate,none mean boundary distance new,none success rate,none target-directed rate,CF minus attribution boundary distance,CF minus none boundary distance
160202,6,Diabetes,No Diabetes,62,0.36251857422400013,62,0.12355406047587385,0.1103595993615,0.06658141199279069,0.7741935483870968,0.9193548387096774,0.3883877469002315,0.7385781980154424,0.11659226260184816,0.6666666666666666,0.8518518518518519,0.11976149365703748,0.875,1.0,0.1366408821442989,0.8421052631578947,0.9473684210526315,-0.00316923105518932,-0.02004861954245074
160212,1,Diabetes,No Diabetes,62,0.5592181794980001,62,0.12586769939890108,0.08538238439145,0.08861585617744089,0.6612903225806451,0.8709677419354839,0.5420572578824725,0.6416310894718364,0.14487451588134814,0.5925925925925926,0.7777777777777778,0.08074150785669373,0.75,1.0,0.1368590162225458,0.6842105263157895,0.8947368421052632,0.06413300802465441,0.008015499658802355
160204,8,Diabetes,No Diabetes,62,0.3529661420120004,62,0.1357575648821392,0.11674538917300001,0.096175515741295,0.8225806451612904,0.9354838709677419,0.3458175686551112,0.7810543652892064,0.1295728828983037,0.7037037037037037,0.8518518518518519,0.1287185673299269,0.9375,1.0,0.15047390037682104,0.8947368421052632,1.0,0.0008543155683768122,-0.02090101747851733
160201,2,Diabetes,No Diabetes,62,0.43874065486900016,62,0.13646718952061582,0.1135632331575,-0.1446749279482294,0.532258064516129,0.9032258064516129,0.7432890174323551,0.5221462661969535,0.16099126714828926,0.5185185185185185,0.7777777777777778,0.1061675808322,0.5625,1.0,0.1271326444189037,0.5263157894736842,1.0,0.05482368631608926,0.03385862272938556
160203,10,Diabetes,No Diabetes,62,0.38093403597000014,62,0.13763075618697299,0.136089702936,0.07707882322291768,0.8548387096774194,0.9354838709677419,0.4761929917333065,0.8257424695073293,0.13425443232693687,0.7777777777777778,0.8518518518518519,0.1223942814316,0.9375,1.0,0.1552594056768121,0.8947368421052632,1.0,0.011860150895336874,-0.021004973349875222
160208,13,No Diabetes,Diabetes,62,0.340762675641,62,0.13978635269958148,0.102664556346,0.04969927219792209,0.24193548387096775,0.5483870967741935,0.49062550656214815,0.2799420180042826,0.14565100073237477,0.18518518518518517,0.5185185185185185,0.14655492435928186,0.3125,0.5625,0.12575252936060105,0.2631578947368421,0.5789473684210527,-0.0009039236269070827,0.019898471371773724
160207,12,No Diabetes,Diabetes,62,0.28786215071599996,62,0.16430151917059,0.157391555712,-0.03983375605251033,0.4032258064516129,0.7419354838709677,0.5566641645466047,0.40544156047076146,0.1627961056957874,0.4074074074074074,0.7777777777777778,0.16256336103811037,0.375,0.6875,0.1679045030621343,0.42105263157894735,0.7368421052631579,0.0002327446576770309,-0.005108397366346912
160209,15,No Diabetes,Diabetes,62,0.3125199449580002,62,0.17033100180028582,0.1564387104235,-0.04488886934532098,0.45161290322580644,0.6935483870967742,0.6088542316543937,0.44085595155240714,0.16888862513395628,0.4444444444444444,0.6666666666666666,0.16336791575806248,0.5,0.6875,0.17824434636167893,0.42105263157894735,0.7368421052631579,0.005520709375893801,-0.009355721227722658
160205,20,No Diabetes,Diabetes,62,0.23011031698299977,62,0.18606502221793766,0.144386507583,-0.09837009659619017,0.22580645161290322,0.8387096774193549,0.6403616488588533,0.2394837892174407,0.18018311044262839,0.18518518518518517,0.8518518518518519,0.18629042846135438,0.1875,0.8125,0.19423371264102632,0.3157894736842105,0.8421052631578947,-0.0061073180187259934,-0.014050602198397932
160206,19,No Diabetes,Diabetes,62,0.2873435628850002,62,0.22565631172519363,0.1917100737645,-0.33329008616782035,0.11290322580645161,0.9354838709677419,0.6453826700960597,0.12196049455207979,0.20190322988160372,0.1111111111111111,0.9629629629629629,0.2686707917165625,0.0625,0.9375,0.22318797119440528,0.15789473684210525,0.8947368421052632,-0.06676756183495877,-0.02128474131280156
