participant,domain,xai,testing cases,memory variant,model family,k,attention rate,xai weight,specificity,alpha,rho,beta,memory decay,age actionable,in-sample loss,in-sample selection_f1,in-sample amount_mae,in-sample direction_accuracy,in-sample selection_nll,5-fold CV loss,5-fold CV selection_f1,5-fold CV amount_mae,5-fold CV direction_accuracy,5-fold CV selection_nll,selected family by CV
R_1vbS8BCLvmrwGHr,diabetes,attribution,20,perfect memory,feature contribution,observed per instance,0.25,0.5,6.0,0.0,0.05,nan,nan,0,0.2834256126624404,0.6036165099348327,0.17046773525971357,0.9333333333333332,1.1928613541697928,0.29396983480473626,0.5970910934577232,0.18503076306719568,0.9333333333333332,1.2231021149241958,1
R_1vbS8BCLvmrwGHr,diabetes,attribution,20,perfect memory,weighted examples,observed per instance,0.25,0.0,6.0,nan,0.05,0.0,nan,0,0.26158876081191157,0.5552263780622608,0.07840389968608401,0.975,1.4862905863811888,0.2713015660973389,0.5410242834809649,0.08362741567564276,0.975,1.5869111242107632,0
R_1yltjaSsgo0dVO7,diabetes,none,20,memory variation,feature contribution,observed per instance,0.25,0.0,2.0,1.0,0.3,nan,0.0,1,0.18518827144825847,0.7421945457971656,0.11257108869368267,1.0,1.5136841910678824,0.18557272493198623,0.7413509993111802,0.11249644917515256,1.0,1.5198159454461575,1
R_1yltjaSsgo0dVO7,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.25,0.0,0.0,1,0.26176285368440694,0.6767063848514996,0.20023209222031335,0.825,2.431965987236895,0.26327692302023636,0.6767063848514996,0.20326023089197226,0.825,2.4319659872368944,0
R_1yltjaSsgo0dVO7,diabetes,none,20,perfect memory,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.3,nan,nan,1,0.22646866556822923,0.66,0.1129373311364584,1.0,1.944854325148362,0.22646866556822917,0.66,0.11293733113645839,1.0,1.944854325148362,1
R_1yltjaSsgo0dVO7,diabetes,none,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.25,0.0,nan,1,0.26176285368440694,0.6767063848514996,0.20023209222031335,0.825,2.431965987236895,0.26327692302023636,0.6767063848514996,0.20326023089197226,0.825,2.4319659872368944,0
R_3ENoszlL5q7JglI,diabetes,none,20,memory variation,feature contribution,observed per instance,0.25,0.0,0.0,1.0,0.05,nan,4.0,0,0.3113297132827018,0.6875,0.31015942656540363,0.6833333333333332,1.2509482767337698,0.3159287245485628,0.6875,0.3193574490971256,0.6666666666666666,1.2509482767337698,0
R_3ENoszlL5q7JglI,diabetes,none,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.1,0.0,2.0,0,0.17004821290346,0.8043722502623935,0.14446867606931343,0.9333333333333332,0.8078354707050114,0.17484988640353347,0.7908755081256665,0.14057528093273347,0.9625,0.893660508781211,1
R_3ENoszlL5q7JglI,diabetes,none,20,perfect memory,feature contribution,observed per instance,1.0,0.0,6.0,0.5,0.25,nan,nan,0,0.2010146748577506,0.7504072668997782,0.15243661661527935,1.0,1.2160232674400429,0.20835797693261165,0.7380548504606355,0.15477080432585882,1.0,1.2752900663608653,0
R_3ENoszlL5q7JglI,diabetes,none,20,perfect memory,weighted examples,observed per instance,1.0,0.0,6.0,nan,0.25,0.0,nan,0,0.20464832896668042,0.7952220942179209,0.20451875215128174,0.8708333333333332,0.8654750355945969,0.21004986415049606,0.7944952656147101,0.21459499391570208,0.8708333333333332,0.8690900190680759,1
R_3Fo0QmOVx6lcU4W,diabetes,counterfactual,20,memory variation,feature contribution,observed per instance,1.0,0.0,6.0,1.0,0.0,nan,4.0,0,0.5252685111142699,0.39521822677625085,0.4457552490047907,0.0,1.3768345314265205,0.5856824293265357,0.2719763771006166,0.4433412357536877,0.0,1.6210794465497584,0
R_3Fo0QmOVx6lcU4W,diabetes,counterfactual,20,memory variation,weighted examples,observed per instance,1.0,1.0,2.0,nan,0.0,1.0,4.0,0,0.43943267504244965,0.41295436071513053,0.2918197108000296,0.0,1.2030891933102068,0.4424680117029241,0.396445080542106,0.28138110394795435,0.0,1.235361072446715,1
R_3Fo0QmOVx6lcU4W,diabetes,counterfactual,20,perfect memory,feature contribution,observed per instance,1.0,0.0,6.0,1.0,0.0,nan,nan,0,0.5228616628901392,0.4029842259871993,0.44870755176747756,0.0,1.2976660461942755,0.5631091532197636,0.30583729629526013,0.4320556027347874,0.0,1.5202669889153149,1
R_3Fo0QmOVx6lcU4W,diabetes,counterfactual,20,perfect memory,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.0,1.0,nan,1,0.5014377153206071,0.27097151258918734,0.27384694323040126,0.0,1.6889322475302582,0.5069589570450478,0.2555601171209703,0.2694780312110658,0.0,1.731457906899529,0
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,memory variation,feature contribution,observed per instance,0.25,0.0,2.0,1.0,0.05,nan,0.0,0,0.3526948139737268,0.4904256319869999,0.1958152599344537,0.95,0.7915120429545949,0.35913246970248236,0.4904256319869999,0.20869057139196467,0.95,0.7915120429545949,1
R_3Qv0QTQ49yAIRot,diabetes,attribution,20,memory variation,weighted examples,observed per instance,0.25,0.0,0.0,nan,0.1,0.0,0.0,0,0.3988663226072734,0.2678531659085535,0.06558581112310022,1.0,1.8082506058422028,0.4046882823424899,0.2533231399119063,0.06269970459688605,1.0,1.9614855425883628,0
